player,player_key,pos,point_salary,selection_rate,predicted_salary_residual,surcharge_full,surcharge_half,year
Aaron Jones,aaronjones,RB,68.75963,0.147,0.0,0.0,0.0,2022
Aaron Rodgers,aaronrodgers,QB,5.8911514,0.168,0.0,0.0,0.0,2022
Abram Smith,abramsmith,RB,1.0,0.0,0.0,0.0,0.0,2022
Adam Thielen,adamthielen,WR,18.039387,0.16,0.0,0.0,0.0,2022
Adam Trautman,adamtrautman,TE,1.0,0.0,0.0,0.0,0.0,2022
Aj Brown,ajbrown,WR,52.78397,0.018,0.0,0.0,0.0,2022
Aj Dillon,ajdillon,RB,19.375717,0.221,0.0,0.0,0.0,2022
Aj Green,ajgreen,WR,1.0,0.005,0.0,0.0,0.0,2022
Albert Okwuegbunam,albertokwuegbunam,TE,1.0,0.018,0.0,0.0,0.0,2022
Alec Pierce,alecpierce,WR,1.8818958,0.0,0.0,0.0,0.0,2022
Alexander Mattison,alexandermattison,RB,2.362402,0.086,0.0,0.0,0.0,2022
Allen Lazard,allenlazard,WR,11.97172,0.054,0.0,0.0,0.0,2022
Alvin Kamara,alvinkamara,RB,89.59131,0.039,0.0,0.0,0.0,2022
Amari Cooper,amaricooper,WR,17.634884,0.226,0.0,0.0,0.0,2022
Amari Rodgers,amarirodgers,WR,1.0,0.0,0.0,0.0,0.0,2022
Austin Hooper,austinhooper,TE,1.0,0.001,0.0,0.0,0.0,2022
Baker Mayfield,bakermayfield,QB,1.0,0.0,0.0,0.0,0.0,2022
Benny Snell,bennysnell,RB,1.0,0.0,0.0,0.0,0.0,2022
Boston Scott,bostonscott,RB,1.0,0.0,0.0,0.0,0.0,2022
Brandin Cooks,brandincooks,WR,38.37406,0.002,0.0,0.0,0.0,2022
Brandon Aiyuk,brandonaiyuk,WR,11.3007965,0.077,0.0,0.0,0.0,2022
Braxton Berrios,braxtonberrios,WR,1.0,0.0,0.0,0.0,0.0,2022
Breece Hall,breecehall,RB,48.015816,0.384,0.0,0.0,0.0,2022
Brevin Jordan,brevinjordan,TE,1.0,0.011,0.0,0.0,0.0,2022
Brian Robinson,brianrobinson,RB,3.3378851,0.008,0.0,0.0,0.0,2022
Bryan Edwards,bryanedwards,WR,1.0,0.0,0.0,0.0,0.0,2022
Byron Pringle,byronpringle,WR,1.0,0.0,0.0,0.0,0.0,2022
Cade Otton,cadeotton,TE,1.0,0.0,0.0,0.0,0.0,2022
Calvin Austin,calvinaustin,WR,1.0,0.0,0.0,0.0,0.0,2022
Calvin Ridley,calvinridley,WR,1.0,0.078,0.0,0.0,0.0,2022
Cameron Brate,cameronbrate,TE,1.0,0.001,0.0,0.0,0.0,2022
Cedrick Wilson,cedrickwilson,WR,1.0,0.0,0.0,0.0,0.0,2022
Chase Claypool,chaseclaypool,WR,5.523461,0.242,0.0,0.0,0.0,2022
Chase Edmonds,chaseedmonds,RB,18.460556,0.068,0.0,0.0,0.0,2022
Chigoziem Okonkwo,chigoziemokonkwo,TE,1.0,0.0,0.0,0.0,0.0,2022
Chris Evans,chrisevans,RB,1.0,0.0,0.0,0.0,0.0,2022
Chris Godwin,chrisgodwin,WR,27.758339,0.109,0.0,0.0,0.0,2022
Chris Olave,chrisolave,WR,9.038208,0.096,0.0,0.0,0.0,2022
Christian Kirk,christiankirk,WR,16.405106,0.028,0.0,0.0,0.0,2022
Christian Mccaffrey,christianmccaffrey,RB,121.075905,0.033,0.0,0.0,0.0,2022
Chuba Hubbard,chubahubbard,RB,1.0,0.005,0.0,0.0,0.0,2022
Cj Uzomah,cjuzomah,TE,1.0,0.0,0.0,0.0,0.0,2022
Clyde Edwards Helaire,clydeedwardshelaire,RB,31.267414,0.192,0.0,0.0,0.0,2022
Cole Kmet,colekmet,TE,1.9438214,0.118,0.0,0.0,0.0,2022
Cordarrelle Patterson,cordarrellepatterson,RB,18.659678,0.198,0.0,0.0,0.0,2022
Corey Davis,coreydavis,WR,1.0,0.048,0.0,0.0,0.0,2022
Dak Prescott,dakprescott,QB,8.962448,0.112,0.0,0.0,0.0,2022
Dallas Goedert,dallasgoedert,TE,8.791264,0.169,0.0,0.0,0.0,2022
Dalton Schultz,daltonschultz,TE,12.257007,0.09,0.0,0.0,0.0,2022
Dalvin Cook,dalvincook,RB,100.47841,0.066,0.0,0.0,0.0,2022
Dameon Pierce,dameonpierce,RB,28.868385,0.009,0.0,0.0,0.0,2022
Damien Harris,damienharris,RB,16.075224,0.182,0.0,0.0,0.0,2022
Damien Williams,damienwilliams,RB,1.0,0.0,0.0,0.0,0.0,2022
Dan Arnold,danarnold,TE,1.0,0.0,0.0,0.0,0.0,2022
Daniel Bellinger,danielbellinger,TE,1.0,0.0,0.0,0.0,0.0,2022
Daniel Jones,danieljones,QB,1.0,0.0,0.0,0.0,0.0,2022
Danny Gray,dannygray,WR,1.0,0.0,0.0,0.0,0.0,2022
Darius Slayton,dariusslayton,WR,1.0,0.0,0.0,0.0,0.0,2022
Darnell Mooney,darnellmooney,WR,25.932093,0.038,0.0,0.0,0.0,2022
Darrell Henderson,darrellhenderson,RB,4.3279195,0.06,0.0,0.0,0.0,2022
Darrel Williams,darrelwilliams,RB,1.0,0.081,0.0,0.0,0.0,2022
Darren Waller,darrenwaller,TE,21.069214,0.226,0.0,0.0,0.0,2022
Davante Adams,davanteadams,WR,84.47341,0.168,0.0,0.0,0.0,2022
David Bell,davidbell,WR,1.0,0.0,0.0,0.0,0.0,2022
David Njoku,davidnjoku,TE,1.0,0.022,0.0,0.0,0.0,2022
Davis Mills,davismills,QB,1.0,0.0,0.0,0.0,0.0,2022
Dawson Knox,dawsonknox,TE,2.5761845,0.086,0.0,0.0,0.0,2022
Deandre Hopkins,deandrehopkins,WR,10.082199,0.143,0.0,0.0,0.0,2022
Derek Carr,derekcarr,QB,3.0183666,0.0,0.0,0.0,0.0,2022
Dernest Johnson,dernestjohnson,RB,1.0,0.004,0.0,0.0,0.0,2022
Derrick Gore,derrickgore,RB,1.0,0.001,0.0,0.0,0.0,2022
Derrick Henry,derrickhenry,RB,106.0955,0.05,0.0,0.0,0.0,2022
Desmond Ridder,desmondridder,QB,1.0,0.0,0.0,0.0,0.0,2022
Devante Parker,devanteparker,WR,1.7856822,0.054,0.0,0.0,0.0,2022
Devin Duvernay,devinduvernay,WR,1.0,0.0,0.0,0.0,0.0,2022
Devin Singletary,devinsingletary,RB,24.665846,0.168,0.0,0.0,0.0,2022
Devonta Smith,devontasmith,WR,14.1129465,0.128,0.0,0.0,0.0,2022
Diontae Johnson,diontaejohnson,WR,43.082428,0.139,0.0,0.0,0.0,2022
Dj Chark,djchark,WR,3.0564888,0.067,0.0,0.0,0.0,2022
Dj Moore,djmoore,WR,53.94644,0.007,0.0,0.0,0.0,2022
Dk Metcalf,dkmetcalf,WR,33.807407,0.126,0.0,0.0,0.0,2022
Donald Parham,donaldparham,TE,1.0,0.0,0.0,0.0,0.0,2022
Donovan Peoples Jones,donovanpeoplesjones,WR,1.0,0.0,0.0,0.0,0.0,2022
Donta Foreman,dontaforeman,RB,1.0,0.0,0.0,0.0,0.0,2022
Dontrell Hilliard,dontrellhilliard,RB,1.0,0.004,0.0,0.0,0.0,2022
Drake London,drakelondon,WR,15.824642,0.221,0.0,0.0,0.0,2022
Elijah Mitchell,elijahmitchell,RB,37.843235,0.155,0.0,0.0,0.0,2022
Elijah Moore,elijahmoore,WR,15.561243,0.074,0.0,0.0,0.0,2022
Eno Benjamin,enobenjamin,RB,1.0,0.0,0.0,0.0,0.0,2022
Evan Engram,evanengram,TE,1.0,0.012,0.0,0.0,0.0,2022
Ezekiel Elliott,ezekielelliott,RB,51.137596,0.138,0.0,0.0,0.0,2022
Foster Moreau,fostermoreau,TE,1.0,0.0,0.0,0.0,0.0,2022
Gabriel Davis,gabrieldavis,WR,28.833265,0.037,0.0,0.0,0.0,2022
Garrett Wilson,garrettwilson,WR,5.660545,0.102,0.0,0.0,0.0,2022
George Kittle,georgekittle,TE,22.390999,0.362,0.0,0.0,0.0,2022
George Pickens,georgepickens,WR,6.249206,0.0,0.0,0.0,0.0,2022
Gerald Everett,geraldeverett,TE,1.0,0.003,0.0,0.0,0.0,2022
Greg Dulcich,gregdulcich,TE,1.0,0.0,0.0,0.0,0.0,2022
Gus Edwards,gusedwards,RB,1.0,0.007,0.0,0.0,0.0,2022
Harrison Bryant,harrisonbryant,TE,1.0,0.0,0.0,0.0,0.0,2022
Hassan Haskins,hassanhaskins,RB,1.0,0.0,0.0,0.0,0.0,2022
Hayden Hurst,haydenhurst,TE,1.0,0.0,0.0,0.0,0.0,2022
Hunter Henry,hunterhenry,TE,1.0,0.021,0.0,0.0,0.0,2022
Hunter Renfrow,hunterrenfrow,WR,16.143597,0.109,0.0,0.0,0.0,2022
Isaiah Likely,isaiahlikely,TE,1.0,0.0,0.0,0.0,0.0,2022
Isaiah Mckenzie,isaiahmckenzie,WR,1.0,0.0,0.0,0.0,0.0,2022
Isaiah Spiller,isaiahspiller,RB,2.4573064,0.0,0.0,0.0,0.0,2022
Isiah Pacheco,isiahpacheco,RB,1.5810826,0.0,0.0,0.0,0.0,2022
Jacoby Brissett,jacobybrissett,QB,1.0,0.0,0.0,0.0,0.0,2022
Jakobi Meyers,jakobimeyers,WR,3.440105,0.01,0.0,0.0,0.0,2022
Jalen Guyton,jalenguyton,WR,1.0,0.0,0.0,0.0,0.0,2022
Jalen Hurts,jalenhurts,QB,14.899517,0.084,0.0,0.0,0.0,2022
Jalen Tolbert,jalentolbert,WR,1.0,0.0,0.0,0.0,0.0,2022
Jamaal Williams,jamaalwilliams,RB,2.9710991,0.0,0.0,0.0,0.0,2022
James Cook,jamescook,RB,9.681677,0.294,0.0,0.0,0.0,2022
Jameson Williams,jamesonwilliams,WR,1.5531733,0.007,0.0,0.0,0.0,2022
James Proche,jamesproche,WR,1.0,0.0,0.0,0.0,0.0,2022
James Robinson,jamesrobinson,RB,6.5475416,0.235,0.0,0.0,0.0,2022
James Washington,jameswashington,WR,1.0,0.0,0.0,0.0,0.0,2022
Jamison Crowder,jamisoncrowder,WR,1.0,0.0,0.0,0.0,0.0,2022
Jared Goff,jaredgoff,QB,1.0,0.0,0.0,0.0,0.0,2022
Jarvis Landry,jarvislandry,WR,2.1514456,0.059,0.0,0.0,0.0,2022
Jauan Jennings,jauanjennings,WR,1.0,0.0,0.0,0.0,0.0,2022
Jaylen Waddle,jaylenwaddle,WR,42.831326,0.26,0.0,0.0,0.0,2022
Jelani Woods,jelaniwoods,TE,1.0,0.0,0.0,0.0,0.0,2022
Jeremy Ruckert,jeremyruckert,TE,1.0,0.0,0.0,0.0,0.0,2022
Jerick Mckinnon,jerickmckinnon,RB,1.0,0.0,0.0,0.0,0.0,2022
Jerome Ford,jeromeford,RB,1.0,0.0,0.0,0.0,0.0,2022
Jerry Jeudy,jerryjeudy,WR,29.430782,0.024,0.0,0.0,0.0,2022
