player,player_key,pos,point_salary,selection_rate,predicted_salary_residual,surcharge_full,surcharge_half,year
Jimmy Garoppolo,jimmygaroppolo,QB,1.0,0.0,0.0,0.0,0.0,2022
Joe Burrow,joeburrow,QB,10.141851,0.014,0.0,0.0,0.0,2022
Joe Mixon,joemixon,RB,92.96518,0.093,0.0,0.0,0.0,2022
John Metchie,johnmetchie,WR,1.0,0.0,0.0,0.0,0.0,2022
Jonnu Smith,jonnusmith,TE,1.0,0.0,0.0,0.0,0.0,2022
Josh Allen,joshallen,QB,39.691284,0.08,0.0,0.0,0.0,2022
Josh Jacobs,joshjacobs,RB,35.623833,0.196,0.0,0.0,0.0,2022
Joshua Palmer,joshuapalmer,WR,1.2386429,0.005,0.0,0.0,0.0,2022
Josiah Deguara,josiahdeguara,TE,1.0,0.0,0.0,0.0,0.0,2022
Juju Smith Schuster,jujusmithschuster,WR,20.307554,0.255,0.0,0.0,0.0,2022
Justin Fields,justinfields,QB,1.0,0.0,0.0,0.0,0.0,2022
Justin Herbert,justinherbert,QB,26.83949,0.02,0.0,0.0,0.0,2022
Kadarius Toney,kadariustoney,WR,7.8040338,0.102,0.0,0.0,0.0,2022
Kareem Hunt,kareemhunt,RB,13.571719,0.109,0.0,0.0,0.0,2022
Keaontay Ingram,keaontayingram,RB,1.0,0.0,0.0,0.0,0.0,2022
Keenan Allen,keenanallen,WR,57.93508,0.026,0.0,0.0,0.0,2022
Kendrick Bourne,kendrickbourne,WR,1.0,0.012,0.0,0.0,0.0,2022
Kenneth Gainwell,kennethgainwell,RB,3.39256,0.069,0.0,0.0,0.0,2022
Kenneth Walker,kennethwalker,RB,12.324433,0.249,0.0,0.0,0.0,2022
Kenny Golladay,kennygolladay,WR,1.0,0.034,0.0,0.0,0.0,2022
Kenny Pickett,kennypickett,QB,1.0,0.0,0.0,0.0,0.0,2022
Kenyan Drake,kenyandrake,RB,1.0,0.008,0.0,0.0,0.0,2022
Keshawn Vaughn,keshawnvaughn,RB,1.0,0.004,0.0,0.0,0.0,2022
Khalil Herbert,khalilherbert,RB,1.0542626,0.023,0.0,0.0,0.0,2022
Khalil Shakir,khalilshakir,WR,1.0,0.0,0.0,0.0,0.0,2022
Kirk Cousins,kirkcousins,QB,3.144745,0.032,0.0,0.0,0.0,2022
Kj Osborn,kjosborn,WR,1.0,0.004,0.0,0.0,0.0,2022
Kyle Philips,kylephilips,WR,1.0,0.0,0.0,0.0,0.0,2022
Kyle Pitts,kylepitts,TE,42.250595,0.078,0.0,0.0,0.0,2022
Kyler Murray,kylermurray,QB,19.41371,0.072,0.0,0.0,0.0,2022
Kyren Williams,kyrenwilliams,RB,1.0,0.0,0.0,0.0,0.0,2022
Lamar Jackson,lamarjackson,QB,22.440031,0.139,0.0,0.0,0.0,2022
Laviska Shenault,laviskashenault,WR,1.0,0.007,0.0,0.0,0.0,2022
Mac Jones,macjones,QB,1.0,0.0,0.0,0.0,0.0,2022
Malik Willis,malikwillis,QB,1.0,0.0,0.0,0.0,0.0,2022
Mark Andrews,markandrews,TE,60.27971,0.02,0.0,0.0,0.0,2022
Mark Ingram,markingram,RB,1.0,0.004,0.0,0.0,0.0,2022
Marquez Callaway,marquezcallaway,WR,1.0,0.0,0.0,0.0,0.0,2022
Marquez Valdes Scantling,marquezvaldesscantling,WR,4.241486,0.025,0.0,0.0,0.0,2022
Marquise Brown,marquisebrown,WR,32.97752,0.056,0.0,0.0,0.0,2022
Marvin Jones,marvinjones,WR,1.0,0.054,0.0,0.0,0.0,2022
Matt Breida,mattbreida,RB,1.0,0.0,0.0,0.0,0.0,2022
Matt Corral,mattcorral,QB,1.0,0.0,0.0,0.0,0.0,2022
Matthew Stafford,matthewstafford,QB,5.8685093,0.014,0.0,0.0,0.0,2022
Matt Ryan,mattryan,QB,1.0,0.004,0.0,0.0,0.0,2022
Mecole Hardman,mecolehardman,WR,1.9622858,0.017,0.0,0.0,0.0,2022
Melvin Gordon,melvingordon,RB,9.3234,0.112,0.0,0.0,0.0,2022
Michael Carter,michaelcarter,RB,6.4160767,0.263,0.0,0.0,0.0,2022
Michael Gallup,michaelgallup,WR,3.467928,0.041,0.0,0.0,0.0,2022
Michael Pittman,michaelpittman,WR,51.958977,0.085,0.0,0.0,0.0,2022
Mike Davis,mikedavis,RB,1.0,0.0,0.0,0.0,0.0,2022
Mike Evans,mikeevans,WR,57.503506,0.1,0.0,0.0,0.0,2022
Mike Gesicki,mikegesicki,TE,1.0,0.147,0.0,0.0,0.0,2022
Mike Williams,mikewilliams,WR,44.671467,0.038,0.0,0.0,0.0,2022
Miles Sanders,milessanders,RB,24.98088,0.222,0.0,0.0,0.0,2022
Mo Alie Cox,moaliecox,TE,1.0,0.0,0.0,0.0,0.0,2022
Myles Gaskin,mylesgaskin,RB,1.0,0.017,0.0,0.0,0.0,2022
Najee Harris,najeeharris,RB,102.00495,0.134,0.0,0.0,0.0,2022
Nelson Agholor,nelsonagholor,WR,1.0,0.0,0.0,0.0,0.0,2022
Nick Chubb,nickchubb,RB,61.647778,0.23,0.0,0.0,0.0,2022
Nick Westbrook Ikhine,nickwestbrookikhine,WR,1.0,0.0,0.0,0.0,0.0,2022
Nico Collins,nicocollins,WR,1.0,0.006,0.0,0.0,0.0,2022
Noah Fant,noahfant,TE,1.0,0.122,0.0,0.0,0.0,2022
Nyheim Hines,nyheimhines,RB,3.2608874,0.006,0.0,0.0,0.0,2022
Oj Howard,ojhoward,TE,1.0,0.0,0.0,0.0,0.0,2022
Olamide Zaccheaus,olamidezaccheaus,WR,1.0,0.0,0.0,0.0,0.0,2022
Pat Freiermuth,patfreiermuth,TE,1.468785,0.189,0.0,0.0,0.0,2022
Patrick Mahomes,patrickmahomes,QB,27.199888,0.015,0.0,0.0,0.0,2022
Phillip Lindsay,philliplindsay,RB,1.0,0.0,0.0,0.0,0.0,2022
Pierre Strong,pierrestrong,RB,1.0,0.0,0.0,0.0,0.0,2022
Quez Watkins,quezwatkins,WR,1.0,0.0,0.0,0.0,0.0,2022
Rachaad White,rachaadwhite,RB,4.482785,0.029,0.0,0.0,0.0,2022
Randall Cobb,randallcobb,WR,1.0,0.0,0.0,0.0,0.0,2022
Rashaad Penny,rashaadpenny,RB,13.497682,0.225,0.0,0.0,0.0,2022
Rashod Bateman,rashodbateman,WR,18.21915,0.073,0.0,0.0,0.0,2022
Rex Burkhead,rexburkhead,RB,1.0,0.0,0.0,0.0,0.0,2022
Rhamondre Stevenson,rhamondrestevenson,RB,16.451532,0.199,0.0,0.0,0.0,2022
Ricky Seals Jones,rickysealsjones,TE,1.0,0.0,0.0,0.0,0.0,2022
Robert Woods,robertwoods,WR,8.478801,0.068,0.0,0.0,0.0,2022
Romeo Doubs,romeodoubs,WR,3.1326203,0.0,0.0,0.0,0.0,2022
Ronald Jones,ronaldjones,RB,1.0,0.028,0.0,0.0,0.0,2022
Rondale Moore,rondalemoore,WR,2.2576644,0.047,0.0,0.0,0.0,2022
Russell Gage,russellgage,WR,3.6750858,0.102,0.0,0.0,0.0,2022
Russell Wilson,russellwilson,QB,7.8681703,0.106,0.0,0.0,0.0,2022
Ryan Tannehill,ryantannehill,QB,1.0,0.01,0.0,0.0,0.0,2022
Samaje Perine,samajeperine,RB,1.0,0.0,0.0,0.0,0.0,2022
Sam Darnold,samdarnold,QB,1.0,0.0,0.0,0.0,0.0,2022
Sam Howell,samhowell,QB,1.0,0.0,0.0,0.0,0.0,2022
Sammy Watkins,sammywatkins,WR,1.0,0.0,0.0,0.0,0.0,2022
Skyy Moore,skyymoore,WR,7.1406837,0.0,0.0,0.0,0.0,2022
Snoop Conner,snoopconner,RB,1.0,0.0,0.0,0.0,0.0,2022
Sony Michel,sonymichel,RB,1.0,0.003,0.0,0.0,0.0,2022
Sterling Shepard,sterlingshepard,WR,1.0,0.0,0.0,0.0,0.0,2022
Taysom Hill,taysomhill,TE,1.0,0.0,0.0,0.0,0.0,2022
Tee Higgins,teehiggins,WR,56.709167,0.018,0.0,0.0,0.0,2022
Terrace Marshall,terracemarshall,WR,1.0,0.003,0.0,0.0,0.0,2022
Tim Patrick,timpatrick,WR,1.0,0.036,0.0,0.0,0.0,2022
Tj Hockenson,tjhockenson,TE,9.947629,0.088,0.0,0.0,0.0,2022
Tom Brady,tombrady,QB,9.957929,0.13,0.0,0.0,0.0,2022
Tommy Tremble,tommytremble,TE,1.0,0.0,0.0,0.0,0.0,2022
Tony Pollard,tonypollard,RB,14.749546,0.178,0.0,0.0,0.0,2022
Travis Etienne,travisetienne,RB,49.030354,0.22,0.0,0.0,0.0,2022
Travis Kelce,traviskelce,TE,64.637474,0.067,0.0,0.0,0.0,2022
Trequan Smith,trequansmith,WR,1.0,0.0,0.0,0.0,0.0,2022
Trevor Lawrence,trevorlawrence,QB,1.0,0.0,0.0,0.0,0.0,2022
Treylon Burks,treylonburks,WR,7.422176,0.188,0.0,0.0,0.0,2022
Trey Mcbride,treymcbride,TE,1.0,0.0,0.0,0.0,0.0,2022
Trey Sermon,treysermon,RB,1.0,0.016,0.0,0.0,0.0,2022
Tua Tagovailoa,tuatagovailoa,QB,1.0,0.0,0.0,0.0,0.0,2022
Tyler Allgeier,tylerallgeier,RB,6.224758,0.006,0.0,0.0,0.0,2022
Tyler Badie,tylerbadie,RB,1.0,0.0,0.0,0.0,0.0,2022
Tyler Boyd,tylerboyd,WR,4.493779,0.06,0.0,0.0,0.0,2022
Tyler Conklin,tylerconklin,TE,1.0,0.0,0.0,0.0,0.0,2022
Tyler Higbee,tylerhigbee,TE,1.0,0.005,0.0,0.0,0.0,2022
Tyler Lockett,tylerlockett,WR,11.672462,0.104,0.0,0.0,0.0,2022
Tyquan Thornton,tyquanthornton,WR,1.0,0.0,0.0,0.0,0.0,2022
Tyreek Hill,tyreekhill,WR,69.80048,0.051,0.0,0.0,0.0,2022
Tyrion Davis Price,tyriondavisprice,RB,1.0,0.0,0.0,0.0,0.0,2022
Van Jefferson,vanjefferson,WR,1.0,0.001,0.0,0.0,0.0,2022
Velus Jones,velusjones,WR,1.0,0.0,0.0,0.0,0.0,2022
Wandale Robinson,wandalerobinson,WR,1.0,0.0,0.0,0.0,0.0,2022
Zach Ertz,zachertz,TE,5.3429623,0.127,0.0,0.0,0.0,2022
Zach Wilson,zachwilson,QB,1.0,0.0,0.0,0.0,0.0,2022
Zack Moss,zackmoss,RB,1.0,0.005,0.0,0.0,0.0,2022
Zamir White,zamirwhite,RB,2.3267038,0.0,0.0,0.0,0.0,2022
Zay Jones,zayjones,WR,1.0,0.0,0.0,0.0,0.0,2022
Aaron Jones,aaronjones,RB,47.338177,0.018,-2.155870909277915,0.0,0.0,2023
Aaron Rodgers,aaronrodgers,QB,1.1776547,0.122,-1.4749414106390124,0.0,0.0,2023
Adam Thielen,adamthielen,WR,3.0484478,0.042,-1.0437630183076916,0.0,0.0,2023
Adam Trautman,adamtrautman,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Aidan Oconnell,aidanoconnell,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Aj Dillon,ajdillon,RB,13.3445635,0.0,-0.8003200492683491,0.0,0.0,2023
Alec Pierce,alecpierce,WR,1.0,0.051,-0.9381586084495777,0.0,0.0,2023
Alexander Mattison,alexandermattison,RB,36.139023,0.008,-1.7280340309021165,0.0,0.0,2023
Allen Lazard,allenlazard,WR,2.4503353,0.036,-1.0576847336441104,0.0,0.0,2023
Allen Robinson,allenrobinson,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Alvin Kamara,alvinkamara,RB,28.52063,0.069,-0.0007741659621427477,0.0,0.0,2023
Andrei Iosivas,andreiiosivas,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Andy Dalton,andydalton,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Anthony Richardson,anthonyrichardson,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Antoine Green,antoinegreen,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Antonio Gibson,antoniogibson,RB,13.626234,0.028,-0.24565796198838852,0.0,0.0,2023
At Perry,atperry,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Austin Ekeler,austinekeler,RB,102.5833,0.017,-6.643044433570505,0.0,0.0,2023
Austin Hooper,austinhooper,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Baker Mayfield,bakermayfield,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Bijan Robinson,bijanrobinson,RB,92.07506,0.169,-1.37186912029438,0.0,0.0,2023
Brandin Cooks,brandincooks,WR,12.581836,0.022,-1.4835582486933723,0.0,0.0,2023
Brandon Aiyuk,brandonaiyuk,WR,21.809418,0.036,-1.7638458538895945,0.0,0.0,2023
Breece Hall,breecehall,RB,40.255028,0.222,2.93389675853367,2.93389675853367,1.466948379266835,2023
Brenton Strange,brentonstrange,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Brian Robinson,brianrobinson,RB,17.538057,0.009,-0.7922174292946564,0.0,0.0,2023
Brock Purdy,brockpurdy,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Bryce Ford Wheaton,brycefordwheaton,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Bryce Young,bryceyoung,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Cade Otton,cadeotton,TE,1.0,0.003,-0.9268252286821403,0.0,0.0,2023
Calvin Ridley,calvinridley,WR,42.30022,0.037,-2.7777161168188687,0.0,0.0,2023
Cam Akers,camakers,RB,30.25468,0.119,1.0155150295961777,1.0155150295961777,0.5077575147980888,2023
Cameron Latu,cameronlatu,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Cedric Tillman,cedrictillman,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Charlie Jones,charliejones,WR,1.0,0.001,-1.1941959973577432,0.0,0.0,2023
Chase Brown,chasebrown,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Chase Claypool,chaseclaypool,WR,1.0,0.01,-1.1481092673542734,0.0,0.0,2023
Chase Edmonds,chaseedmonds,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Chigoziem Okonkwo,chigoziemokonkwo,TE,1.0,0.129,-0.7287940864855424,0.0,0.0,2023
Chris Godwin,chrisgodwin,WR,28.330479,0.262,-0.2851147223347114,0.0,0.0,2023
Chris Olave,chrisolave,WR,52.790173,0.124,-2.5150800529493216,0.0,0.0,2023
Chris Rodriguez,chrisrodriguez,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Christian Kirk,christiankirk,WR,16.654633,0.194,-0.4952281025643181,0.0,0.0,2023
Christian Mccaffrey,christianmccaffrey,RB,105.53139,0.064,-5.557751391215524,0.0,0.0,2023
Christian Watson,christianwatson,WR,29.29866,0.166,-1.0721569887517854,0.0,0.0,2023
Chuba Hubbard,chubahubbard,RB,1.3117934,0.002,-0.31920529624736665,0.0,0.0,2023
Cj Stroud,cjstroud,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Cj Uzomah,cjuzomah,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Clayton Tune,claytontune,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Clyde Edwards Helaire,clydeedwardshelaire,RB,1.9455761,0.007,-0.244699069240906,0.0,0.0,2023
Cole Kmet,colekmet,TE,1.2828035,0.022,-0.9055760175624493,0.0,0.0,2023
Cooper Rush,cooperrush,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Cordarrelle Patterson,cordarrellepatterson,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Corey Davis,coreydavis,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Courtland Sutton,courtlandsutton,WR,9.738166,0.035,-1.299815785827521,0.0,0.0,2023
Curtis Samuel,curtissamuel,WR,1.0,0.006,-1.1685922584669266,0.0,0.0,2023
Dak Prescott,dakprescott,QB,5.536105,0.012,-1.0748533682806254,0.0,0.0,2023
Dallas Goedert,dallasgoedert,TE,13.125579,0.043,-1.256308832319729,0.0,0.0,2023
Dalton Kincaid,daltonkincaid,TE,4.4474034,0.001,-1.0458638090200951,0.0,0.0,2023
Dalton Schultz,daltonschultz,TE,2.1285794,0.043,-0.8962860062912175,0.0,0.0,2023
Dalvin Cook,dalvincook,RB,19.377739,0.05,-0.019523927153848764,0.0,0.0,2023
Dameon Pierce,dameonpierce,RB,40.05183,0.077,-0.373069660760811,0.0,0.0,2023
Damien Harris,damienharris,RB,5.202894,0.013,-0.23783738641777974,0.0,0.0,2023
Dandre Swift,dandreswift,RB,21.705757,0.197,2.9766717759281036,2.9766717759281036,1.4883358879640518,2023
Daniel Bellinger,danielbellinger,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
