player,keeper_salary
Chase Brown,34
Cam Skattebo,18
Bhayshul Tuten,11
Quinshon Judkins,30
Garrett Wilson,37
Javonte Williams,17
Jaxon Smith Njigba,42
James Cook,67
Malik Nabers,37
Brock Bowers,36
Puka Nacua,75
Jonathan Taylor,104
Chris Olave,22
Omarion Hampton,67
