player,keeper_salary
Devon Achane,47
Drake Maye,18
Omarion Hampton,63
Jaxon Smith Njigba,55
Patrick Mahomes,11
Joe Burrow,10
Lamar Jackson,73
Quinshon Judkins,22
Tucker Kraft,10
Chase Brown,38
Jaxson Dart,10
Javonte Williams,14
Brock Bowers,26
Caleb Williams,21
Travis Etienne,11
Devonta Smith,24
