season,source,ranked_players,positions
2014,fantasydata,577,4
2015,fantasydata,741,4
2016,fantasydata,688,4
2016,ffa_projection,216,4
2017,fantasydata,1033,4
2017,ffa_projection,216,4
2018,fantasydata,1042,4
2018,ffa_projection,216,4
2019,fantasydata,829,4
2019,ffa_projection,215,4
2020,fantasydata,800,4
2020,ffa_projection,216,4
2021,fantasydata,819,4
2021,ffa_projection,216,4
2022,fantasydata,805,4
2022,ffa_projection,216,4
2023,fantasydata,803,4
2023,ffa_projection,216,4
2024,etr_rank,236,4
2024,evan_silva_rank,150,4
2024,fantasydata,752,4
2024,ffa_projection,215,4
2024,pff_projection,468,4
2025,barret_rank,99,4
2025,etr_rank,238,4
2025,evan_silva_rank,150,4
2025,fantasydata,781,4
2025,fantasypoints,524,4
2025,ffa_projection,216,4
2025,fff_rank,200,4
2025,pff_projection,508,4
2026,etr_rank,243,4
2026,evan_silva_rank,150,4
2026,fantasydata,676,4
2026,fantasypoints,551,4
2026,ffa_projection,216,4
2026,pff_projection,476,4
