season,actual_rb_identity_method,rows,rush_attempts,targets,opportunities
2006,globally_unique_name_position,716,8999.0,1487.0,10486.0
2006,unresolved,397,3256.0,586.0,3842.0
2007,globally_unique_name_position,846,10233.0,1850.0,12083.0
2007,unresolved,296,1875.0,363.0,2238.0
2008,globally_unique_name_position,1080,11616.0,2098.0,13714.0
2008,unresolved,72,291.0,62.0,353.0
2009,globally_unique_name_position,1102,11344.0,2738.0,14082.0
2009,unresolved,136,693.0,170.0,863.0
2010,globally_unique_name_position,1063,11093.0,2629.0,13722.0
2010,unresolved,95,421.0,184.0,605.0
2011,globally_unique_name_position,1146,11182.0,2752.0,13934.0
2011,unresolved,109,527.0,185.0,712.0
2012,globally_unique_name_position,1174,11404.0,2567.0,13971.0
2012,unresolved,114,362.0,154.0,516.0
2013,globally_unique_name_position,1169,11463.0,2906.0,14369.0
2013,unresolved,51,124.0,57.0,181.0
2014,globally_unique_name_position,1234,11213.0,3114.0,14327.0
2014,unresolved,88,354.0,97.0,451.0
2015,globally_unique_name_position,1248,11035.0,3286.0,14321.0
2015,unresolved,68,314.0,85.0,399.0
2016,globally_unique_name_position,1250,11191.0,3215.0,14406.0
2016,unresolved,135,284.0,147.0,431.0
2017,globally_unique_name_position,1295,11557.0,3537.0,15094.0
2017,unresolved,127,217.0,138.0,355.0
2018,globally_unique_name_position,1211,10655.0,3417.0,14072.0
2018,unresolved,151,328.0,184.0,512.0
2019,globally_unique_name_position,1238,10865.0,3406.0,14271.0
2019,unresolved,125,353.0,112.0,465.0
2020,globally_unique_name_position,1272,10902.0,3133.0,14035.0
2020,unresolved,134,266.0,145.0,411.0
2021,globally_unique_name_position,1255,11424.0,3296.0,14720.0
2021,unresolved,209,444.0,214.0,658.0
2022,globally_unique_name_position,1272,11333.0,3098.0,14431.0
2022,unresolved,176,522.0,209.0,731.0
2023,globally_unique_name_position,1220,10877.0,2984.0,13861.0
2023,unresolved,99,169.0,103.0,272.0
2024,globally_unique_name_position,1236,11350.0,2788.0,14138.0
2024,unresolved,159,513.0,166.0,679.0
2025,globally_unique_name_position,1220,11322.0,2772.0,14094.0
2025,unresolved,183,569.0,208.0,777.0
