"Jalen Hurts, QB PHI",55.70%,1.3,4.70%,5,373.2
"Josh Allen, QB BUF",11.80%,0.5,0.70%,5,362.3
"Patrick Mahomes, QB KC",11.40%,0.5,0.70%,5,352.8
"Lamar Jackson, QB BAL",42.50%,1.7,3.20%,5,335.1
"C.J. Stroud, QB HOU",25.70%,1,1.70%,5,333.9
"Joe Burrow, QB CIN",63.30%,2.4,5.70%,4.7,331.3
"Anthony Richardson, QB IND",40.40%,2.4,3%,2.3,328.2
"Dak Prescott, QB DAL",26.10%,0.5,1.80%,5,325.2
"Jayden Daniels, QB WAS",28.30%,1,1.90%,5,318.1
"Jordan Love, QB GB",19.90%,0.6,1.30%,5,311.6
"Kyler Murray, QB ARI",32.60%,1.5,2.30%,3.4,306.5
"Jared Goff, QB DET",20.10%,0.4,1.30%,5,301.6
"Brock Purdy, QB SF",25.30%,1,1.70%,5,301
"Caleb Williams, QB CHI",26%,1.4,1.80%,5,297.2
"Trevor Lawrence, QB JAC",38.10%,2,2.80%,5,295.3
"Justin Herbert, QB LAC",69.20%,2.4,6.70%,5,289.2
"Tua Tagovailoa, QB MIA",49.10%,2,3.90%,4.1,287.2
"Deshaun Watson, QB CLE",20.80%,1.1,1.40%,3.1,284.4
"Geno Smith, QB SEA",52.50%,1.5,4.30%,5,281.9
"Aaron Rodgers, QB NYJ",35.80%,3.4,2.60%,4.2,274.9
"Kirk Cousins, QB ATL",17.20%,1.2,1.10%,5,274.2
"Daniel Jones, QB NYG",43.80%,2.1,3.30%,2.9,272.7
"Baker Mayfield, QB TB",27.10%,1,1.80%,5,267.1
"Will Levis, QB TEN",40.70%,1.8,3%,5,265.6
"Matthew Stafford, QB LAR",80.30%,2.7,9.10%,4.6,263.3
"Derek Carr, QB NO",29.20%,1,2%,5,254.1
"Bo Nix, QB DEN",21.20%,1.1,1.40%,5,250.7
"Drake Maye, QB NE",20.10%,1,1.30%,5,247.1
"Bryce Young, QB CAR",29.20%,1.4,2%,5,243.1
"J.J. McCarthy, QB MIN",17.50%,1.2,1.10%,5,223.6
"Russell Wilson, QB PIT",38.40%,1,2.80%,5,205.1
"Hendon Hooker, QB DET",21.20%,1.1,1.40%,5,170.9
"Gardner Minshew, QB LVR",13.40%,0.4,0.80%,5,133.9
"Justin Fields, QB PIT",86.60%,3.4,11.20%,5,108.1
"Sam Darnold, QB MIN",30.70%,1.2,2.10%,3.4,77.3
"Ryan Tannehill, QB UNS",29.60%,1.8,2%,5,61.9
"Michael Penix Jr., QB ATL",21.20%,0.9,1.40%,0.9,41.2
"Drew Lock, QB NYG",21%,0.7,1.40%,1.8,36.7
"Trey Lance, QB DAL",36.60%,1.6,2.60%,1.5,36.2
"Desmond Ridder, QB ARI",21.20%,0.4,1.40%,5,34.2
"Jacoby Brissett, QB NE",6.30%,0.4,0.40%,5,33.5
"Jameis Winston, QB CLE",29.20%,1.4,2%,5,30.5
"Joe Flacco, QB IND",14.70%,0.2,0.90%,5,29.9
"Kenny Pickett, QB PHI",41.50%,1.3,3.10%,4.7,27.9
"Andy Dalton, QB CAR",19.70%,1,1.30%,5,24
"Spencer Rattler, QB NO",5.80%,0.3,0.40%,5,21.9
"Mitchell Trubisky, QB BUF",11.90%,0.4,0.70%,5,20.4
"Zach Wilson, QB DEN",24.50%,1,1.60%,3.8,18.5
"Taylor Heinicke, QB ATL",29.20%,1.6,2%,2.4,17
"Colt McCoy, QB ARI",19.90%,0.57,1.30%,5,6.4
"Christian McCaffrey, RB SF",63.60%,3,5.80%,3.9,326.8
"Bijan Robinson, RB ATL",41.90%,1.4,3.10%,5,300.2
"Breece Hall, RB NYJ",48.10%,1.6,3.80%,3.5,293
"Jahmyr Gibbs, RB DET",62.60%,1.4,5.60%,5,267.7
"Saquon Barkley, RB PHI",57.50%,1.4,4.90%,5,252
"Jonathan Taylor, RB IND",65.30%,1.6,6%,5,251
"Travis Etienne, RB JAC",39.60%,0.8,2.90%,2.1,248.8
"Kyren Williams, RB LAR",88.70%,3.48,12%,2.9,234.6
"Derrick Henry, RB BAL",29.40%,0.7,2%,5,234.5
"Joe Mixon, RB HOU",68.40%,1.3,6.60%,5,231.8
"De'Von Achane, RB MIA",83.40%,3.4,10%,4.7,230.2
"James Cook, RB BUF",31.50%,0.7,2.20%,5,229.6
"Isiah Pacheco, RB KC",90.40%,3.4,12.90%,5,226.2
"Josh Jacobs, RB GB",79.80%,2.3,9%,5,220
