"Danny Amendola, WR DET Note",62%,2,5.90%,4,52
"Robert Woods, WR LAR Note",62.00%,2.3,5.90%,8,151
"John Ross, WR CIN Note",62.00%,3.3,5.90%,0,59
"Keke Coutee, WR HOU Note",62.00%,3.2,5.90%,1,96
"Randall Cobb, WR DAL Note",61.30%,3.5,5.80%,4,76
"Sammy Watkins, WR KC Note",59%,2,5.40%,2,119
"Paul Richardson, WR WAS Note",59.00%,1.3,5.40%,1,84
"Josh Doctson, WR WAS Note",59.00%,2.8,5.40%,1,56
"Marquise Goodwin, WR SF Note",59.00%,1.9,5.40%,2,68
"Julio Jones, WR ATL Note",58.30%,3.3,5.30%,5,206
"Jamison Crowder, WR NYJ Note",58.30%,2,5.30%,5,97
"J.J. Arcega-Whiteside, WR PHI Note",58.30%,2.2,5.30%,0,56
"Marqise Lee, WR JAC Note",56.80%,2.9,5.10%,2,33
"Cody Latimer, WR NYG Note",56.80%,2.8,5.10%,2,47
"Allen Robinson, WR CHI Note",56.80%,2.1,5.10%,3,127
"Corey Davis, WR TEN Note",56.80%,2.3,5%,3,122
"Kenny Golladay, WR DET Note",56.80%,2.9,5.10%,4,143
"Dante Pettis, WR SF Note",56.80%,2,5.10%,2,125
"DeVante Parker, WR MIA Note",56.50%,2.3,5.10%,2,84
"Taylor Gabriel, WR CHI Note",56.10%,2.4,5.00%,8,62
"Willie Snead, WR BAL Note",56.10%,2.7,5.00%,12,66
"Sterling Shepard, WR NYG Note",56.10%,2.3,5.00%,4,112
"Ted Ginn Jr., WR NO Note",55.40%,1.9,4.90%,8,84
"Will Fuller, WR HOU Note",55.40%,2.5,4.90%,2,123
"Deebo Samuel, WR SF Note",55.00%,3,4.90%,0,95
"Julian Edelman, WR NE Note",54.50%,2.4,4.80%,3,144
"Chris Hogan, WR CAR Note",54.50%,2.2,4.80%,9,30
"Jordan Matthews, WR SF Note",54.20%,2.7,4.80%,4,9
"DaeSean Hamilton, WR DEN Note",54.20%,3.1,4.80%,1,92
"Allen Hurns, WR MIA Note",54.20%,1.6,5%,5,29
"Tavon Austin, WR DAL Note",54.10%,1.7,4.70%,4,12
"A.J. Green, WR CIN Note",53.60%,1.9,5%,4,117
"Travis Benjamin, WR LAC Note",53.60%,1.2,4.70%,5,68
"DeSean Jackson, WR PHI Note",53.50%,3,4.70%,5,104
"Keenan Allen, WR LAC Note",53.50%,1.9,4.70%,2,160
"Albert Wilson, WR MIA Note",53.20%,1.7,4.60%,5,91
"Marvin Jones, WR DET Note",53.00%,1.3,4.60%,3,124
"Stefon Diggs, WR MIN Note",52.90%,1.4,4.60%,9,153
"Cooper Kupp, WR LAR Note",53%,1.1,4.60%,3,136
"Mohamed Sanu, WR ATL Note",52.70%,1.1,4.60%,12,109
"Odell Beckham Jr., WR CLE Note",52.60%,3.2,4.60%,2,198
"D.K. Metcalf, WR SEA Note",52%,1.2,5%,0,77
"Emmanuel Sanders, WR DEN Note",52%,1.9,4.50%,5,89
"Antonio Brown, WR OAK Note",52.20%,1.3,4.50%,19,152
"D.J. Chark, WR JAC Note",52.00%,1,4.50%,2,70
"Parris Campbell, WR IND Note",51.90%,0.9,4.50%,0,98
"Quincy Enunwa, WR NYJ Note",51.00%,1,4.40%,2,84
"Hunter Renfrow, WR OAK Note",50.70%,1.2,4.30%,0,46
"Davante Adams, WR GB Note",50.50%,0.6,4.30%,9,184
"Mecole Hardman, WR KC Note",50.50%,0.8,4.30%,0,44
"John Brown, WR BUF Note",50.10%,1.4,4.30%,6,100
"Curtis Samuel, WR CAR Note",49.70%,1.3,4.20%,2,111
"Terrelle Pryor, WR JAC Note",49.50%,1.5,4.20%,4,17
"Christian Kirk, WR ARI Note",49%,0.6,4%,3,124
"Equanimeous St. Brown, WR GB Note",48.70%,1,4.10%,2,39
"Calvin Ridley, WR ATL Note",48.60%,0.7,4.10%,31,124
"Zay Jones, WR BUF Note",48.40%,1.5,4.10%,32,76
"JuJu Smith-Schuster, WR PIT Note",48.10%,1.8,4.00%,21,183
"Alshon Jeffery, WR PHI Note",47.70%,0.9,4.00%,5,132
"Tyler Lockett, WR SEA Note",47.40%,1,3.90%,7,138
"Donte Moncrief, WR PIT Note",47.20%,0.6,3.90%,6,99
"Tre'Quan Smith, WR NO Note",47.20%,0.7,3.90%,17,65
"Larry Fitzgerald, WR ARI Note",47.00%,0.8,4%,18,101
"Phillip Dorsett, WR NE Note",46.80%,0.5,3.90%,8,62
"Tyler Boyd, WR CIN Note",46.70%,1.3,3.90%,6,134
"Amari Cooper, WR DAL Note",46.60%,0.9,3.80%,12,166
"Devin Funchess, WR IND Note",46.60%,0.9,3.80%,12,107
"Tyrell Williams, WR OAK Note",46.60%,1.9,3.80%,127,117
"T.Y. Hilton, WR IND Note",46.20%,0.4,3.80%,22,165
"Breshad Perriman, WR TB Note",45.60%,0.9,3.70%,1,60
"Nelson Agholor, WR PHI Note",45.60%,0.7,3.70%,18,73
"Laquon Treadwell, WR MIN Note",45.60%,0.7,3.70%,3,38
"Anthony Miller, WR CHI Note",45.20%,0.7,3.70%,1,94
"Ryan Grant, WR OAK Note",45.00%,1.1,3.70%,10,35
"Cole Beasley, WR BUF Note",45%,1.3,3.70%,127,70
"Kenny Stills, WR MIA Note",45%,0.6,3.70%,16,103
"Marquise Brown, WR BAL Note",44.90%,0.7,3.70%,0,87
"Kevin White, WR ARI Note",44.50%,1.5,3.60%,0,7
"Courtland Sutton, WR DEN Note",44.50%,0.2,3.60%,2,106
"Robby Anderson, WR NYJ Note",43.90%,0.2,3.50%,23,130
"Dillon Mitchell, WR MIN Note",43.20%,0.5,3.50%,0,19
"Torrey Smith, WR CAR Note",42.80%,0.3,3.40%,19,28
"DeAndre Hopkins, WR HOU Note",41.40%,0.7,3.30%,82,192
"Golden Tate, WR NYG Note",41.20%,0.2,3.30%,37,75
"Mike Williams, WR LAC Note",40.90%,1.2,3.20%,3,124
"J.J. Nelson, WR OAK Note",40.60%,0.4,3.20%,9,41
"Brandin Cooks, WR LAR Note",39.90%,0.2,3.10%,12,148
"Cordarrelle Patterson, WR CHI Note",39.80%,0.2,3.10%,77,42
"Mike Evans, WR TB Note",40%,0.3,3.10%,34,187
"Jarvis Landry, WR CLE Note",39.80%,0.4,3%,127,123
"Dontrelle Inman, WR NE Note",39.80%,0.3,3%,7,10
"Josh Gordon, WR NE Note",39.80%,0.2,3.10%,102,31
"Tajae Sharpe, WR TEN Note",38.90%,0.1,3.00%,2,13
"Michael Gallup, WR DAL Note",38.90%,0.2,3.00%,3,93
"Jaron Brown, WR SEA Note",37%,0.2,2.90%,8,28
"Adam Humphries, WR TEN Note",37%,0.1,2.90%,57,79
"Michael Thomas, WR NO Note",37.30%,0.2,2.90%,51,178
"Tyreek Hill, WR KC Note",37.30%,0.1,2.90%,127,199
"Eli Rogers, WR PIT Note",37.30%,0.1,2.90%,16,8
"Adam Thielen, WR MIN Note",37.30%,0.1,2.90%,127,170
"Taywan Taylor, WR TEN Note",37.30%,0.2,2.90%,10,29
"James Washington, WR PIT Note",37.30%,0.9,2.90%,54,76
"D.J. Moore, WR CAR Note",37.30%,0.1,2.90%,127,141
"Chris Godwin, WR TB Note",32.70%,0.1,2.40%,127,141
"Gary Jennings, WR SEA Note",32.70%,0.1,2.40%,0,44
"Chris Conley, WR JAC Note",31.20%,0.4,2.30%,5,63
"Andy Isabella, WR ARI Note",31.20%,0.1,2.30%,5,70
"Demaryius Thomas, WR NE Note",30.90%,0.6,2.30%,5,22
"A.J. Brown, WR TEN Note",30.70%,0.1,2.30%,5,78
"Diontae Johnson, WR PIT Note",28.50%,0,2.10%,5,39
"Darius Slayton, WR NYG Note",28.50%,0.1,2.10%,5,35
"N'Keal Harry, WR NE Note",26.20%,0.1,1.90%,5,89
"Alex Erickson, WR CIN Note",25.40%,0.1,1.80%,127,21
"Terry McLaurin, WR WAS Note",25.40%,0.1,2%,5,63
"Miles Boykin, WR BAL Note",25.40%,0.1,2%,5,61
"KeeSean Johnson, WR ARI Note",25.40%,0.1,1.80%,5,54
"Kelvin Harmon, WR WAS Note",25.30%,0.1,1.80%,5,26
"Riley Ridley, WR CHI Note",25%,0.1,1.80%,5,26
"Hakeem Butler, WR ARI Note",22%,0.1,1.50%,5,39
"Tevin Coleman, RB SF Note",70.60%,2.1,7.40%,5,139
"Marlon Mack, RB IND Note",62%,3.1,5.90%,4,169
"Kerryon Johnson, RB DET Note",62.00%,2.5,5.90%,1,194
"Royce Freeman, RB DEN Note",62.00%,2,5.90%,4,106
"Josh Jacobs, RB OAK Note",60.50%,2.9,5.60%,0,172
"Adrian Peterson, RB WAS Note",60.20%,3.6,5.60%,5,81
"Derrius Guice, RB WAS Note",58.20%,1.6,5.30%,0,131
"Carlos Hyde, RB KC Note",57.70%,1.4,5.20%,3,66
"Chris Thompson, RB WAS Note",56.80%,2.2,5.10%,2,74
"Dalvin Cook, RB MIN Note",56.80%,1.8,5.10%,1,199
"Leonard Fournette, RB JAC Note",56.80%,2.3,5.10%,2,183
"Bryce Love, RB WAS Note",56.70%,2,5.10%,0,17
"Alfred Blue, RB JAC Note",56.10%,1.9,5.00%,12,52
"C.J. Prosise, RB SEA Note",56.10%,3.4,5.00%,0,9
"Aaron Jones, RB GB Note",55.90%,1.4,5.00%,3,192
"Ty Montgomery, RB NYJ Note",55.60%,3.2,5.00%,2,34
"Le'Veon Bell, RB NYJ Note",55.40%,2.5,4.90%,5,208
"Jerick McKinnon, RB SF Note",55.40%,1.9,4.90%,4,57
"Melvin Gordon, RB LAC Note",55.40%,1.3,4.90%,4,199
"Alvin Kamara, RB NO Note",55.40%,1.6,4.90%,2,257
"Joe Mixon, RB CIN Note",55.40%,1.8,4.90%,5,216
"Sony Michel, RB NE Note",55.40%,2.4,4.90%,1,180
"Rodney Anderson, RB CIN Note",55.20%,2.6,4.90%,0,6
"Doug Martin, RB OAK Note",54.70%,2,4.80%,4,31
"Devonta Freeman, RB ATL Note",54.70%,2,4.80%,4,194
"Saquon Barkley, RB NYG Note",54.70%,1.3,4.80%,6,271
"Theo Riddick, RB DEN Note",54.50%,1.2,4.80%,4,29
"LeSean McCoy, RB BUF Note",54.20%,1.7,4.80%,7,105
"Mark Ingram, RB BAL Note",54.20%,1.3,5%,6,178
"David Johnson, RB ARI Note",54.20%,2.7,5%,4,233
"Ronald Jones, RB TB Note",54.20%,2.8,5%,1,102
"Darren Sproles, RB PHI Note",54.20%,2.5,4.80%,3,27
"Rex Burkhead, RB NE Note",54.10%,2.5,4.70%,3,37
"Rashaad Penny, RB SEA Note",53.80%,1.4,4.70%,7,125
"Lamar Miller, RB HOU Note",53.60%,1.2,4.70%,25,151
"Kenneth Dixon, RB BAL Note",53.60%,1.9,4.70%,1,31
"Jamaal Williams, RB GB Note",53.20%,1.1,4.60%,4,66
"David Montgomery, RB CHI Note",53.10%,1.1,4.60%,0,171
"Todd Gurley, RB LAR Note",52.40%,0.9,4.50%,5,209
"Bilal Powell, RB NYJ Note",52.30%,1.2,4.50%,6,24
"Dwayne Washington, RB NO Note",52.20%,1.6,5%,2,9
"Nick Chubb, RB CLE Note",52.10%,1.4,4.50%,2,218
"Kenyan Drake, RB MIA Note",51.70%,1.3,4.40%,4,155
"Derrick Henry, RB TEN Note",51.70%,1.5,4.40%,49,186
"C.J. Anderson, RB DET Note",51.60%,1.1,4.40%,4,93
"Andre Ellington, RB TB Note",50.50%,2.4,4.30%,5,14
"Damien Williams, RB KC Note",50.50%,1.5,4.30%,14,180
"DeAndre Washington, RB OAK Note",50.50%,1,4.30%,10,7
"Jordan Howard, RB PHI Note",49.80%,1,4.20%,11,110
"T.J. Yeldon, RB BUF Note",49.70%,1,4.20%,7,27
"Latavius Murray, RB NO Note",49.60%,0.6,4.20%,2,140
"Benny Snell, RB PIT Note",49.50%,0.7,4.20%,0,46
"Ameer Abdullah, RB MIN Note",49.40%,1.5,4.20%,2,5
"Nyheim Hines, RB IND Note",49%,1,4.20%,7,85
"Wendell Smallwood, RB PHI Note",49%,0.8,4.10%,8,10
"Ryquell Armstead, RB JAC Note",49%,0.8,4.10%,0,28
"Giovani Bernard, RB CIN Note",48.90%,0.8,4.10%,3,69
"Ezekiel Elliott, RB DAL Note",48.80%,1.4,4%,127,263
"Dion Lewis, RB TEN Note",47.90%,1,4.00%,2,106
"Damien Harris, RB NE Note",47.90%,0.9,4.00%,0,80
"Malcolm Brown, RB LAR Note",46.40%,1.1,3.80%,4,40
"Christian McCaffrey, RB CAR Note",46%,0.8,3.80%,33,253
"Kalen Ballage, RB MIA Note",46.40%,0.9,3.80%,46,99
"James White, RB NE Note",46%,0.6,3.80%,37,129
"Frank Gore, RB BUF Note",45.60%,0.5,3.70%,4,54
"Darrell Henderson, RB LAR Note",45.30%,1,3.70%,0,93
"Tarik Cohen, RB CHI Note",45.20%,0.9,3.70%,127,128
"Duke Johnson, RB HOU Note",42.90%,0.3,3.40%,10,100
"Justice Hill, RB BAL Note",42.80%,0.6,3.40%,0,63
"Zach Zenner, RB DET Note",41.40%,0.8,3%,2,7
"Kareem Hunt, RB CLE Note",41%,0.5,3.30%,127,62
"Miles Sanders, RB PHI Note",41.10%,0.4,3.30%,5,137
"Devontae Booker, RB DEN Note",38.20%,0.4,3.00%,7,21
"Dexter Williams, RB GB Note",37.30%,0.1,2.90%,0,24
"Alexander Mattison, RB MIN Note",37.30%,0.1,2.90%,5,62
"Trayveon Williams, RB CIN Note",37.30%,0.5,2.90%,0,9
"Jalen Richard, RB OAK Note",36.40%,0.1,2.80%,127,63
"Alfred Morris, RB DAL Note",33.90%,0.1,2.50%,127,25
"Devin Singletary, RB BUF Note",32.50%,0.1,2.40%,5,74
"Tony Pollard, RB DAL Note",29.60%,0.1,2.20%,5,55
"Darwin Thompson, RB KC Note",24.20%,0,1.70%,5,43
"Josh Allen, QB BUF Note",51.70%,2.9,4.50%,1,287
"Marcus Mariota, QB TEN Note",46.80%,1.2,3.90%,5,265
"Cam Newton, QB CAR Note",45.00%,0.7,3.70%,7,344
"Derek Carr, QB OAK Note",43.80%,1.3,3.50%,24,311
"Ben Roethlisberger, QB PIT Note",41.50%,0.6,3.30%,18,304
"Robert Griffin III, QB BAL Note",41.40%,0.9,3.30%,1,14
"Jimmy Garoppolo, QB SF Note",41.40%,0.3,3.30%,2,318
"Jameis Winston, QB TB Note",41.40%,0.5,3.30%,13,355
"Deshaun Watson, QB HOU Note",41.40%,2.1,3.30%,1,386
"Josh Rosen, QB MIA Note",39.90%,0.7,3.10%,2,189
"Joe Flacco, QB DEN Note",39.80%,0.7,3.10%,17,257
"Carson Wentz, QB PHI Note",39.80%,1.2,3.10%,2,350
"Sam Darnold, QB NYJ Note",38.30%,0.3,3%,4,283
"Andy Dalton, QB CIN Note",38.20%,0.3,3%,13,295
"Aaron Rodgers, QB GB Note",38.00%,0.5,2.90%,8,370
"Ryan Tannehill, QB TEN Note",37%,0.2,2.80%,4,34
"Ryan Fitzpatrick, QB MIA Note",36.40%,0.2,2.80%,23,70
"Andrew Luck, QB IND Note",36.40%,0.1,2.80%,9,347
"Nick Foles, QB JAC Note",34.80%,0.1,2.60%,5,270
"Russell Wilson, QB SEA Note",32.40%,0.2,2.40%,127,333
"Case Keenum, QB WAS Note",32.30%,0.1,2.40%,14,65
"Mitchell Trubisky, QB CHI Note",31.80%,0.1,2.40%,13,344
"Baker Mayfield, QB CLE Note",30.70%,0.3,2.30%,3,361
"Daniel Jones, QB NYG Note",30.30%,0.1,2.20%,0,69
"Kyler Murray, QB ARI Note",29.10%,0.6,2.10%,0,353
"A.J. McCarron, QB HOU Note",28.70%,0.2,2.10%,1,13
"Dak Prescott, QB DAL Note",25.30%,0.1,1.80%,25,345
"Lamar Jackson, QB BAL Note",25.30%,0.1,1.80%,14,296
"Patrick Mahomes, QB KC Note",24.30%,0.1,1.70%,127,404
"Matthew Stafford, QB DET Note",24.20%,0.1,1.70%,6,294
"Tom Brady, QB NE Note",23%,0.1,1.60%,19,298
"Philip Rivers, QB LAC Note",22.50%,0.1,1.60%,127,330
"Dwayne Haskins, QB WAS Note",21.80%,0.1,1.50%,5,191
"Jared Goff, QB LAR Note",21.70%,0.1,1.50%,127,352
"Drew Lock, QB DEN Note",21.70%,0,1.50%,5,15
"Eli Manning, QB NYG Note",18.60%,0.1,1.30%,127,196
"Matt Ryan, QB ATL Note",18.10%,0.1,1.20%,67,358
"Drew Brees, QB NO Note",16.40%,0.1,1.10%,127,328
"Kirk Cousins, QB MIN Note",16.40%,0,1.10%,80,301
"Jordan Reed, TE WAS Note",73%,3.8,7.90%,2,78
"Tyler Eifert, TE CIN Note",68.50%,4.5,7%,1,49
"O.J. Howard, TE TB Note",62%,2.2,5.90%,2,111
"Evan Engram, TE NYG Note",59.90%,2.4,5.50%,4,119
"Vance McDonald, TE PIT Note",59.80%,3,5.50%,2,91
