"Clyde Edwards-Helaire, RB KC",95%,3.2,16.20%,2,203
"Dalvin Cook, RB MIN",95%,3,16.20%,2,273
"Tevin Coleman, RB NYJ",95%,3.3,16.20%,4,90
"Chase Edmonds, RB ARI",95%,3,16.20%,5,148
"Miles Sanders, RB PHI",95%,3.2,16.20%,5,182
"Phillip Lindsay, RB HOU",94%,3,15.30%,5,95
"Austin Ekeler, RB LAC",94%,2.9,15.30%,5,204
"Raheem Mostert, RB SF",94%,3.6,15.30%,2,105
"Melvin Gordon, RB DEN",93%,3.5,14.50%,5,123
"Myles Gaskin, RB MIA",93%,2.6,14.50%,2,139
"Trey Sermon, RB SF",93%,3,14.50%,0,150
"Leonard Fournette, RB TB",93%,2.8,14.50%,5,144
"Le'Veon Bell, RB UNS",93%,3.2,14.50%,5,33
"Damien Williams, RB CHI",92%,3.4,13.80%,5,56
"Joe Mixon, RB CIN",91%,2.4,13.20%,3,213
"Darrell Henderson, RB LAR",91%,2.5,13.20%,5,159
"Zack Moss, RB BUF",90%,2.5,12.70%,1,116
"Aaron Jones, RB GB",90%,3.3,12.70%,5,233
"Carlos Hyde, RB JAC",90%,3.1,12.70%,4,62
"Devin Singletary, RB BUF",90%,3.2,12.70%,5,90
"Alvin Kamara, RB NO",90%,2.3,12.70%,3,242
"Derrick Henry, RB TEN",90%,2.1,12.70%,5,264
"Damien Harris, RB NE",89%,2.6,12.20%,1,161
"Najee Harris, RB PIT",88%,1.9,11.70%,0,215
"Saquon Barkley, RB NYG",86%,2.2,10.90%,1,218
"D'Andre Swift, RB DET",85%,2.6,10.60%,4,189
"Marlon Mack, RB IND",84%,2.9,10.20%,2,46
"Jamaal Williams, RB DET",83%,2.1,9.90%,5,127
"Ronald Jones, RB TB",81%,3,9.30%,4,125
"Ezekiel Elliott, RB DAL",78%,2.3,8.50%,5,254
"Christian McCaffrey, RB CAR",78%,1.9,8.50%,3,310
"Chris Carson, RB SEA",78%,1.6,8.50%,5,200
"James Conner, RB ARI",74%,2.4,7.60%,5,111
"Cordarrelle Patterson, RB ATL",74%,1.6,7.60%,5,57
"Mark Ingram, RB HOU",74%,2.4,7.60%,5,55
"Mike Davis, RB ATL",73%,1.3,7.40%,5,158
"Josh Jacobs, RB LVR",73%,1.8,7.40%,4,190
"Nick Chubb, RB CLE",71%,1,7%,4,238
"J.K. Dobbins, RB BAL",69%,2.1,6.70%,5,198
"Sony Michel, RB LAR",69%,1.8,6.70%,2,122
"David Montgomery, RB CHI",67%,0.9,6.30%,5,184
"James Robinson, RB JAC",66%,1.8,6.10%,5,206
"Malcolm Brown, RB MIA",66%,1.6,6.10%,5,68
"Rashaad Penny, RB SEA",65%,1.9,6%,2,71
"Travis Etienne, RB JAC",60%,1.4,5.20%,5,0
"Jonathan Taylor, RB IND",60%,1.2,5.20%,5,225
"A.J. Dillon, RB GB",59%,1.9,5.10%,5,102
"Kenyan Drake, RB LVR",56%,1,4.70%,5,108
"Bryce Love, RB UNS",55%,1.8,4.60%,0,14
"Javonte Williams, RB DEN",53%,1.2,4.30%,5,142
"James White, RB NE",53%,1.3,4.30%,5,78
