"Marlon Mack, RB HOU",80%,4.2,9%,2,113.9
"Gus Edwards, RB BAL",16%,1,1%,5,111.5
"Mark Ingram, RB NO",81%,3.6,9.30%,5,97
"Khalil Herbert, RB CHI",29%,0.5,2%,5,95.8
"Raheem Mostert, RB MIA",92%,3,13.80%,2,93.1
"James White, RB NE",77%,3.3,8.30%,5,91.6
"David Johnson, RB UNS",51%,1.9,4.10%,5,90.6
"Sony Michel, RB MIA",69%,1.6,6.70%,2,84.9
"Rex Burkhead, RB HOU",83%,3.8,9.90%,3,83.9
"Damien Williams, RB ATL",92%,3.4,13.80%,5,82.5
"Samaje Perine, RB CIN",43%,1.7,3.30%,5,72.2
"Devontae Booker, RB UNS",35%,1,2.50%,5,71.7
"Darrel Williams, RB ARI",80%,2.9,9%,5,70.5
"Chris Carson, RB SEA",52%,1.5,4.20%,5,70.1
"Jerick McKinnon, RB KC",57%,1.6,4.80%,2,69.5
"Chuba Hubbard, RB CAR",49%,1.8,3.90%,5,69.2
"Latavius Murray, RB UNS",36%,0.4,2.60%,3,66.7
"Devonta Freeman, RB UNS",35%,1.6,2.50%,5,60.1
"Ke'Shawn Vaughn, RB TB",10%,1,0.60%,5,60.1
"Mike Davis, RB BAL",45%,0.9,3.50%,5,58
"Giovani Bernard, RB TB",31%,0.3,2.20%,5,51.6
"Demetric Felton, RB CLE",7%,0.2,0.40%,5,46.9
"Phillip Lindsay, RB IND",90%,2.8,12.70%,5,45.8
"Zack Moss, RB BUF",80%,2.3,9%,1,45.4
"Tevin Coleman, RB NYJ",92%,3,13.80%,4,44.3
"Myles Gaskin, RB MIA",85%,2.3,10.60%,4,42.5
"Carlos Hyde, RB UNS",92%,3.6,13.80%,5,41.8
"Justice Hill, RB BAL",16%,0.9,1%,5,41
"Royce Freeman, RB HOU",44%,0.8,3.40%,5,40.3
"Adrian Peterson, RB UNS",45%,1.3,3.50%,4,39.4
"Jalen Richard, RB UNS",5%,0.2,0.30%,5,38.6
"Trey Sermon, RB SF",54%,1.8,4.50%,0,38.3
"Ty Montgomery, RB NE",79%,4.7,8.80%,3,36.4
"Joshua Kelley, RB LAC",19%,0.7,1.20%,5,35.9
"Duke Johnson, RB BUF",26%,0.5,1.80%,5,33.8
"Malcolm Brown, RB UNS",45%,2.7,3.50%,5,33.2
"Ameer Abdullah, RB LVR",30%,1.2,2.10%,5,31.1
"Darrynton Evans, RB CHI",78%,3.3,8.50%,2,28.9
"Benny Snell, RB PIT",39%,1,2.90%,5,28.8
"Jaylen Samuels, RB UNS",14%,0.2,0.90%,5,28.1
"Larry Rountree, RB LAC",26%,0.7,1.80%,0,26.5
"Anthony McFarland Jr., RB PIT",12%,0.8,0.70%,5,24.2
"Jermar Jefferson, RB DET",39%,1.1,2.90%,5,21.2
"Jaret Patterson, RB WAS",32%,1.3,2.20%,5,18.3
"La'Mical Perine, RB NYJ",24%,1.9,1.60%,5,18.1
"Cooper Kupp, WR LAR",75%,2,7.80%,5,371.1
"Justin Jefferson, WR MIN",61%,1.6,5.40%,5,329.3
"Ja'Marr Chase, WR CIN",34%,1.1,2.40%,5,318.9
"Davante Adams, WR LVR",83%,3.6,9.90%,5,306.3
"CeeDee Lamb, WR DAL",24%,1.5,1.60%,5,296.3
"Stefon Diggs, WR BUF",39%,1.6,2.90%,5,293.4
"Mike Evans, WR TB",46%,1.9,3.60%,5,289.8
"Tyreek Hill, WR MIA",75%,2.7,7.80%,5,285
"Tee Higgins, WR CIN",91%,3.9,13.20%,5,266.5
"D.J. Moore, WR CAR",59%,1.1,5.10%,5,264.7
"Keenan Allen, WR LAC",79%,4.4,8.80%,4,255.8
"Mike Williams, WR LAC",93%,2.9,14.50%,2,249.8
"Brandin Cooks, WR HOU",34%,1,2.40%,5,248.8
"Michael Pittman, WR IND",91%,2.7,13.20%,4,246.4
"Deebo Samuel, WR SF",74%,2.4,7.60%,2,244.2
"A.J. Brown, WR PHI",50%,1.2,4%,5,241.8
"Jaylen Waddle, WR MIA",43%,1.7,3.30%,2,237.3
"Terry McLaurin, WR WAS",78%,2.1,8.50%,5,236.2
"D.K. Metcalf, WR SEA",41%,1.9,3.10%,2,233.4
"Allen Robinson, WR LAR",93%,2.8,14.50%,4,232.7
"Diontae Johnson, WR PIT",84%,3.8,10.20%,5,231.9
"Jerry Jeudy, WR DEN",85%,2.7,10.60%,5,230.4
"Amari Cooper, WR CLE",53%,1.4,4.30%,5,229.5
"Marquise Brown, WR ARI",91%,3.6,13.20%,5,228
"Chris Godwin, WR TB",58%,1.4,5%,5,223.9
"Rashod Bateman, WR BAL",16%,0.3,1%,5,220.6
"Adam Thielen, WR MIN",67%,2.1,6.30%,5,214.5
