"Full Name",Position,"College Target Share","College Dominator Rating"
"Aaron Green",RB,4.6%,18.7%
"Aaron Jones",RB,13.9%,47.0%
"Aaron Ripkowski",RB,2.3%,3.9%
"Adam Choice",RB,2.2%,8.3%
"Adrian Peterson",RB,6.7%,32.5%
"Aeris Williams",RB,6.2%,14.5%
"Ahmad Bradshaw",RB,18.8%,46.3%
"Akeem Hunt",RB,15.4%,27.1%
"Akeem Judd",RB,4.3%,16.3%
"Akrum Wadley",RB,14.5%,32.3%
"Alec Ingold",RB,3.1%,10.1%
"Alex Armah",RB,-,3.2%
"Alex Barnes",RB,10.7%,38.1%
"Alex Collins",RB,4.7%,29.9%
"Alexander Mattison",RB,7.8%,28.7%
"Alfonso Smith",RB,5.6%,8.6%
"Alfred Blue",RB,2.5%,8.0%
"Alfred Morris",RB,5.8%,50.0%
"Alonzo Harris",RB,-,23.4%
"Alvester Alexander",RB,8.7%,26.9%
"Alvin Kamara",RB,14.0%,23.3%
"Ameer Abdullah",RB,9.4%,37.1%
"Andre Brown",RB,10.0%,25.8%
"Andre Ellington",RB,7.4%,20.5%
"Andre Williams",RB,1.9%,44.8%
"Andy Janovich",RB,0.7%,5.7%
"Anthony Dixon",RB,8.1%,39.9%
"Anthony Sherman",RB,10.9%,3.4%
"Anthony Wales",RB,8.1%,34.6%
"Antone Smith",RB,7.0%,27.1%
"Antonio Andrews",RB,16.1%,37.5%
"Arian Foster",RB,12.1%,20.4%
"Austin Ekeler",RB,-,45.7%
"Austin Johnson",RB,1.7%,1.6%
"Austin Walter",RB,19.6%,23.6%
"B.J. Catalon",RB,8.5%,14.7%
"Ben Malena",RB,5.7%,12.8%
"Ben Tate",RB,7.7%,23.4%
"BenJarvis Green-Ellis",RB,4.6%,30.0%
"Benny Cunningham",RB,5.3%,41.2%
"Benny Snell",RB,7.1%,41.1%
"Bernard Pierce",RB,4.5%,42.9%
"Bilal Powell",RB,5.6%,34.2%
"Bishop Sankey",RB,9.6%,36.8%
"Blake Sims",RB,0.6%,7.8%
"Bo Scarbrough",RB,6.6%,14.9%
"Bobby Rainey",RB,16.3%,48.2%
"Boom Williams",RB,5.5%,21.7%
"Boston Scott",RB,6.4%,23.3%
"Bralon Addison",RB,26.1%,15.3%
"Branden Oliver",RB,12.7%,36.9%
"Brandon Bolden",RB,13.6%,26.9%
"Brandon Burks",RB,10.0%,28.0%
"Brandon Radcliff",RB,2.8%,16.2%
"Brandon Wegher",RB,4.1%,39.3%
"Brandon Wilds",RB,6.8%,18.0%
"Braylon Heard",RB,6.9%,11.8%
"Brennan Clay",RB,7.0%,16.6%
"Brian Hill",RB,7.8%,34.2%
"Bronson Hill",RB,6.5%,20.5%
"Bruce Anderson",RB,-,18.8%
"Bryce Brown",RB,4.5%,11.1%
