"Full Name",Position,ADP,"Draft Year","Draft Pick"
"Aaron Green",RB,-,2016,Undrafted
"Aaron Jones",RB,33.61,2017,5.39
"Aaron Ripkowski",RB,350,2015,6.30
"Adam Choice",RB,350,2019,Undrafted
"Adrian Peterson",RB,174.11,2007,1.07
"Aeris Williams",RB,-,2019,Undrafted
"Ahmad Bradshaw",RB,-,2007,7.40
"Akeem Hunt",RB,349.46,2015,Undrafted
"Akeem Judd",RB,-,2017,Undrafted
"Akrum Wadley",RB,350,2018,Undrafted
"Alec Ingold",RB,350,2019,Undrafted
"Alex Armah",RB,350,2017,6.08
"Alex Barnes",RB,341.77,2019,Undrafted
"Alex Collins",RB,342.56,2016,5.34
"Alexander Mattison",RB,200.12,2019,3.38
"Alfonso Smith",RB,-,2010,Undrafted
"Alfred Blue",RB,314.3,2014,6.05
"Alfred Morris",RB,341.2,2012,6.03
"Alonzo Harris",RB,-,2015,Undrafted
"Alvester Alexander",RB,-,2012,Undrafted
"Alvin Kamara",RB,3.65,2017,3.03
"Ameer Abdullah",RB,348.92,2015,2.22
"Andre Brown",RB,-,2009,4.29
"Andre Ellington",RB,347.64,2013,6.19
"Andre Williams",RB,350,2014,4.13
"Andy Janovich",RB,350,2016,6.01
"Anthony Dixon",RB,350,2010,6.04
"Anthony Sherman",RB,350,2011,5.05
"Anthony Wales",RB,-,2017,Undrafted
"Antone Smith",RB,-,2009,Undrafted
"Antonio Andrews",RB,-,2014,Undrafted
"Arian Foster",RB,350,2009,Undrafted
"Austin Ekeler",RB,107.45,2017,Undrafted
"Austin Johnson",RB,-,2012,Undrafted
"Austin Walter",RB,350,2019,Undrafted
"B.J. Catalon",RB,-,2015,Undrafted
"Ben Malena",RB,-,2014,Undrafted
"Ben Tate",RB,-,2010,2.26
"BenJarvis Green-Ellis",RB,-,2008,Undrafted
"Benny Cunningham",RB,349.85,2013,Undrafted
"Benny Snell",RB,264.3,2019,4.20
"Bernard Pierce",RB,-,2012,3.21
"Bilal Powell",RB,346.73,2011,4.29
"Bishop Sankey",RB,350,2014,2.22
"Blake Sims",RB,-,2015,Undrafted
"Bo Scarbrough",RB,349.92,2018,7.18
"Bobby Rainey",RB,350,2012,Undrafted
"Boom Williams",RB,-,2017,Undrafted
"Boston Scott",RB,349.23,2018,6.27
