"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Chris Ogbonnaya",RB,"31 5/8",72,"225 lbs",30.5,"9 7/8",33.3,4.29,99.8,109.8,6.85
"Chris Polk",RB,"31 1/2",70,"222 lbs",31.9,"9 3/4",29.7,4.21,100.2,106.2,7.13
"Chris Rainey",RB,"30 3/4",68,"175 lbs",26.6,"9 1/2",31.5,3.93,97.2,120.5,6.50
"Chris Thompson",RB,"30 1/4",67,"192 lbs",30.1,"9 1/4",28.8,-,102.0,-,-
"Chris Warren",RB,"32    ",74,"247 lbs",31.7,"10    ",23.2,4.18,103.1,123.9,6.98
"Christian McCaffrey",RB,"30    ",71,"202 lbs",28.2,"9    ",23.2,4.22,97.9,105.1,6.57
"Christian Powell",RB,"32 1/2",71,"229 lbs",31.9,"8 7/8",25.4,4.38,99.5,98.0,7.21
"Christian Wade",RB,-,68,"190 lbs",28.9,-,28.2,-,-,-,-
"Christine Michael",RB,"31 1/2",70,"220 lbs",31.6,"9 3/8",28.8,4.02,110.1,147.4,6.69
"Christopher Ezeala",RB,-,71,"243 lbs",33.9,-,23.1,-,-,-,-
"Cierre Wood",RB,"30 7/8",71,"213 lbs",29.7,"8 5/8",28.5,4.29,100.8,109.7,6.87
"Corey Clement",RB,"30 1/2",70,"220 lbs",31.6,"9 3/4",24.8,4.28,99.1,100.6,6.91
"Corey Grant",RB,"30 7/8",71,"201 lbs",28.0,"8 1/4",27.7,4.08,101.9,135.2,7.00
"Craig Reynolds",RB,"30    ",69,"212 lbs",31.3,"8 3/4",-,4.25,101.3,107.0,6.89
"Cullen Gillaspia",RB,"30 3/4",73,"234 lbs",30.9,"9 1/8",-,4.28,100.2,112.5,6.95
"Cyrus Gray",RB,"29 1/2",70,"198 lbs",28.4,"9 1/8",29.7,4.28,97.2,113.9,7.17
"D'Angelo Brewer",RB,"29 1/4",67,"190 lbs",29.8,"8 7/8",23.6,4.50,90.9,74.7,7.46
"D'Ernest Johnson",RB,"31    ",71,"200 lbs",27.9,"9 5/8",-,4.34,91.7,94.1,7.23
"D'Onta Foreman",RB,"31 3/8",72,"233 lbs",31.6,"10 1/8",23.3,4.26,102.3,113.9,7.21
"D.J. Adams",RB,"30 1/2",69,"199 lbs",29.4,"9    ",28.9,4.46,95.3,96.6,7.49
"D.J. Foster",RB,"30 1/2",70,"193 lbs",27.7,"9 1/4",25.7,4.07,96.1,108.4,6.75
"D.J. Knox",RB,"29 3/4",67,"211 lbs",33.0,"9    ",23.7,4.46,100.7,112.4,7.54
"Da'Rel Scott",RB,"32 3/8",71,"210 lbs",29.3,"9    ",31.2,4.20,100.6,122.8,7.15
"Dalton Crossan",RB,"28 1/2",71,"205 lbs",28.6,"9 1/2",25.5,4.14,99.3,118.4,6.85
"Dalvin Cook",RB,"33 3/8",70,"210 lbs",30.1,"9 1/4",24.0,4.53,98.9,107.1,7.27
"Dalyn Dawkins",RB,"29    ",67,"183 lbs",28.7,"8 3/8",24.7,4.45,92.7,80.3,7.12
"Damarea Crockett",RB,"32    ",70,"225 lbs",32.3,"9 5/8",21.6,4.32,104.4,118.7,7.43
"Damien Harris",RB,"30 3/4",70,"216 lbs",31.0,"9 3/4",22.5,-,-,-,-
"Damien Williams",RB,"30 5/8",71,"222 lbs",31.0,"9 1/8",27.4,4.25,101.9,114.8,7.37
"Dan Herron",RB,"32    ",70,"215 lbs",30.8,"9    ",30.4,4.04,101.9,122.1,6.97
"Dan Vitale",RB,"31 3/4",73,"239 lbs",31.5,"9 3/4",25.8,4.12,107.1,145.0,7.12
"Daniel Lasco",RB,"32    ",72,"209 lbs",28.3,"9 1/8",26.8,4.26,102.9,130.8,7.22
"Daniel Thomas",RB,"32 1/4",72,"233 lbs",31.6,"9    ",31.8,4.29,102.3,112.7,7.06
"Danny Woodhead",RB,"28 3/8",68,"195 lbs",29.6,"9 1/8",34.6,4.20,102.7,122.7,7.03
"Dare Ogunbowale",RB,"31 3/8",71,"213 lbs",29.7,"9 1/8",25.3,4.34,97.7,98.7,6.99
