method,baseline_variant,challenger_variant,n_rows,baseline_rmse,challenger_rmse,pooled_delta,recent_delta,season_wins,season_count,season_95_low,season_95_high,player_95_low,player_95_high,nonworse_positions,position_count,position_deltas_json
controlled_equal_thirds,incumbent,raw_gap,3622,2.8812474053458432,2.875568826300981,-0.005678579044862353,0.003950159477906112,4,9,-0.017812155951673216,0.003907936394198584,-0.014382381912749532,0.0031432141721340003,3,4,"{""QB"": -0.03834828824927694, ""RB"": -0.00072959211893453, ""TE"": 0.0025174135919034946, ""WR"": -0.0035788722862082345}"
controlled_equal_thirds,incumbent,smooth_k5,3622,2.8812474053458432,2.8771570385932104,-0.004090366752632857,0.0007835108137990154,6,9,-0.011682264232286388,0.002770364033577795,-0.01002338169476008,0.0019399221701398605,2,4,"{""QB"": -0.037124949116984496, ""RB"": 0.0015888029180461949, ""TE"": 0.0029409739252148626, ""WR"": -0.0019427483550207292}"
controlled_equal_thirds,incumbent,smooth_k3,3622,2.8812474053458432,2.8793070836060655,-0.0019403217397777617,0.002295637297267117,6,9,-0.008584798052329123,0.00430318650004615,-0.0074717583557650236,0.0036215192358689074,2,4,"{""QB"": -0.029553998787800406, ""RB"": 0.0037917450281592657, ""TE"": 0.0020806291588812975, ""WR"": -0.00014027320687848288}"
controlled_equal_thirds,incumbent,smooth_k8,3622,2.8812474053458432,2.8767098047687627,-0.004537600577080525,0.0018307706541884627,5,9,-0.01298106029342746,0.002543776421063035,-0.011145568386190042,0.0021970905194168425,2,4,"{""QB"": -0.03760648046557069, ""RB"": 0.0018653334961196144, ""TE"": 0.0028780218017980808, ""WR"": -0.0031502600590949115}"
controlled_equal_thirds,incumbent,hard_floor_k5,3622,2.8812474053458432,2.877995575948031,-0.0032518293978123225,0.002118895978596047,5,9,-0.00961614306532702,0.00261980961138251,-0.008892491740012077,0.002289799502442445,2,4,"{""QB"": -0.034456065981834705, ""RB"": 0.0017441131096957996, ""TE"": 0.0024561945020553644, ""WR"": -0.0005174065602209232}"
controlled_equal_thirds,incumbent,additive_k5,3622,2.8812474053458432,2.8768847477889206,-0.004362657556922667,-0.00010359140666160727,5,9,-0.012391789722709268,0.0027955556621642656,-0.01028727663016149,0.0019163278685264571,2,4,"{""QB"": -0.03811186043868986, ""RB"": 0.0012749323843359583, ""TE"": 0.0021631605972478596, ""WR"": -0.0017834224405213206}"
equal_thirds,incumbent,raw_gap,3622,2.879191554329908,2.8735408527679547,-0.005650701561953131,0.004120604265654748,5,9,-0.01818176639403819,0.004588280218593785,-0.013800575059910026,0.002442203651654595,3,4,"{""QB"": -0.04490642693358238, ""RB"": -0.000747469776873011, ""TE"": 0.0030285357987627215, ""WR"": -0.0017433867712681739}"
equal_thirds,incumbent,smooth_k5,3622,2.879191554329908,2.8751576542216633,-0.004033900108244559,0.0005155045807385683,4,9,-0.011696661229746386,0.0030239465451100678,-0.009441079518074913,0.0015628904410634901,2,4,"{""QB"": -0.04098196434398771, ""RB"": 0.001143443349085782, ""TE"": 0.0033993257493900586, ""WR"": -0.00045897721566667826}"
equal_thirds,incumbent,smooth_k3,3622,2.879191554329908,2.877396099672901,-0.001795454657006701,0.002201668091019293,4,9,-0.008929800625045236,0.00475724149841433,-0.006872238737474823,0.00339276550773709,1,4,"{""QB"": -0.030189554561424803, ""RB"": 0.0028075705657775174, ""TE"": 0.0022345389836684326, ""WR"": 0.0011807695076244684}"
equal_thirds,incumbent,smooth_k8,3622,2.879191554329908,2.874843208124063,-0.004348346205844678,0.002202186578154297,4,9,-0.012707996748958584,0.0029167638333087043,-0.010567142603582224,0.0018566532244422937,2,4,"{""QB"": -0.04170726134481928, ""RB"": 0.0015328898813753433, ""TE"": 0.002906160480738773, ""WR"": -0.0011753434875405588}"
equal_thirds,incumbent,hard_floor_k5,3622,2.879191554329908,2.8762866970614014,-0.0029048572685064222,0.002016051688068732,4,9,-0.009618196872371355,0.003118300991610422,-0.008221464991395633,0.0022937137980675285,1,4,"{""QB"": -0.03615448828961565, ""RB"": 0.0012902647047288163, ""TE"": 0.002982669962593665, ""WR"": 0.0010522088731672596}"
equal_thirds,incumbent,additive_k5,3622,2.879191554329908,2.874930573253576,-0.00426098107633166,-4.2412795271395964e-05,4,9,-0.012442873340842032,0.003134083837737526,-0.009678590184064561,0.001515539152072686,1,4,"{""QB"": -0.0417345005122538, ""RB"": 0.0005506609087593262, ""TE"": 0.002416874204620889, ""WR"": 5.7288349703199515e-05}"
