season,position,rows,available_rows,mean_provider_count,median_provider_count,coverage
2008,QB,50,0,1.0,1.0,0.0
2008,RB,99,0,1.0,1.0,0.0
2008,TE,50,0,1.0,1.0,0.0
2008,WR,139,0,1.0,1.0,0.0
2009,QB,50,0,1.0,1.0,0.0
2009,RB,99,0,1.0,1.0,0.0
2009,TE,50,0,1.0,1.0,0.0
2009,WR,128,0,1.0,1.0,0.0
2010,QB,50,0,1.0,1.0,0.0
2010,RB,100,0,1.0,1.0,0.0
2010,TE,50,0,1.0,1.0,0.0
2010,WR,125,0,1.0,1.0,0.0
2011,QB,50,0,1.0,1.0,0.0
2011,RB,100,0,1.0,1.0,0.0
2011,TE,50,0,1.0,1.0,0.0
2011,WR,144,0,1.0,1.0,0.0
2012,QB,50,0,1.0,1.0,0.0
2012,RB,100,0,1.0,1.0,0.0
2012,TE,50,0,1.0,1.0,0.0
2012,WR,140,0,1.0,1.0,0.0
2013,QB,50,0,1.0,1.0,0.0
2013,RB,100,0,1.0,1.0,0.0
2013,TE,50,0,1.0,1.0,0.0
2013,WR,140,0,1.0,1.0,0.0
2014,QB,50,49,2.98,3.0,0.98
2014,RB,144,0,1.6597222222222223,2.0,0.0
2014,TE,125,0,1.392,1.0,0.0
2014,WR,230,0,1.565217391304348,2.0,0.0
2015,QB,50,50,3.0,3.0,1.0
2015,RB,197,0,1.4771573604060915,1.0,0.0
2015,TE,167,49,1.9281437125748504,2.0,0.2934131736526946
2015,WR,279,129,2.111111111111111,2.0,0.46236559139784944
2016,QB,50,50,3.98,4.0,1.0
2016,RB,181,93,2.0331491712707184,3.0,0.5138121546961326
2016,TE,148,50,1.6756756756756757,1.0,0.33783783783783783
2016,WR,262,144,2.1030534351145036,3.0,0.549618320610687
2017,QB,50,50,4.0,4.0,1.0
2017,RB,248,94,1.7580645161290323,1.0,0.3790322580645161
2017,TE,224,49,1.4375,1.0,0.21875
2017,WR,433,141,1.653579676674365,1.0,0.325635103926097
2018,RB,247,96,1.7813765182186234,1.0,0.38866396761133604
2018,TE,226,48,1.424778761061947,1.0,0.21238938053097345
2018,WR,445,242,2.393258426966292,3.0,0.5438202247191011
2019,QB,50,50,3.98,4.0,1.0
2019,RB,205,97,1.946341463414634,1.0,0.47317073170731705
2019,TE,173,48,1.5549132947976878,1.0,0.2774566473988439
2019,WR,338,132,1.7840236686390532,1.0,0.3905325443786982
2020,QB,50,50,3.98,4.0,1.0
2020,RB,223,129,2.717488789237668,3.0,0.57847533632287
2020,TE,170,105,2.7,3.0,0.6176470588235294
2020,WR,324,127,1.7962962962962963,1.0,0.39197530864197533
2021,QB,50,50,4.0,4.0,1.0
2021,RB,201,90,1.900497512437811,1.0,0.44776119402985076
2021,TE,179,49,1.547486033519553,1.0,0.2737430167597765
2021,WR,338,192,2.7071005917159763,3.0,0.5680473372781065
2022,QB,50,50,4.0,4.0,1.0
2022,RB,225,121,2.528888888888889,3.0,0.5377777777777778
2022,TE,177,48,1.5423728813559323,1.0,0.2711864406779661
2022,WR,321,201,2.781931464174455,3.0,0.6261682242990654
2023,QB,50,50,4.0,4.0,1.0
2023,RB,210,113,2.723809523809524,3.0,0.5380952380952381
2023,TE,167,113,2.784431137724551,3.0,0.6766467065868264
2023,WR,343,180,2.6501457725947524,3.0,0.5247813411078717
2024,QB,67,66,4.656716417910448,5.0,0.9850746268656716
2024,RB,194,155,3.6907216494845363,4.0,0.7989690721649485
2024,TE,159,129,3.540880503144654,4.0,0.8113207547169812
2024,WR,308,252,3.6948051948051948,4.0,0.8181818181818182
2025,QB,67,67,6.552238805970149,7.0,1.0
2025,RB,212,164,5.55188679245283,7.0,0.7735849056603774
2025,TE,169,137,5.390532544378698,6.0,0.8106508875739645
2025,WR,315,237,5.40952380952381,7.0,0.7523809523809524
2026,QB,68,67,6.323529411764706,7.0,0.9852941176470589
2026,RB,166,130,5.096385542168675,7.0,0.7831325301204819
2026,TE,150,108,4.506666666666667,5.0,0.72
2026,WR,234,185,5.141025641025641,7.0,0.7905982905982906
