league,player,season,projection_trajectory_change_1year,projection_trajectory_change_3year,projection_trajectory_prior_year_available,projection_trajectory_prior_3year_count,projection_trajectory_prior_3year_std,match_projection_trajectory_1year_pct,match_projection_trajectory_3year_pct,match_projection_trajectory_prior_year_available,match_projection_trajectory_history_depth
dk,Ladd McConkey,2026,-2.0277751269867252,-0.35641042110437304,1,2,2.0892058823529407,0.20657276995305165,0.5576036866359447,1,0.6666666666666666
dk,Terrelle Pryor,2017,7.465142819849308,9.697642819849309,1,3,2.0779226405234628,0.9822222222222222,0.9912663755458515,1,1.0
