target_name,model_name,forecast_origin,candidate_id,parameters_json,selection_score,selection_start_season,selection_end_season,selection_seasons
total,lasso,2017,3,"{""alpha"": 0.3}",4.043477001433464,2013,2016,4
total,lasso,2018,3,"{""alpha"": 0.3}",3.9907640473283217,2013,2017,5
total,lasso,2019,3,"{""alpha"": 0.3}",3.9881891168353554,2013,2018,6
total,lasso,2020,3,"{""alpha"": 0.3}",4.101399893927906,2013,2019,7
total,lasso,2021,3,"{""alpha"": 0.3}",4.178047606590578,2013,2020,8
total,lasso,2022,3,"{""alpha"": 0.3}",4.071722152693402,2013,2021,9
total,lasso,2023,3,"{""alpha"": 0.3}",4.0846834700537995,2013,2022,10
total,lasso,2024,3,"{""alpha"": 0.3}",4.058466749631503,2013,2023,11
total,lasso,2025,3,"{""alpha"": 0.3}",4.062861841956496,2013,2024,12
total,random_forest,2017,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.171121606885832,2013,2016,4
total,random_forest,2018,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.092659285494017,2013,2017,5
total,random_forest,2019,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.042233809663814,2013,2018,6
total,random_forest,2020,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.100538234567924,2013,2019,7
total,random_forest,2021,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.212270420828716,2013,2020,8
total,random_forest,2022,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.116463192746136,2013,2021,9
total,random_forest,2023,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.133064891869564,2013,2022,10
total,random_forest,2024,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",4.102901302847512,2013,2023,11
