method,slice_type,slice_value,n_rows,rmse,mae,bias,spearman
expert_direct_team_game,all,all,343,6.756925527672389,4.983249544182158,-2.9205955051080714,0.55208861558921
expert_component_sum,all,all,343,6.758296567218547,4.983607877725451,-2.93304920873871,0.5543554955818827
expert_component_sum_plus_prior_other,all,all,343,6.9522505581183065,5.092523987045877,-3.3550878174652397,0.5542818955821206
expert_recalibrated,all,all,343,4.2728983191587835,3.3825848238347236,-0.5388828558139622,0.541440851583223
conditional_ppg_primary_blend,all,all,343,4.007201961152318,3.14879432942902,-0.1859634696610732,0.5456306988424073
qb_direct_total_lasso,all,all,343,4.032044638152944,3.1707412319884583,0.06249655991422813,0.539469412397676
qb_component_sum_lasso,all,all,343,4.118479242687031,3.2813696618503583,0.5375655117781964,0.5241073825483412
qb_direct_total_random_forest,all,all,343,4.0086260879073645,3.1905931760136625,0.08810543410365636,0.5348685946347697
qb_component_sum_random_forest,all,all,343,4.055480549265949,3.2200950905428227,0.5954778619905211,0.5286747457659012
qb_direct_total_lightgbm,all,all,343,4.047103706536203,3.2548050535550392,0.07524327853201848,0.5204680127686344
qb_component_sum_lightgbm,all,all,343,4.019916147305041,3.1879310029264754,0.5834284070829642,0.535466464531827
qb_direct_total_blend,all,all,343,3.9976272508833524,3.1773128615831054,0.07528175751663439,0.5400693639108883
qb_component_sum_blend,all,all,343,4.007661061658944,3.180118245006192,0.5721572602838939,0.5400278802746588
qb_component_sum_plus_prior_other,all,all,343,3.9706279076467155,3.1447443658498178,0.15011865155736442,0.5398292346187352
expert_direct_team_game,window,2023-2025,121,6.822636566064375,5.243603963233668,-3.0081290465113866,0.5122070180192385
expert_component_sum,window,2023-2025,121,6.801066888831972,5.226534209725905,-2.9717479862432223,0.511217992141986
expert_component_sum_plus_prior_other,window,2023-2025,121,6.9911754604308385,5.339011047580836,-3.384040009190059,0.5115431513345075
expert_recalibrated,window,2023-2025,121,4.01821454129186,3.181526054090762,-0.15410001897983416,0.5068486654924805
conditional_ppg_primary_blend,window,2023-2025,121,3.810717922973506,2.997599189519504,0.0792367412024211,0.5168134399132908
