Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
97	19742	Purdy, Brock	SF	QB	97.41	17	160		896		
98	20278	Corum, Blake	LA	RB	97.73	65	153		896		
99	17061	Meyers, Jakobi	JAX	WR	98.39	64	136		896		
100	19460	Robinson, Wan'Dale	TEN	WR	100.19	60	138		896		
101	17963	Dobbins, J.K.	DEN	RB	101.24	55	173		894		
102	14748	Goff, Jared	DET	QB	101.98	17	165		896		
103	15234	Mahomes, Patrick	KC	QB	102.66	21	173		896		
104	20283	Downs, Josh	IND	WR	105.51	60	179		896		
105	20299	Nix, Bo	DEN	QB	105.61	19	173		896		
106	20274	Addison, Jordan	MIN	WR	105.97	68	154		896		
107	21133	Brooks, Jonathon	CAR	RB	106.46	51	213		886		
108	20311	Reed, Jayden	GB	WR	107.86	68	169		896		
109	19436	White, Rachaad	WAS	RB	109.26	63	220		889		
110	16069	Mayfield, Baker	TB	QB	115.77	32	191		896		
111	19872	Mason, Jordan	MIN	RB	115.94	80	176		891		
112	22114	Higgins, Jayden	HOU	WR	116.41	72	158		896		
113	22220	Shough, Tyler	NO	QB	117.92	27	199		895		
114	15360	Kittle, George	SF	TE	118.68	49	195		891		
115	21128	Worthy, Xavier	KC	WR	119.34	61	176		894		
116	19476	Ferguson, Jake	DAL	TE	119.39	75	161		896		
117	17009	Murray, Kyler	MIN	QB	120.57	20	215		893		
118	17997	Love, Jordan	GB	QB	120.84	30	216		895		
119	19455	Doubs, Romeo	NE	WR	121.21	67	174		896		
120	22085	Golden, Matthew	GB	WR	121.54	66	183		893		
121	11842	Kelce, Travis	KC	TE	122.52	63	172		895		
122	20300	Kincaid, Dalton	BUF	TE	123.57	78	167		894		
123	19462	Shakir, Khalil	BUF	WR	124.47	64	166		896		
124	22130	Croskey-Merritt, Jacory	WAS	RB	124.74	73	171		878		
125	19464	Likely, Isaiah	NYG	TE	126.63	72	192		896		
126	21146	Pearsall, Ricky	SF	WR	128.64	61	342		742		
127	16151	Goedert, Dallas	PHI	TE	130.01	72	166		895		
128	22933	Concepcion, KC	CLE	WR	130.29	77	208		887		
129	21570	Coker, Jalen	CAR	WR	130.45	86	187		895		
130	15392	Jones Sr., Aaron	MIN	RB	130.64	81	224		877		
131	21183	Tracy Jr., Tyrone	NYG	RB	134.25	96	176		869		
132	13671	Diggs, Stefon	WAS	WR	136.20	61	212		888		
133	16075	Andrews, Mark	BAL	TE	136.36	97	173		888		
134	19441	Allgeier, Tyler	ARZ	RB	139.45	68	234		877		
135	19934	Shaheed, Rashid	SEA	WR	141.92	87	197		892		
136	22101	Gadsden, Oronde	LAC	TE	143.31	78	220		874		
137	22109	Marks, Woody	HOU	RB	143.52	49	209		862		
138	19458	Willis, Malik	MIA	QB	143.67	39	239		866		
139	20308	Rodriguez Jr., Chris	JAX	RB	144.54	81	292		861		
140	16077	Darnold, Sam	SEA	QB	146.16	33	240		866		
141	4343	Texans, Houston	HOU	TDSP	146.41	89	185		896		
142	20280	Stroud, C.J.	HOU	QB	150.69	36	240		811		
143	22941	Coleman, Jonah	DEN	RB	151.73	81	209		856		
144	18582	Johnson, Juwan	NO	TE	152.72	78	232		886		
145	20310	Ward, Cam	TEN	QB	152.74	50	240		852		
146	20425	Strange, Brenton	JAX	TE	153.05	97	237		876		
147	20344	Mitchell, Keaton	LAC	RB	153.26	100	236		856		
148	19469	Charbonnet, Zach	SEA	RB	155.22	50	301		856		
149	1996	Rams, Los Angeles (LAR)	LA	TDSP	156.86	98	197		896		
150	21153	McMillan, Jalen	TB	WR	157.53	94	238		861		
151	22934	Boston, Denzel	CLE	WR	157.64	82	284		867		
152	18033	Jennings, Jauan	MIN	WR	159.77	94	242		875		
153	22099	Sampson, Dylan	CLE	RB	159.79	100	224		853		
154	17008	Jones, Daniel	IND	QB	159.90	40	278		816		
155	19633	Okonkwo, Chig	WAS	TE	160.43	116	292		869		
156	1989	Seahawks, Seattle	SEA	TDSP	162.10	100	211		896		
157	20329	Spears, Tyjae	TEN	RB	163.51	97	220		855		
158	17019	Samuel Sr., Deebo	SF	WR	164.09	84	289		881		
159	19486	Pacheco, Isiah	DET	RB	164.96	94	282		858		
160	14968	Henry, Hunter	NE	TE	165.11	120	238		868		
161	1863	Broncos, Denver	DEN	TDSP	166.20	102	211		896		
162	20357	Tucker, Tre	LV	WR	167.75	111	246		878		
163	19715	Nailor, Jalen	LV	WR	168.82	99	336		868		
164	22939	Johnson, Emmett	KC	RB	169.06	93	299		853		
165	22935	Sadiq, Kenyon	NYJ	TE	169.57	97	239		853		
166	22948	Cooper Jr., Omar	NYJ	WR	172.94	113	302		855		
167	22074	Harris, Tre'	LAC	WR	176.39	111	277		858		
168	15293	Kamara, Alvin	NO	RB	176.88	106	270		855		
169	20281	Young, Bryce	CAR	QB	178.59	49	249		658		
170	17964	Jeudy, Jerry	CLE	WR	180.97	119	268		861		
171	17014	Hockenson, T.J.	MIN	TE	183.39	121	251		834		
172	20279	Bigsby, Tank	PHI	RB	183.69	121	282		846		
173	19468	Robinson, Brian	ATL	RB	184.12	47	271		850		
174	16255	Schultz, Dalton	HOU	TE	184.69	93	240		813		
175	22134	TeSlaa, Isaac	DET	WR	186.75	111	261		847		
176	1926	Patriots, New England	NE	TDSP	187.14	126	263		895		
177	1961	Eagles, Philadelphia	PHI	TDSP	188.35	121	236		896		
178	22955	Washington Jr., Mike	LV	RB	189.25	100	332		836		
179	14802	Brissett, Jacoby	ARZ	QB	189.30	48	274		662		
180	1898	Jaguars, Jacksonville	JAX	TDSP	193.64	139	237		894		
181	21355	Flournoy, Ryan	DAL	WR	194.30	117	309		795		
182	1919	Vikings, Minnesota	MIN	TDSP	194.86	131	240		884		
183	22058	Hunter, Travis	JAX	WR	195.54	84	305		842		
184	1968	Steelers, Pittsburgh	PIT	TDSP	195.61	128	239		888		
185	2964	Cowboys, Dallas	DAL	TK	195.94	86	175		532		
186	21315	Barner, AJ	SEA	TE	198.44	140	240		809		
187	21154	Washington, Malik	MIA	WR	198.76	109	317		825		
188	22956	Williams, Antonio	WAS	WR	198.87	109	356		776		
189	21169	Vidal, Kimani	LAC	RB	199.26	121	298		822		
