Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
98	19833	Warren, Jaylen	PIT	RB	99.45	84	118		47		
99	19872	Mason, Jordan	MIN	RB	99.49	57	127		47		
100	18826	Harris, Najee	LAC	RB	99.68	52	122		47		
101	19469	Charbonnet, Zach	SEA	RB	100.64	81	113		47		
102	18771	Williams, Javonte	DAL	RB	100.89	76	128		47		
103	15238	Engram, Evan	DEN	TE	101.57	75	132		47		
104	22077	Skattebo, Cam	NYG	RB	102.21	76	126		47		
105	18169	Mooney, Darnell	ATL	WR	104.49	86	127		47		
106	22114	Higgins, Jayden	HOU	WR	108.68	86	166		47		
107	15227	Njoku, David	CLE	TE	109.06	90	140		47		
108	21130	Coleman, Keon	BUF	WR	112.51	97	140		47		
109	17963	Dobbins, J.K.	DEN	RB	114.23	77	168		47		
110	22060	Burden, Luther	CHI	WR	115.79	69	168		47		
111	20329	Spears, Tyjae	TEN	RB	116.36	91	144		47		
112	18791	Stevenson, Rhamondre	NE	RB	116.43	90	141		47		
113	21178	Guerendo, Isaac	SF	RB	116.60	90	139		47		
114	17009	Murray, Kyler	ARZ	QB	117.77	81	146		47		
115	22106	Tuten, Bhayshul	JAX	RB	118.30	95	144		47		
116	21124	Williams, Caleb	CHI	QB	118.62	52	153		47		
117	22074	Harris, Tre	LAC	WR	118.72	90	165		47		
118	16132	Kirk, Christian	HOU	WR	119.40	91	167		47		
119	21135	Benson, Trey	ARZ	RB	119.64	82	143		47		
120	22067	Warren, Tyler	IND	TE	120.45	93	157		47		
121	20293	Mims, Marvin	DEN	WR	122.89	104	149		47		
122	14553	Prescott, Dak	DAL	QB	123.47	65	166		47		
123	19436	White, Rachaad	TB	RB	123.51	92	144		47		
124	21151	Davis, Ray	BUF	RB	124.87	105	149		47		
125	15319	Smith, Jonnu	PIT	TE	126.13	86	202		47		
126	19934	Shaheed, Rashid	NO	WR	126.23	94	156		47		
127	14748	Goff, Jared	DET	QB	126.91	58	180		47		
128	19742	Purdy, Brock	SF	QB	128.98	91	185		47		
129	22092	Blue, Jaydon	DAL	RB	129.96	97	175		46		
130	18783	Fields, Justin	NYJ	QB	130.57	73	178		47		
131	17007	Brown, Hollywood	KC	WR	131.17	90	166		47		
132	20312	Kraft, Tucker	GB	TE	132.02	96	174		47		
133	20290	Tillman, Cedric	CLE	WR	134.64	102	184		47		
134	18785	Bateman, Rashod	BAL	WR	137.21	87	178		47		
135	20300	Kincaid, Dalton	BUF	TE	137.43	106	163		47		
136	22128	Williams, Kyle	NE	WR	137.66	94	179		46		
137	19441	Allgeier, Tyler	ATL	RB	139.51	124	164		47		
138	21125	Maye, Drake	NE	QB	140.40	87	168		47		
139	20279	Bigsby, Tank	JAX	RB	141.09	105	182		47		
140	22075	Loveland, Colston	CHI	TE	142.32	113	169		47		
141	21160	Wright, Jaylen	MIA	RB	143.79	117	187		47		
142	17976	Herbert, Justin	LAC	QB	146.04	104	212		47		
143	19460	Robinson, Wan'Dale	NYG	WR	146.26	117	180		47		
144	19476	Ferguson, Jake	DAL	TE	147.00	112	179		47		
145	21153	McMillan, Jalen	TB	WR	148.57	85	199		47		
146	2964	Cowboys, Dallas	DAL	TK	148.96	120	171		47		
147	21137	Legette, Xavier	CAR	WR	149.77	114	185		47		
148	18036	Dowdle, Rico	CAR	RB	150.23	118	227		47		
149	15896	Ekeler, Austin	WAS	RB	152.06	118	239		47		
150	1863	Broncos, Denver	DEN	TDSP	152.23	123	173		47		
151	19464	Likely, Isaiah	BAL	TE	152.98	120	226		47		
152	20280	Stroud, C.J.	HOU	QB	153.57	86	215		47		
153	22112	Bech, Jack	LV	WR	153.85	98	240		47		
154	21132	Allen, Braelon	NYJ	RB	154.36	121	183		47		
155	17997	Love, Jordan	GB	QB	156.06	111	192		47		
156	11857	Allen, Keenan	CHI	WR	156.21	111	192		47		
157	20276	Johnston, Quentin	LAC	WR	156.74	124	185		47		
158	22099	Sampson, Dylan	CLE	RB	158.11	111	217		47		
159	18789	Pitts, Kyle	ATL	TE	160.15	118	198		47		
160	20334	Johnson, Roschon	CHI	RB	160.66	136	208		46		
161	21150	McCarthy, J.J.	MIN	QB	161.36	127	220		46		
162	16151	Goedert, Dallas	PHI	TE	163.89	135	194		47		
163	16067	Chubb, Nick	HOU	RB	164.64	108	235		47		
164	18779	Lawrence, Trevor	JAX	QB	166.15	136	210		47		
165	1961	Eagles, Philadelphia	PHI	TDSP	167.72	138	206		47		
166	19443	Ford, Jerome	CLE	RB	172.06	109	237		45		
167	20278	Corum, Blake	LA	RB	172.26	134	224		47		
168	21144	Lloyd, MarShawn	GB	RB	172.91	149	203		47		
169	22124	Hunter, Jarquez	LA	RB	172.96	143	229		46		
170	19455	Doubs, Romeo	GB	WR	174.55	136	215		46		
171	20341	Douglas, DeMario	NE	WR	174.62	127	216		44		
172	22115	Bryant, Pat	DEN	WR	175.64	141	204		43		
173	12426	Thielen, Adam	CAR	WR	176.53	128	237		46		
174	15281	Hunt, Kareem	KC	RB	178.11	111	204		45		
175	22117	Smith, Brashard	KC	RB	179.13	139	234		43		
176	21141	Shipley, Will	PHI	RB	179.57	144	212		45		
177	1968	Steelers, Pittsburgh	PIT	TDSP	181.83	156	215		47		
178	18862	Palmer, Joshua	BUF	WR	182.17	132	228		47		
179	1807	Ravens, Baltimore	BAL	TDSP	182.81	149	219		47		
180	17020	Hill, Justice	BAL	RB	184.66	142	217		47		
181	22116	Noel, Jaylin	HOU	WR	186.30	131	238		46		
182	1828	Bills, Buffalo	BUF	TDSP	186.70	151	224		47		
183	22096	Giddens, DJ	IND	RB	187.17	147	212		45		
184	20298	Penix, Michael	ATL	QB	187.79	139	231		44		
185	1919	Vikings, Minnesota	MIN	TDSP	187.91	157	226		47		
186	22104	Neal, Devin	NO	RB	188.09	142	226		47		
187	14968	Henry, Hunter	NE	TE	188.79	147	218		43		
188	4343	Texans, Houston	HOU	TDSP	190.32	161	240		47		
189	2980	Chargers, Los Angeles (LAC)	LAC	TK	191.77	146	217		47		
190	11806	Hopkins, DeAndre	BAL	WR	192.40	118	239		45		
191	18792	Freiermuth, Pat	PIT	TE	194.53	112	237		31		
192	7697	Stafford, Matthew	LA	QB	195.68	121	233		41		
193	22130	Croskey-Merritt, Jacory	WAS	RB	196.26	141	240		42		
194	13532	Cooper, Amari	BUF	WR	196.79	126	238		39		
195	1982	49ers, San Francisco	SF	TDSP	198.57	169	235		47		
196	11816	Ertz, Zach	WAS	TE	198.81	162	230		44		
197	17039	Sanders, Miles	DAL	RB	200.51	158	238		44		
198	22091	Ayomanor, Elic	TEN	WR	200.72	147	234		38		
199	22300	Brooks, Tahj	CIN	RB	203.40	174	239		43		
200	20281	Young, Bryce	CAR	QB	204.57	141	238		39		
201	20425	Strange, Brenton	JAX	TE	204.62	156	239		38		
202	2966	Lions, Detroit	DET	TK	207.26	180	238		47		
203	20344	Mitchell, Keaton	BAL	RB	208.02	140	237		35		
204	17975	Tagovailoa, Tua	MIA	QB	208.89	140	240		37		
205	16149	Gesicki, Mike	CIN	TE	209.00	157	238		40		
206	20340	Wilson, Michael	ARZ	WR	209.36	151	239		37		
207	2979	Steelers, Pittsburgh	PIT	TK	211.43	154	240		47		
208	19463	Pierce, Alec	IND	WR	212.28	144	238		36		
