Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	18775	Chase, Ja'Marr	CIN	WR	1.11	1	3		110		
2	20271	Robinson, Bijan	ATL	RB	2.21	1	4		110		
3	20272	Gibbs, Jahmyr	DET	RB	3.58	1	7		110		
4	16062	Barkley, Saquon	PHI	RB	4.28	1	9		110		
5	17972	Jefferson, Justin	MIN	WR	4.83	2	8		110		
6	17965	Lamb, CeeDee	DAL	WR	5.57	2	10		110		
7	21122	Nabers, Malik	NYG	WR	8.71	6	14		110		
8	22055	Jeanty, Ashton	LV	RB	9.35	5	21		110		
9	18827	St. Brown, Amon-Ra	DET	WR	9.82	5	17		110		
10	15222	McCaffrey, Christian	SF	RB	10.88	4	23		110		
11	20336	Nacua, Puka	LA	WR	11.15	6	19		110		
12	21131	Thomas, Brian	JAX	WR	11.82	6	18		110		
13	15055	Henry, Derrick	BAL	RB	12.84	5	19		110		
14	20284	Achane, De'Von	MIA	RB	13.21	7	18		110		
15	18836	Collins, Nico	HOU	WR	13.61	9	18		110		
16	19433	London, Drake	ATL	WR	16.21	10	24		110		
17	21123	Bowers, Brock	LV	TE	17.71	10	25		110		
18	21136	Irving, Bucky	TB	RB	19.83	13	29		110		
19	17004	Brown, A.J.	PHI	WR	20.05	6	30		110		
20	16998	Jacobs, Josh	GB	RB	20.68	13	33		110		
21	21139	McConkey, Ladd	LAC	WR	21.00	16	32		110		
22	17962	Taylor, Jonathan	IND	RB	21.14	13	31		110		
23	20292	Brown, Chase	CIN	RB	24.32	14	41		110		
24	16081	Jackson, Lamar	BAL	QB	25.79	17	33		110		
25	16074	Allen, Josh	BUF	QB	26.16	19	38		110		
26	19439	McBride, Trey	ARZ	TE	26.39	18	35		110		
27	19450	Williams, Kyren	LA	RB	26.95	14	40		110		
28	19431	Wilson, Garrett	NYJ	WR	28.53	17	43		110		
29	20273	Smith-Njigba, Jaxon	SEA	WR	29.43	16	41		110		
30	17971	Higgins, Tee	CIN	WR	31.01	14	40		110		
31	19427	Hall, Breece	NYJ	RB	32.14	21	42		110		
32	14725	Hill, Tyreek	MIA	WR	32.28	11	47		110		
33	17968	Burrow, Joe	CIN	QB	32.61	23	43		110		
34	21126	Daniels, Jayden	WAS	QB	34.85	6	49		110		
35	21121	Harrison, Marvin	ARZ	WR	35.29	19	48		110		
36	19467	Cook, James	BUF	RB	37.18	26	53		110		
37	12729	Adams, Davante	LA	WR	37.75	24	57		110		
38	12686	Evans, Mike	TB	WR	40.15	19	58		110		
39	17062	McLaurin, Terry	WAS	WR	40.20	21	58		110		
40	22069	Hampton, Omarion	LAC	RB	41.15	24	61		110		
41	17999	Hurts, Jalen	PHI	QB	41.85	26	62		110		
42	19430	Walker, Kenneth	SEA	RB	42.15	28	58		110		
43	16134	Moore, DJ	CHI	WR	43.11	30	55		110		
44	15360	Kittle, George	SF	TE	44.15	34	57		110		
45	20287	Rice, Rashee	KC	WR	44.76	19	78		110		
46	18773	Hubbard, Chuba	CAR	RB	46.87	31	60		110		
47	15293	Kamara, Alvin	NO	RB	46.95	31	63		110		
48	21128	Worthy, Xavier	KC	WR	47.59	34	64		110		
49	17002	Metcalf, DK	PIT	WR	48.09	34	70		110		
50	16066	Sutton, Courtland	DEN	WR	48.64	35	64		110		
