Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20272	Gibbs, Jahmyr	DET	RB	1.24	1	3		144		
2	20271	Robinson, Bijan	ATL	RB	1.93	1	4		144		
3	18775	Chase, Ja'Marr	CIN	WR	2.92	1	4		144		
4	20336	Nacua, Puka	LA	WR	4.06	2	6		144		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.42	3	8		144		
6	18827	St. Brown, Amon-Ra	DET	WR	6.31	4	10		144		
7	15222	McCaffrey, Christian	SF	RB	7.92	4	15		144		
8	22055	Jeanty, Ashton	LV	RB	9.76	4	17		144		
9	17962	Taylor, Jonathan	IND	RB	9.97	5	20		144		
10	17965	Lamb, CeeDee	DAL	WR	10.48	6	15		144		
11	17972	Jefferson, Justin	MIN	WR	10.53	6	16		144		
12	19467	Cook III, James	BUF	RB	11.23	3	18		144		
13	22069	Hampton, Omarion	LAC	RB	13.13	3	22		144		
14	20292	Brown, Chase	CIN	RB	14.31	8	21		144		
15	17004	Brown, A.J.	NE	WR	15.73	8	35		144		
16	19433	London, Drake	ATL	WR	16.08	9	23		144		
17	16062	Barkley, Saquon	PHI	RB	17.67	9	24		144		
18	20284	Achane, De'Von	MIA	RB	18.29	7	28		144		
19	19430	Walker III, Kenneth	KC	RB	18.41	12	27		144		
20	21123	Bowers, Brock	LV	TE	19.90	8	29		144		
21	19437	Pickens, George	DAL	WR	23.01	13	33		144		
22	18836	Collins, Nico	HOU	WR	24.01	13	31		144		
23	20287	Rice, Rashee	KC	WR	24.45	13	33		144		
24	22063	Egbuka, Emeka	TB	WR	24.48	13	47		144		
25	19432	Olave, Chris	NO	WR	26.03	13	33		144		
26	18778	Smith, DeVonta	PHI	WR	26.36	15	44		144		
27	15055	Henry, Derrick	BAL	RB	26.63	17	39		144		
28	19439	McBride, Trey	ARZ	TE	27.78	13	42		144		
29	20288	Flowers, Zay	BAL	WR	28.85	18	47		144		
30	22930	Love, Jeremiyah	ARZ	RB	30.11	17	48		144		
31	17971	Higgins, Tee	CIN	WR	33.55	22	44		144		
32	22059	McMillan, Tetairoa	CAR	WR	33.94	24	44		144		
33	21139	McConkey, Ladd	LAC	WR	34.19	21	48		144		
34	19431	Wilson, Garrett	NYJ	WR	34.48	24	45		144		
35	21122	Nabers, Malik	NYG	WR	36.62	15	52		144		
36	19427	Hall, Breece	NYJ	RB	36.67	22	52		144		
37	16074	Allen, Josh	BUF	QB	37.06	17	60		144		
38	18781	Waddle, Jaylen	DEN	WR	37.40	26	59		144		
39	22060	Burden III, Luther	CHI	WR	37.70	25	50		144		
40	17062	McLaurin, Terry	WAS	WR	39.29	29	52		144		
41	19450	Williams, Kyren	LA	RB	40.72	25	57		144		
42	18771	Williams, Javonte	DAL	RB	41.90	29	54		144		
43	19445	Watson, Christian	GB	WR	42.70	26	56		144		
44	16998	Jacobs, Josh	GB	RB	44.53	22	68		144		
45	18770	Etienne Jr., Travis	NO	RB	46.19	19	60		144		
46	12686	Evans, Mike	SF	WR	47.08	30	63		144		
47	22075	Loveland, Colston	CHI	TE	47.15	29	61		144		
48	19435	Williams, Jameson	DET	WR	48.15	37	60		144		
49	22077	Skattebo, Cam	NYG	RB	48.78	35	60		144		
50	12729	Adams, Davante	LA	WR	49.74	38	60		144		
51	16134	Moore, DJ	BUF	WR	49.89	37	62		144		
