Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
97	15316	Godwin Jr., Chris	TB	WR	96.37	58	140		582		
98	19742	Purdy, Brock	SF	QB	97.08	39	148		582		
99	20339	LaPorta, Sam	DET	TE	97.63	67	130		582		
100	20278	Corum, Blake	LA	RB	99.42	68	153		582		
101	17963	Dobbins, J.K.	DEN	RB	101.82	55	173		581		
102	15234	Mahomes, Patrick	KC	QB	101.98	41	154		582		
103	19460	Robinson, Wan'Dale	TEN	WR	102.01	68	138		582		
104	14748	Goff, Jared	DET	QB	102.60	29	165		582		
105	20299	Nix, Bo	DEN	QB	105.18	47	173		582		
106	20274	Addison, Jordan	MIN	WR	105.88	68	139		582		
107	20311	Reed, Jayden	GB	WR	109.89	72	169		582		
108	20283	Downs, Josh	IND	WR	110.81	61	179		582		
109	19436	White, Rachaad	WAS	RB	112.98	65	220		575		
110	16069	Mayfield, Baker	TB	QB	115.78	57	185		582		
111	21133	Brooks, Jonathon	CAR	RB	115.96	61	213		572		
112	22220	Shough, Tyler	NO	QB	116.10	48	210		582		
113	19476	Ferguson, Jake	DAL	TE	117.79	75	161		582		
114	22114	Higgins, Jayden	HOU	WR	118.32	72	155		582		
115	19872	Mason, Jordan	MIN	RB	119.32	80	176		577		
116	17009	Murray, Kyler	MIN	QB	119.57	73	186		579		
117	15360	Kittle, George	SF	TE	119.58	49	195		579		
118	21128	Worthy, Xavier	KC	WR	119.91	61	176		581		
119	17997	Love, Jordan	GB	QB	120.22	59	216		581		
120	19455	Doubs, Romeo	NE	WR	121.44	67	174		582		
121	11842	Kelce, Travis	KC	TE	122.56	63	172		581		
122	20300	Kincaid, Dalton	BUF	TE	124.09	78	167		581		
123	19462	Shakir, Khalil	BUF	WR	124.14	79	166		582		
124	22085	Golden, Matthew	GB	WR	125.08	66	183		579		
125	22130	Croskey-Merritt, Jacory	WAS	RB	127.44	73	171		567		
126	19464	Likely, Isaiah	NYG	TE	128.46	83	192		582		
127	16151	Goedert, Dallas	PHI	TE	130.24	88	166		581		
128	22933	Concepcion, KC	CLE	WR	130.99	77	208		574		
129	15392	Jones Sr., Aaron	MIN	RB	131.17	81	224		570		
130	21570	Coker, Jalen	CAR	WR	131.66	86	187		582		
