Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20271	Robinson, Bijan	ATL	RB	1.52	1	3		118		
2	20272	Gibbs, Jahmyr	DET	RB	1.58	1	4		118		
3	18775	Chase, Ja'Marr	CIN	WR	3.28	1	6		118		
4	20336	Nacua, Puka	LA	WR	4.46	1	9		118		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.41	3	9		118		
6	15222	McCaffrey, Christian	SF	RB	5.86	2	12		118		
7	18827	St. Brown, Amon-Ra	DET	WR	7.47	5	10		118		
8	17962	Taylor, Jonathan	IND	RB	7.62	3	12		118		
9	19467	Cook III, James	BUF	RB	9.88	5	15		118		
10	22055	Jeanty, Ashton	LV	RB	11.06	5	19		118		
11	17965	Lamb, CeeDee	DAL	WR	12.30	5	20		118		
12	22069	Hampton, Omarion	LAC	RB	12.53	6	20		118		
13	17972	Jefferson, Justin	MIN	WR	12.91	7	20		118		
14	20284	Achane, De'Von	MIA	RB	13.93	8	21		118		
15	20292	Brown, Chase	CIN	RB	14.52	9	20		118		
16	16062	Barkley, Saquon	PHI	RB	16.72	9	22		118		
17	19430	Walker III, Kenneth	KC	RB	18.58	10	40		118		
18	19433	London, Drake	ATL	WR	19.49	5	30		118		
19	21123	Bowers, Brock	LV	TE	20.98	10	31		118		
20	15055	Henry, Derrick	BAL	RB	21.53	10	31		118		
21	19439	McBride, Trey	ARZ	TE	21.90	8	40		118		
22	22930	Love, Jeremiyah	ARZ	RB	22.31	5	36		118		
23	19437	Pickens, George	DAL	WR	22.51	13	34		118		
24	17004	Brown, A.J.	NE	WR	23.81	13	46		118		
25	18836	Collins, Nico	HOU	WR	25.67	18	33		118		
26	16074	Allen, Josh	BUF	QB	25.77	11	43		118		
27	20287	Rice, Rashee	KC	WR	28.31	11	45		118		
28	19432	Olave, Chris	NO	WR	28.81	17	40		118		
29	19450	Williams, Kyren	LA	RB	29.26	22	44		118		
30	19427	Hall, Breece	NYJ	RB	29.74	21	43		118		
31	21122	Nabers, Malik	NYG	WR	33.09	16	64		118		
32	18771	Williams, Javonte	DAL	RB	33.68	24	56		118		
33	16998	Jacobs, Josh	GB	RB	34.08	18	64		118		
34	22059	McMillan, Tetairoa	CAR	WR	35.39	24	57		118		
35	18770	Etienne Jr., Travis	NO	RB	35.96	23	56		118		
36	18778	Smith, DeVonta	PHI	WR	37.46	24	62		118		
37	17971	Higgins, Tee	CIN	WR	37.83	26	50		118		
38	20288	Flowers, Zay	BAL	WR	38.03	20	52		118		
39	22063	Egbuka, Emeka	TB	WR	39.31	24	59		118		
40	19431	Wilson, Garrett	NYJ	WR	40.35	30	57		118		
41	21139	McConkey, Ladd	LAC	WR	41.88	26	58		118		
42	22077	Skattebo, Cam	NYG	RB	42.81	27	55		118		
43	22075	Loveland, Colston	CHI	TE	44.10	27	60		118		
44	22072	Henderson, TreVeyon	NE	RB	45.89	27	61		118		
45	22060	Burden III, Luther	CHI	WR	46.81	34	59		118		
46	17016	Montgomery, David	HOU	RB	48.41	32	116		118		
47	18781	Waddle, Jaylen	DEN	WR	48.49	30	70		118		
48	22062	Judkins, Quinshon	CLE	RB	49.85	34	63		118		
49	17968	Burrow, Joe	CIN	QB	49.91	14	70		118		
50	17961	Swift, D'Andre	CHI	RB	50.45	35	66		118		
51	21136	Irving, Bucky	TB	RB	51.11	19	78		118		
52	19435	Williams, Jameson	DET	WR	51.34	34	68		118		
53	16081	Jackson, Lamar	BAL	QB	51.64	13	79		118		
54	17062	McLaurin, Terry	WAS	WR	52.49	37	69		118		
55	21125	Maye, Drake	NE	QB	52.90	24	79		118		
56	12729	Adams, Davante	LA	WR	53.34	31	70		118		
57	12686	Evans, Mike	SF	WR	57.28	38	78		118		
58	22067	Warren, Tyler	IND	TE	58.47	37	72		118		
59	20335	Odunze, Rome	CHI	WR	58.92	45	74		118		
60	16134	Moore, DJ	BUF	WR	59.18	34	125		118		
61	22106	Tuten, Bhayshul	JAX	RB	59.95	28	101		118		
62	19445	Watson, Christian	GB	WR	60.94	45	91		118		
63	22929	Tate, Carnell	TEN	WR	66.91	49	90		118		
64	21124	Williams, Caleb	CHI	QB	67.66	30	91		118		
65	21126	Daniels, Jayden	WAS	QB	68.25	43	97		118		
66	19833	Warren, Jaylen	PIT	RB	68.37	48	88		118		
67	21121	Harrison Jr., Marvin	ARZ	WR	68.38	49	86		118		
68	22938	Price, Jadarian	SEA	RB	69.84	47	120		118		
