arm,blocks,compile_seconds,holdout_mean,holdout_p10,own_waiver_mean,own_waiver_p10,forecast_spend,qb,rb,wr,te,accepted_swaps,construction_gain,mean_delta_vs_current,p10_delta_vs_current
current_additive,4,0.0035642249995362363,1641.6780161857605,1457.931869506836,1641.6780161857605,1457.931869506836,297.6598500898588,1.0,6.0,4.25,1.75,0.0,0.0,0.0,0.0
fixed_shape_additive,4,0.004347524999957386,1636.7356033325195,1456.8300537109376,1636.7356033325195,1456.8300537109376,297.8035166254766,1.0,5.75,5.25,1.0,0.0,0.0,-4.942412853240967,-1.1018157958983466
joint_one_swap,4,0.18141132500068125,1640.710618019104,1470.2590026855469,1640.710618019104,1470.2590026855469,295.1150461885361,1.0,5.75,4.75,1.5,0.75,3.231048583984375,-0.9673981666564941,12.327133178710938
waiver_plus_1_5_additive,4,0.003968725000049744,1631.3340349197388,1457.441372680664,1651.119698524475,1491.4618194580078,297.68149054111757,1.0,6.0,4.5,1.5,0.0,0.0,-10.343981266021729,-0.4904968261719205
