method,slice_type,slice_value,metric,n_rows,value
incumbent_lasso,pooled,all,rmse,3696,3.1584532391209064
incumbent_lasso,pooled,all,mae,3696,2.4477827442713624
incumbent_lasso,pooled,all,bias,3696,0.002905395150819813
incumbent_lasso,pooled,all,spearman,3696,0.7984587871769212
incumbent_lightgbm,pooled,all,rmse,3696,3.1229738660388224
incumbent_lightgbm,pooled,all,mae,3696,2.446552841786182
incumbent_lightgbm,pooled,all,bias,3696,0.2105187734884606
incumbent_lightgbm,pooled,all,spearman,3696,0.8040038793357315
incumbent_random_forest,pooled,all,rmse,3696,3.124253466483619
incumbent_random_forest,pooled,all,mae,3696,2.4435278256238586
incumbent_random_forest,pooled,all,bias,3696,0.20265677251737918
incumbent_random_forest,pooled,all,spearman,3696,0.8046584274701288
log_adp_lasso,pooled,all,rmse,3696,3.1265134527499816
log_adp_lasso,pooled,all,mae,3696,2.4292937468305826
log_adp_lasso,pooled,all,bias,3696,0.05320521091009468
log_adp_lasso,pooled,all,spearman,3696,0.8011151364030716
log_adp_lightgbm,pooled,all,rmse,3696,3.1237849307974295
log_adp_lightgbm,pooled,all,mae,3696,2.4469922157262993
log_adp_lightgbm,pooled,all,bias,3696,0.2100705150396655
log_adp_lightgbm,pooled,all,spearman,3696,0.8038228529772754
log_adp_random_forest,pooled,all,rmse,3696,3.1242277538302363
log_adp_random_forest,pooled,all,mae,3696,2.4434960577380647
log_adp_random_forest,pooled,all,bias,3696,0.20263372422525472
log_adp_random_forest,pooled,all,spearman,3696,0.8046616511892934
trajectory_lasso,pooled,all,rmse,3696,3.1522818302656175
trajectory_lasso,pooled,all,mae,3696,2.4400594428158873
trajectory_lasso,pooled,all,bias,3696,-0.005371440658030698
trajectory_lasso,pooled,all,spearman,3696,0.7993390905589772
trajectory_lightgbm,pooled,all,rmse,3696,3.120974012933486
trajectory_lightgbm,pooled,all,mae,3696,2.4448811188460025
trajectory_lightgbm,pooled,all,bias,3696,0.21345944429543914
trajectory_lightgbm,pooled,all,spearman,3696,0.8048171651649766
trajectory_log_adp_lasso,pooled,all,rmse,3696,3.1226597220022265
trajectory_log_adp_lasso,pooled,all,mae,3696,2.4230134144347573
trajectory_log_adp_lasso,pooled,all,bias,3696,0.05048359538593577
trajectory_log_adp_lasso,pooled,all,spearman,3696,0.801734414197423
trajectory_log_adp_lightgbm,pooled,all,rmse,3696,3.121475664751946
trajectory_log_adp_lightgbm,pooled,all,mae,3696,2.4452143210882777
trajectory_log_adp_lightgbm,pooled,all,bias,3696,0.21335277739360636
trajectory_log_adp_lightgbm,pooled,all,spearman,3696,0.8046063072880388
trajectory_log_adp_random_forest,pooled,all,rmse,3696,3.1202668210864877
trajectory_log_adp_random_forest,pooled,all,mae,3696,2.4412795273254875
trajectory_log_adp_random_forest,pooled,all,bias,3696,0.2060041191705065
trajectory_log_adp_random_forest,pooled,all,spearman,3696,0.804809925930636
trajectory_random_forest,pooled,all,rmse,3696,3.1202944616866537
trajectory_random_forest,pooled,all,mae,3696,2.4413153350042096
trajectory_random_forest,pooled,all,bias,3696,0.20607399557593833
trajectory_random_forest,pooled,all,spearman,3696,0.8048083431269514
incumbent_tree_average,pooled,all,rmse,3696,3.114326838449257
incumbent_tree_average,pooled,all,mae,3696,2.437970563252986
incumbent_tree_average,pooled,all,bias,3696,0.2065877730029199
incumbent_tree_average,pooled,all,spearman,3696,0.805570929492496
incumbent_equal_thirds,pooled,all,rmse,3696,3.100055612217786
