league,component_left,component_right,prediction_correlation,error_correlation
beta,conditional_ppg_lasso,conditional_ppg_random_forest,0.9817805566971384,0.9588204370010521
beta,conditional_ppg_lasso,conditional_ppg_lightgbm,0.9856472004714179,0.9671360789484527
beta,conditional_ppg_lasso,conditional_ppg_ridge,0.9982147199888077,0.9960642672698748
beta,conditional_ppg_lasso,conditional_ppg_hist_gradient_boosting,0.9832219482137752,0.9627197211516633
beta,conditional_ppg_random_forest,conditional_ppg_lightgbm,0.9956727297130363,0.9913234470169446
beta,conditional_ppg_random_forest,conditional_ppg_ridge,0.981094888104041,0.9564657859042518
beta,conditional_ppg_random_forest,conditional_ppg_hist_gradient_boosting,0.9948033684056783,0.9893153152215587
beta,conditional_ppg_lightgbm,conditional_ppg_ridge,0.9843200535800528,0.9635207681332341
beta,conditional_ppg_lightgbm,conditional_ppg_hist_gradient_boosting,0.9969803621680131,0.9937772134043448
beta,conditional_ppg_ridge,conditional_ppg_hist_gradient_boosting,0.9823172979191772,0.9600417093097288
beta,current_primary_blend,conditional_ppg_ridge,0.9921891031329414,0.9812134279309982
beta,current_primary_blend,conditional_ppg_hist_gradient_boosting,0.9956511370827819,0.9910311703316547
