RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,STL,5.02,5.08,79%,1,12%,1,1.44,1,1.02,4,15,44,7.2%
2,IND,4.56,4.40,79%,2,18%,5,1.39,2,0.61,19,2,20,4.2%
3,MIN,4.55,4.97,70%,6,15%,2,1.22,8,1.22,2,13,34,6.8%
4,BAL,4.54,4.29,61%,17,19%,10,1.34,4,0.62,18,17,43,7.5%
5,DEN,4.43,4.54,65%,12,16%,3,1.17,12,0.98,5,7,31,5.9%
6,PIT,4.30,4.02,68%,10,19%,9,1.20,10,0.52,24,24,43,8.7%
7,SF,4.24,4.12,71%,4,19%,7,1.16,13,0.68,13,3,27,5.1%
8,NO,4.24,4.10,62%,16,20%,12,1.29,6,0.57,22,21,40,8.2%
9,SEA,4.18,4.51,71%,5,21%,16,1.36,3,0.91,6,23,47,8.3%
10,OAK,4.17,4.57,55%,27,21%,15,1.16,14,1.22,1,5,28,5.8%
11,DET,4.16,3.59,56%,26,18%,4,0.94,28,0.36,28,27,53,9.7%
12,JAX,4.12,4.24,60%,19,21%,18,1.20,11,0.86,7,26,54,9.2%
13,DAL,4.10,4.14,59%,23,21%,19,1.30,5,0.70,12,18,35,7.6%
14,WAS,4.09,3.86,60%,20,19%,6,1.08,21,0.55,23,9,31,6.2%
15,GB,4.08,4.13,76%,3,19%,8,1.12,16,0.78,10,10,35,6.2%
16,PHI,4.00,4.00,70%,6,21%,17,1.11,19,0.73,11,16,44,7.3%
17,TB,3.97,4.15,42%,31,24%,25,1.21,9,0.82,9,25,38,8.9%
18,CHI,3.90,3.78,58%,24,19%,11,1.12,18,0.41,27,12,35,6.3%
19,NYG,3.89,4.04,53%,28,23%,23,1.12,17,0.83,8,4,29,5.5%
20,TEN,3.89,3.60,51%,29,23%,20,1.08,20,0.41,26,6,28,5.8%
21,KC,3.88,3.80,64%,13,21%,14,1.03,23,0.63,15,11,34,6.3%
22,NE,3.77,3.22,60%,22,25%,29,0.90,29,0.18,31,19,48,7.9%
23,BUF,3.75,3.55,62%,15,23%,22,0.98,27,0.52,25,28,58,9.9%
24,MIA,3.74,3.76,62%,14,20%,13,1.00,24,0.63,17,14,28,7.1%
25,CIN,3.68,4.36,70%,6,25%,28,1.23,7,1.12,3,29,51,10.2%
26,ARI,3.62,3.69,61%,17,25%,31,1.13,15,0.57,20,8,35,5.9%
27,NYJ,3.61,3.63,67%,11,23%,24,1.00,25,0.67,14,1,20,3.7%
28,CLE,3.54,3.15,50%,30,24%,26,0.88,30,0.28,29,22,40,8.3%
29,ATL,3.46,3.60,60%,20,24%,27,1.08,22,0.57,21,30,61,10.2%
30,SD,3.37,3.12,68%,9,25%,30,0.99,26,0.25,30,20,53,8.2%
31,CAR,3.36,3.37,57%,25,23%,21,0.82,31,0.63,16,31,68,10.9%
