Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
NYG,1,19.3%,18,5,17.5%,6,30.3%,3,17.0%,4,18.4%,5,29.2%,2,16.3%,7,5.6%,3,-6.0%
SD,2,18.9%,14,4,18.0%,1,49.2%,16,-2.1%,1,21.8%,1,52.7%,13,0.4%,26,8.8%,24,3.4%
DEN,3,18.9%,8,7,16.8%,7,25.8%,2,17.2%,2,19.6%,6,28.9%,4,13.9%,15,7.1%,28,4.5%
NO,4,16.5%,11,2,20.4%,3,33.1%,8,4.0%,5,15.9%,4,30.9%,7,5.9%,14,7.0%,21,1.3%
IND,5,14.2%,2,6,16.8%,2,39.6%,24,-10.9%,6,15.0%,3,39.8%,22,-9.2%,17,7.3%,12,-2.7%
CAR,6,13.3%,26,1,21.7%,9,25.6%,1,18.1%,8,12.5%,10,22.1%,1,19.4%,28,12.4%,22,1.7%
NE,7,12.4%,1,3,18.8%,14,17.5%,5,11.7%,7,13.9%,12,19.6%,5,12.5%,25,8.4%,26,3.9%
MIA,8,12.2%,21,8,14.1%,4,31.7%,12,2.0%,3,19.0%,2,44.1%,10,3.3%,16,7.2%,31,5.9%
ATL,9,8.9%,27,11,7.2%,5,30.7%,13,0.0%,9,7.8%,8,25.8%,11,1.9%,10,5.8%,17,0.7%
WAS,10,8.4%,17,16,1.5%,12,22.9%,11,2.6%,16,4.6%,11,21.0%,16,-3.4%,9,5.7%,9,-3.5%
GB,11,7.5%,5,10,8.3%,8,25.7%,20,-5.0%,10,7.2%,7,26.1%,20,-6.3%,22,7.6%,13,-1.1%
PHI,12,6.8%,6,14,2.9%,15,16.1%,9,2.8%,13,5.6%,15,15.7%,12,0.7%,24,7.8%,11,-2.9%
JAX,13,6.2%,3,12,6.6%,13,20.8%,17,-4.3%,14,5.1%,14,16.9%,14,-1.6%,8,5.6%,10,-3.2%
HOU,14,5.9%,15,9,8.6%,11,23.2%,15,-1.8%,17,2.8%,13,17.6%,15,-2.1%,2,4.5%,5,-5.5%
TEN,15,4.6%,19,13,5.4%,17,12.5%,7,6.4%,12,5.8%,16,14.6%,6,6.7%,11,6.6%,15,-0.6%
ARI,16,4.4%,20,18,0.9%,10,24.1%,28,-14.6%,15,4.6%,9,22.4%,24,-10.8%,20,7.5%,20,1.0%
DAL,17,1.7%,4,22,-3.0%,19,10.0%,6,7.5%,20,-1.6%,22,5.2%,8,5.8%,31,14.2%,4,-5.5%
NYJ,18,0.2%,22,15,2.1%,23,-1.0%,4,13.3%,11,6.4%,20,8.9%,3,15.1%,5,5.2%,30,5.3%
BAL,19,0.0%,25,20,0.3%,18,10.6%,10,2.6%,19,0.1%,19,9.8%,9,3.3%,12,6.8%,6,-4.9%
TB,20,-0.3%,13,19,0.5%,16,14.4%,23,-10.4%,18,0.6%,17,13.4%,21,-7.2%,1,4.5%,23,3.4%
PIT,21,-1.2%,10,17,1.4%,20,9.4%,14,-1.1%,21,-1.7%,18,11.4%,17,-4.3%,19,7.5%,8,-4.1%
KC,22,-8.9%,29,21,-0.1%,21,1.9%,27,-14.5%,23,-5.5%,21,5.8%,26,-11.8%,30,12.9%,25,3.4%
CHI,23,-9.1%,30,24,-13.2%,22,1.4%,22,-10.2%,25,-10.8%,25,-2.4%,23,-9.5%,4,4.9%,14,-1.1%
MIN,24,-10.0%,16,23,-11.4%,24,-2.7%,21,-9.3%,24,-8.0%,26,-2.6%,19,-5.4%,6,5.3%,17,0.7%
BUF,25,-10.1%,23,25,-14.0%,26,-7.1%,19,-5.0%,22,-5.3%,23,2.2%,18,-4.9%,13,6.9%,32,6.8%
SEA,26,-14.8%,12,26,-14.3%,25,-4.0%,25,-14.0%,27,-14.2%,27,-3.5%,28,-13.2%,18,7.4%,16,0.7%
SF,27,-15.8%,32,27,-14.7%,27,-7.6%,26,-14.3%,26,-11.2%,24,0.6%,29,-14.7%,3,4.8%,27,3.9%
CIN,28,-18.7%,7,28,-16.6%,28,-9.1%,32,-23.4%,29,-22.4%,28,-12.9%,32,-27.2%,21,7.5%,1,-7.6%
CLE,29,-21.3%,9,31,-26.2%,31,-24.8%,18,-4.8%,30,-25.5%,32,-27.3%,25,-11.2%,29,12.7%,2,-7.5%
DET,30,-25.6%,24,30,-25.4%,29,-21.1%,31,-19.3%,31,-27.0%,30,-24.7%,30,-17.6%,23,7.8%,7,-4.3%
OAK,31,-26.3%,28,29,-23.6%,30,-21.9%,29,-16.2%,28,-21.2%,29,-15.3%,27,-11.9%,32,15.5%,29,5.0%
STL,32,-29.0%,31,32,-26.8%,32,-28.9%,30,-17.6%,32,-29.5%,31,-26.9%,31,-21.0%,27,9.0%,19,0.8%
