RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,SF,4.59,5.02,70%,6,17%,1,1.40,1,1.24,2,22,53,9.0%
2,DEN,4.55,4.83,62%,14,18%,7,1.32,2,1.15,3,6,26,5.2%
3,BUF,4.40,3.83,62%,15,18%,6,1.05,21,0.40,29,21,42,8.8%
4,ATL,4.35,4.29,77%,3,19%,10,1.13,16,0.88,7,29,51,10.1%
5,DAL,4.27,4.13,59%,17,20%,13,1.18,7,0.70,15,2,19,4.4%
6,TB,4.24,4.06,70%,6,19%,11,1.15,13,0.64,18,9,28,6.5%
7,PIT,4.18,3.97,63%,13,18%,5,1.18,8,0.49,26,16,36,7.8%
8,NYG,4.14,4.03,68%,9,17%,2,1.27,3,0.50,25,11,35,6.6%
9,MIN,4.12,4.46,56%,20,22%,17,1.18,9,1.13,4,3,24,4.5%
10,WAS,4.11,4.19,77%,2,18%,8,1.14,15,0.74,11,27,61,9.7%
11,KC,4.08,3.55,64%,12,20%,14,0.95,26,0.44,28,13,37,6.8%
12,GB,4.05,3.52,55%,21,20%,15,1.08,18,0.24,30,10,39,6.6%
13,BAL,4.05,4.06,67%,10,19%,12,1.07,19,0.81,9,20,41,8.7%
14,PHI,4.02,4.12,61%,16,17%,3,1.06,20,0.76,10,25,57,9.6%
15,CHI,4.01,3.78,74%,4,17%,4,0.96,25,0.53,22,8,31,6.1%
16,NYJ,3.99,3.68,58%,18,21%,16,1.05,22,0.52,23,5,26,4.8%
17,CAR,3.95,3.66,65%,11,19%,9,1.03,23,0.51,24,24,54,9.4%
18,JAX,3.94,4.33,68%,8,23%,22,1.16,10,1.12,5,17,39,8.1%
19,SD,3.88,3.84,79%,1,23%,21,1.14,14,0.54,20,7,37,5.7%
20,SEA,3.88,4.00,57%,19,22%,19,1.16,11,0.74,13,14,34,6.9%
21,CIN,3.84,4.00,53%,23,23%,20,1.21,5,0.69,16,26,52,9.6%
22,NE,3.83,3.91,48%,27,25%,27,0.94,28,0.97,6,12,40,6.7%
23,ARI,3.81,3.59,51%,26,22%,18,1.01,24,0.49,27,19,50,8.3%
24,IND,3.74,3.90,52%,24,24%,24,1.20,6,0.74,12,1,22,4.1%
25,OAK,3.71,3.99,51%,25,25%,25,1.09,17,0.84,8,30,67,11.1%
26,TEN,3.67,3.75,73%,5,24%,23,1.16,12,0.65,17,15,37,7.7%
27,STL,3.66,3.38,54%,22,25%,26,0.91,29,0.53,21,18,50,8.2%
28,MIA,3.56,3.53,40%,30,26%,28,0.95,27,0.70,14,4,24,4.5%
29,DET,3.40,4.28,42%,29,28%,30,1.23,4,1.28,1,23,46,9.1%
30,NO,3.34,3.28,46%,28,27%,29,0.91,30,0.54,19,28,57,9.9%
