Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
GB,1,34.2%,7,2,33.3%,1,67.8%,12,-1.5%,1,34.8%,1,69.9%,15,-3.5%,3,3.3%,20,0.9%
NO,2,33.5%,11,1,40.4%,3,50.6%,2,18.1%,2,33.8%,3,51.6%,2,17.3%,16,6.9%,25,1.5%
NE,3,32.6%,1,3,32.1%,2,55.1%,3,12.9%,3,32.1%,2,53.9%,3,13.6%,9,5.8%,18,0.3%
CAR,4,18.5%,32,4,22.8%,12,18.0%,1,29.8%,4,18.1%,13,17.3%,1,29.6%,24,8.7%,16,-0.1%
SD,5,13.2%,4,5,19.6%,6,29.3%,10,0.9%,5,13.9%,4,30.9%,11,0.6%,27,10.3%,14,-0.5%
PIT,6,11.6%,5,6,13.6%,7,24.6%,5,6.2%,8,9.1%,9,21.7%,8,4.0%,19,7.3%,8,-2.1%
NYG,7,10.3%,10,9,8.7%,4,29.9%,17,-5.8%,6,10.1%,6,27.9%,14,-3.5%,11,5.9%,12,-0.6%
PHI,8,10.1%,3,8,10.5%,11,20.5%,4,9.5%,10,7.5%,11,19.1%,6,4.9%,18,7.0%,6,-2.4%
HOU,9,9.0%,2,13,4.4%,9,21.0%,6,4.7%,9,9.1%,10,20.2%,4,5.6%,22,8.2%,23,1.2%
DET,10,7.2%,19,7,11.3%,10,20.7%,16,-5.1%,7,9.1%,8,22.6%,12,-3.0%,13,6.5%,27,2.2%
ATL,11,6.3%,8,10,7.2%,8,23.8%,21,-8.7%,11,7.3%,7,25.0%,22,-7.8%,1,2.8%,31,3.0%
DAL,12,5.9%,22,11,6.0%,5,29.5%,26,-11.4%,12,6.5%,5,27.9%,21,-7.6%,7,4.9%,13,-0.6%
BAL,13,3.1%,12,12,4.8%,16,14.2%,8,4.1%,15,1.9%,16,14.5%,10,1.2%,26,9.6%,7,-2.2%
OAK,14,2.9%,23,14,-1.1%,17,10.5%,7,4.4%,13,3.0%,17,12.3%,9,2.7%,32,14.2%,21,1.0%
TEN,15,0.5%,20,17,-3.8%,14,16.9%,31,-17.3%,16,1.7%,12,17.6%,30,-15.2%,10,5.8%,15,-0.1%
BUF,16,0.3%,26,23,-10.1%,19,3.7%,9,2.5%,14,2.3%,18,5.9%,7,4.4%,31,12.2%,24,1.2%
CIN,17,-1.4%,16,15,-1.7%,13,17.5%,23,-10.1%,17,-1.2%,15,15.0%,20,-7.0%,6,3.9%,3,-3.6%
SF,18,-3.7%,24,16,-2.1%,15,16.2%,22,-9.1%,18,-2.6%,14,15.5%,18,-5.9%,17,6.9%,9,-1.8%
WAS,19,-7.0%,25,18,-4.4%,23,-0.7%,18,-6.5%,21,-8.8%,23,-5.2%,16,-4.6%,15,6.9%,17,0.2%
MIA,20,-7.2%,18,22,-10.0%,18,5.1%,28,-14.3%,19,-4.8%,19,4.7%,25,-8.6%,23,8.5%,26,2.0%
NYJ,21,-8.3%,15,24,-10.3%,21,0.2%,14,-4.7%,20,-7.7%,20,-0.1%,13,-3.2%,30,11.9%,28,2.3%
SEA,22,-8.9%,29,19,-4.6%,20,1.3%,13,-3.3%,25,-12.2%,22,-1.0%,23,-8.3%,29,10.8%,1,-4.7%
DEN,23,-10.3%,17,20,-8.2%,25,-10.6%,15,-5.0%,23,-10.9%,27,-10.7%,19,-6.0%,14,6.7%,29,2.6%
MIN,24,-10.6%,27,25,-14.7%,26,-11.7%,11,0.7%,22,-9.7%,28,-13.4%,5,5.1%,12,6.1%,22,1.1%
CLE,25,-11.5%,21,21,-8.6%,22,-0.7%,32,-18.1%,24,-11.1%,21,-0.2%,32,-17.6%,4,3.5%,2,-4.1%
TB,26,-11.6%,9,28,-20.7%,24,-7.1%,24,-10.1%,26,-14.4%,26,-9.9%,27,-13.0%,25,9.2%,11,-0.9%
IND,27,-17.9%,6,27,-18.0%,28,-14.6%,27,-11.5%,30,-20.9%,30,-18.1%,28,-14.0%,21,7.9%,10,-1.1%
ARI,28,-18.7%,31,29,-20.9%,30,-19.1%,20,-7.8%,28,-17.7%,29,-17.0%,24,-8.4%,8,5.7%,5,-2.4%
KC,29,-19.5%,13,26,-17.2%,27,-12.1%,30,-15.6%,27,-16.9%,24,-7.7%,29,-14.8%,20,7.5%,32,3.1%
CHI,30,-20.8%,28,31,-25.6%,29,-16.7%,25,-11.3%,29,-17.8%,25,-9.8%,26,-12.5%,28,10.3%,30,2.9%
JAX,31,-27.1%,14,30,-24.1%,32,-42.7%,19,-7.5%,31,-23.7%,32,-38.4%,17,-4.8%,5,3.6%,19,0.4%
STL,32,-27.6%,30,32,-28.9%,31,-26.1%,29,-14.5%,32,-30.1%,31,-29.2%,31,-16.0%,2,3.0%,4,-3.0%
