RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NO,5.25,5.02,65%,12,15%,1,1.50,1,0.91,13,3,24,4.5%
2,NE,4.81,4.17,61%,19,17%,7,1.22,14,0.45,30,9,32,5.4%
3,PIT,4.71,4.49,57%,23,21%,23,1.32,6,0.82,16,20,42,7.2%
4,HOU,4.64,4.66,64%,14,18%,12,1.43,4,0.92,11,22,33,7.3%
5,CAR,4.58,5.30,71%,4,17%,6,1.38,5,1.40,1,21,35,7.2%
6,DAL,4.51,4.63,57%,23,19%,16,1.31,8,0.97,9,13,39,6.1%
7,BAL,4.51,4.47,63%,15,18%,11,1.05,30,1.06,5,12,33,5.9%
8,NYJ,4.49,3.87,66%,9,16%,4,1.06,28,0.32,32,17,40,6.7%
9,SD,4.47,4.42,69%,5,17%,5,1.23,13,0.85,15,8,30,5.4%
10,WAS,4.46,4.19,62%,17,20%,19,1.19,15,0.67,25,16,41,6.5%
11,DEN,4.45,4.67,56%,26,17%,9,1.32,7,0.94,10,29,42,9.5%
12,BUF,4.43,5.04,67%,7,18%,14,1.25,9,1.29,2,1,23,3.8%
13,JAX,4.39,4.28,64%,13,17%,8,1.18,16,0.76,20,26,44,8.9%
14,OAK,4.38,4.52,67%,7,16%,3,1.12,24,1.05,7,5,25,5.0%
15,ARI,4.32,4.12,62%,16,20%,18,1.07,27,0.74,21,27,54,9.0%
16,MIA,4.30,4.28,46%,32,18%,13,1.14,19,0.82,17,30,52,9.6%
17,GB,4.29,4.06,61%,20,21%,25,1.15,18,0.63,26,23,41,7.4%
18,MIN,4.29,4.72,73%,1,23%,28,1.43,3,1.16,3,32,49,9.8%
19,SEA,4.25,4.12,73%,1,18%,10,1.11,26,0.72,24,24,50,8.3%
20,CIN,4.23,3.82,56%,25,22%,27,1.12,23,0.51,28,4,25,4.5%
21,SF,4.20,4.17,51%,29,20%,22,1.12,22,0.92,12,25,44,8.4%
22,TB,4.20,4.32,65%,11,21%,26,1.23,12,0.79,19,14,32,6.2%
23,CLE,4.18,3.60,66%,9,16%,2,0.85,32,0.41,31,15,39,6.4%
24,CHI,4.16,4.39,61%,20,24%,30,1.24,11,1.03,8,31,49,9.8%
25,IND,4.15,4.12,50%,30,20%,17,1.13,20,0.72,23,18,35,6.9%
26,PHI,4.12,4.54,67%,6,25%,32,1.44,2,1.10,4,10,32,5.8%
27,ATL,4.06,4.21,59%,22,25%,31,1.16,17,1.06,6,7,26,5.1%
28,KC,4.04,3.89,62%,18,20%,21,1.11,25,0.55,27,19,34,7.1%
29,NYG,4.04,3.77,53%,27,19%,15,1.05,29,0.50,29,6,28,5.0%
30,STL,3.98,4.22,48%,31,20%,20,1.25,10,0.72,22,28,55,9.1%
31,DET,3.93,4.22,52%,28,21%,24,1.13,21,0.89,14,11,36,5.8%
32,TEN,3.59,3.78,72%,3,24%,29,1.03,31,0.80,18,2,24,4.2%
,NFL,33,4.31,62%,33,19%,33,1.08,33,0.74,33,33,37,6.7%
