RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,STL,4.84,5.16,70%,7,19%,8,1.46,2,1.29,1,15,40,7.0%
2,SF,4.82,4.59,68%,10,16%,2,1.39,5,0.66,16,5,26,5.1%
3,KC,4.47,4.50,73%,4,16%,1,1.46,1,0.72,12,17,39,7.2%
4,WAS,4.47,4.15,61%,20,18%,6,1.22,11,0.61,20,24,38,8.5%
5,NYJ,4.44,4.74,70%,6,19%,9,1.44,3,0.95,7,3,19,4.2%
6,PIT,4.30,4.56,62%,18,24%,28,1.26,8,1.13,4,12,31,6.2%
7,OAK,4.25,3.62,80%,1,17%,4,0.97,26,0.38,30,11,27,6.0%
8,BAL,4.23,3.88,50%,28,27%,31,1.16,14,0.59,21,14,40,6.5%
9,DEN,4.18,4.01,66%,11,20%,13,1.05,20,0.66,17,21,42,8.3%
10,IND,4.17,4.52,62%,17,20%,12,1.40,4,0.96,6,7,30,5.5%
11,CHI,4.15,4.02,63%,16,19%,10,1.16,13,0.69,15,1,17,3.4%
12,NE,4.14,3.84,65%,13,17%,3,0.98,25,0.63,19,26,46,8.7%
13,JAX,4.07,4.12,55%,26,21%,15,1.23,10,0.82,11,30,63,10.6%
14,SEA,4.07,4.25,73%,4,21%,16,1.14,16,0.90,9,28,49,9.9%
15,MIN,4.06,3.63,60%,21,18%,5,1.04,23,0.38,31,19,47,7.8%
16,NO,4.06,4.02,77%,3,19%,7,1.15,15,0.63,18,25,50,8.6%
17,NYG,3.93,4.41,64%,14,24%,24,1.32,6,1.03,5,13,36,6.4%
18,PHI,3.93,3.92,59%,22,24%,27,1.11,17,0.71,13,22,40,8.3%
19,DAL,3.93,4.55,50%,28,22%,19,1.27,7,1.22,2,23,34,8.5%
20,GB,3.92,4.37,69%,8,19%,11,1.08,18,1.19,3,4,23,4.8%
21,SD,3.91,3.64,51%,27,23%,21,1.00,24,0.55,24,9,27,5.8%
22,CAR,3.89,3.81,47%,31,22%,17,1.24,9,0.49,27,8,31,5.7%
23,CIN,3.82,4.01,57%,24,23%,20,1.19,12,0.89,10,2,28,4.1%
24,BUF,3.78,3.76,64%,14,20%,14,1.04,22,0.58,22,20,46,8.0%
25,ARI,3.78,3.53,56%,25,24%,25,0.87,30,0.54,25,6,29,5.5%
26,ATL,3.71,3.63,50%,28,22%,18,0.95,27,0.70,14,31,66,12.0%
27,DET,3.69,3.89,58%,23,26%,30,1.05,21,0.91,8,29,65,10.6%
28,TEN,3.66,3.50,69%,9,26%,29,0.92,29,0.58,23,16,43,7.0%
29,TB,3.65,3.43,79%,2,23%,23,1.06,19,0.42,29,18,47,7.4%
30,MIA,3.52,3.38,61%,19,24%,26,0.95,28,0.46,28,10,27,6.0%
31,CLE,3.33,3.16,65%,12,23%,22,0.84,31,0.49,26,27,51,9.5%
