Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,26.7%,7,2,23.4%,2,52.8%,5,6.8%,3,22.0%,2,45.9%,7,4.8%,1,3.1%,3,-4.2%
NO,2,24.7%,4,4,21.2%,5,39.5%,1,14.9%,1,23.3%,7,39.0%,3,12.6%,17,7.3%,8,-1.4%
DAL,3,21.8%,17,5,21.0%,3,42.2%,3,13.3%,5,19.4%,8,37.5%,2,13.5%,9,5.6%,12,-0.9%
SD,4,19.8%,2,1,26.4%,1,59.2%,28,-14.5%,4,21.5%,1,60.2%,24,-11.9%,10,5.8%,24,1.4%
GB,5,19.4%,11,3,23.2%,7,37.1%,6,6.1%,2,22.2%,3,41.0%,4,7.4%,7,5.0%,31,2.6%
IND,6,17.2%,5,7,14.3%,6,38.1%,18,-4.0%,7,17.7%,5,40.2%,18,-5.9%,19,8.9%,17,0.2%
PIT,7,14.7%,21,6,15.7%,8,35.0%,17,-3.6%,6,18.0%,6,40.1%,14,-2.2%,23,9.5%,28,2.4%
MIN,8,13.1%,24,8,14.3%,4,40.6%,19,-5.3%,9,12.1%,4,40.3%,21,-7.4%,4,4.4%,19,0.3%
BAL,9,12.9%,19,10,10.7%,12,20.7%,2,14.3%,8,15.0%,11,24.0%,1,15.2%,5,4.6%,30,2.6%
HOU,10,10.2%,14,9,12.2%,9,33.3%,26,-13.9%,10,12.0%,9,35.9%,27,-13.2%,12,6.1%,26,2.0%
PHI,11,9.9%,12,11,10.4%,11,23.7%,8,4.1%,11,10.9%,10,25.0%,8,4.6%,21,9.0%,15,0.1%
NYG,12,8.8%,1,12,7.6%,10,29.3%,21,-6.4%,13,5.5%,12,22.9%,20,-6.3%,22,9.3%,6,-2.3%
ARI,13,6.8%,16,13,7.2%,14,18.5%,14,-2.4%,12,7.5%,13,21.8%,19,-6.0%,29,11.6%,29,2.5%
ATL,14,5.6%,9,17,2.3%,13,18.6%,12,-2.0%,15,4.5%,16,15.0%,11,-0.2%,2,3.6%,2,-4.4%
JAX,15,4.2%,13,16,2.7%,18,10.1%,7,4.7%,14,4.7%,18,10.4%,6,5.5%,32,12.5%,25,1.6%
MIA,16,3.9%,8,18,1.5%,19,8.9%,4,6.9%,16,3.1%,20,8.1%,5,6.2%,8,5.1%,4,-3.1%
TEN,17,3.6%,15,15,6.3%,17,12.8%,9,3.1%,18,0.1%,19,10.3%,12,-1.4%,25,9.9%,18,0.3%
DEN,18,1.1%,3,19,-2.5%,16,16.8%,20,-6.3%,17,1.7%,14,16.6%,17,-4.7%,6,4.8%,27,2.4%
CIN,19,-0.6%,28,21,-7.4%,15,17.9%,15,-2.6%,19,-0.6%,15,16.5%,13,-1.4%,30,11.9%,13,-0.4%
CAR,20,-1.7%,6,14,7.1%,21,2.4%,10,2.9%,20,-3.4%,21,1.0%,10,1.1%,31,12.5%,5,-2.9%
WAS,21,-8.3%,10,20,-4.4%,20,7.1%,31,-17.3%,21,-5.2%,17,10.9%,29,-15.1%,16,7.2%,22,0.9%
NYJ,22,-11.9%,18,24,-11.8%,28,-18.7%,11,1.7%,22,-8.4%,26,-13.8%,9,4.6%,11,6.0%,21,0.8%
SF,23,-13.7%,27,23,-10.4%,22,-10.4%,16,-3.5%,23,-8.4%,22,-1.7%,15,-2.9%,3,3.6%,32,3.1%
CLE,24,-16.8%,29,22,-9.3%,29,-25.5%,13,-2.3%,28,-20.6%,32,-32.4%,16,-3.7%,20,9.0%,11,-0.9%
KC,25,-18.7%,22,25,-16.7%,26,-17.4%,23,-8.9%,24,-16.2%,24,-11.4%,23,-10.8%,24,9.8%,20,0.4%
TB,26,-19.4%,20,29,-24.4%,24,-12.6%,29,-14.7%,29,-22.4%,28,-15.3%,30,-18.2%,28,11.3%,1,-5.2%
SEA,27,-19.8%,26,30,-25.4%,27,-17.7%,25,-12.4%,25,-16.7%,25,-12.4%,26,-12.7%,15,6.7%,23,1.1%
CHI,28,-20.1%,23,26,-19.4%,23,-10.7%,32,-19.0%,26,-17.9%,23,-5.9%,32,-20.7%,18,8.5%,10,-1.2%
BUF,29,-20.8%,25,28,-20.7%,25,-16.0%,22,-8.3%,27,-19.5%,27,-13.9%,22,-7.7%,26,10.9%,14,-0.1%
OAK,30,-25.9%,31,27,-19.8%,30,-26.0%,27,-14.0%,30,-27.9%,30,-31.3%,25,-12.3%,27,11.1%,9,-1.3%
DET,31,-28.6%,30,31,-26.1%,31,-28.7%,30,-16.3%,31,-28.1%,29,-26.5%,31,-18.3%,14,6.6%,7,-2.0%
STL,32,-30.0%,32,32,-33.7%,32,-36.1%,24,-9.2%,32,-29.7%,31,-31.4%,28,-14.8%,13,6.5%,16,0.1%
