RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,DAL,4.70,4.86,76%,4,18%,11,1.38,2,1.10,2,16,30,6.1%
2,NO,4.69,4.36,60%,22,18%,13,1.25,8,0.73,15,12,30,5.3%
3,BAL,4.54,4.83,55%,28,21%,23,1.36,3,1.30,1,4,19,4.5%
4,SEA,4.52,4.62,78%,2,18%,6,1.34,4,0.80,11,24,42,8.7%
5,NE,4.51,4.11,59%,23,21%,27,1.22,11,0.60,23,2,26,4.4%
6,PIT,4.38,4.50,69%,8,15%,1,1.18,15,0.96,5,14,33,5.8%
7,KC,4.37,4.47,60%,21,17%,5,1.15,17,0.97,4,28,49,9.4%
8,GB,4.36,4.39,59%,25,21%,24,1.29,5,0.83,8,13,30,5.5%
9,MIA,4.34,4.64,62%,17,18%,12,1.42,1,0.82,9,19,46,6.9%
10,SF,4.32,4.16,48%,32,21%,19,1.26,6,0.59,24,31,52,9.8%
11,CIN,4.31,4.53,68%,9,16%,3,1.16,16,1.04,3,5,23,4.6%
12,DEN,4.26,4.39,75%,5,18%,9,1.24,10,0.83,7,1,17,3.7%
13,MIN,4.25,4.11,68%,10,15%,2,1.07,21,0.61,21,27,51,9.1%
14,ATL,4.23,3.93,67%,13,21%,20,1.02,24,0.68,17,11,31,5.1%
15,CHI,4.22,3.97,68%,10,18%,10,1.21,12,0.38,32,18,41,6.3%
16,IND,4.21,3.91,52%,31,19%,15,1.20,13,0.46,29,7,29,4.8%
17,TEN,4.18,3.82,62%,17,17%,4,1.06,23,0.39,31,26,50,8.9%
18,STL,4.16,4.08,53%,30,21%,29,1.18,14,0.71,16,23,47,8.6%
19,WAS,4.14,4.22,58%,27,20%,16,1.26,7,0.75,14,30,58,9.8%
20,NYJ,4.11,4.20,75%,5,18%,8,1.12,20,0.65,19,25,47,8.8%
21,DET,4.05,3.75,64%,15,22%,30,0.99,26,0.59,26,21,45,6.9%
22,NYG,4.02,3.62,61%,20,20%,18,0.94,29,0.47,28,10,30,5.0%
23,HOU,3.97,4.07,67%,13,21%,25,1.07,22,0.80,12,8,26,4.9%
24,ARI,3.93,3.48,59%,24,19%,14,0.92,32,0.42,30,6,28,4.8%
25,CLE,3.88,3.79,61%,19,23%,31,1.13,19,0.60,22,15,31,6.0%
26,BUF,3.87,3.83,63%,16,18%,7,0.94,30,0.64,20,20,39,6.9%
27,CAR,3.85,3.93,68%,10,20%,17,1.14,18,0.59,25,22,42,7.9%
28,OAK,3.81,3.80,55%,29,21%,21,0.94,31,0.65,18,3,28,4.4%
29,PHI,3.77,4.36,81%,1,21%,26,1.25,9,0.93,6,9,32,4.9%
30,JAX,3.76,3.98,58%,26,21%,22,0.96,27,0.81,10,32,71,11.3%
31,SD,3.52,3.51,78%,3,21%,28,0.95,28,0.52,27,17,37,6.1%
32,TB,3.44,3.73,69%,7,23%,32,0.99,25,0.79,13,29,52,9.4%
,NFL,33,4.14,64%,33,19%,33,1.02,33,0.65,33,33,38,6.6%
