Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,35.0%,2,1,30.7%,1,55.5%,1,28.8%,1,33.3%,2,55.8%,1,25.3%,22,9.9%,6,-2.8%
SF,2,29.3%,10,2,28.2%,3,50.8%,2,18.2%,3,25.3%,3,45.2%,2,16.0%,12,6.5%,8,-2.3%
MIN,3,23.9%,8,3,24.0%,2,52.9%,5,4.4%,2,26.8%,1,57.5%,6,5.3%,19,9.4%,25,2.9%
BUF,4,20.0%,28,5,21.4%,5,47.0%,7,3.6%,5,17.6%,6,43.1%,9,2.6%,6,5.1%,3,-3.8%
NYJ,5,17.9%,20,4,23.4%,4,50.4%,19,-6.8%,6,15.7%,4,45.0%,17,-5.7%,29,13.1%,10,-2.2%
DAL,6,14.9%,19,6,14.7%,7,36.1%,4,9.6%,4,19.0%,7,41.0%,3,13.3%,18,9.3%,27,3.1%
TEN,7,12.3%,11,7,13.5%,6,41.5%,21,-8.2%,7,15.1%,5,43.7%,15,-4.4%,10,6.2%,13,-0.7%
JAX,8,9.9%,1,9,8.2%,10,26.1%,6,4.0%,8,14.7%,8,34.9%,7,4.9%,30,14.0%,26,3.0%
ATL,9,7.0%,21,8,10.8%,8,30.1%,11,0.5%,10,7.3%,10,26.1%,8,4.8%,7,5.4%,12,-1.3%
GB,10,6.6%,4,11,5.1%,9,28.1%,23,-9.5%,9,12.0%,9,33.7%,14,-4.1%,4,4.2%,29,3.2%
MIA,11,1.3%,7,13,1.5%,11,24.6%,28,-13.8%,12,-1.4%,11,20.9%,29,-15.8%,2,3.9%,9,-2.3%
NE,12,-0.1%,9,16,-3.6%,12,22.3%,29,-16.5%,13,-2.1%,12,16.0%,26,-13.0%,9,5.9%,5,-3.0%
WAS,13,-0.7%,14,12,3.2%,19,1.5%,3,10.7%,11,-0.7%,21,2.1%,4,9.8%,21,9.9%,17,1.0%
IND,14,-1.1%,24,10,6.7%,13,14.8%,20,-8.0%,20,-7.2%,14,8.3%,28,-14.0%,23,10.2%,1,-6.2%
KC,15,-2.2%,5,14,0.4%,15,6.4%,10,1.2%,17,-4.1%,16,6.9%,13,-3.8%,20,9.7%,4,-3.6%
CIN,16,-4.3%,3,24,-9.0%,20,1.1%,14,-2.3%,14,-3.1%,17,6.8%,20,-6.6%,8,5.9%,19,1.3%
CHI,17,-5.0%,26,19,-5.9%,18,1.7%,18,-4.3%,25,-10.9%,24,-7.8%,21,-6.7%,17,9.1%,14,-0.6%
ARI,18,-6.2%,25,15,-0.1%,16,3.6%,26,-12.9%,16,-3.6%,19,5.2%,23,-9.0%,14,7.7%,21,1.5%
DET,19,-6.3%,12,17,-4.6%,14,10.5%,22,-8.3%,24,-8.6%,15,8.1%,25,-10.7%,15,8.6%,16,0.7%
PIT,20,-6.6%,6,23,-8.7%,23,-3.2%,16,-3.9%,18,-6.4%,22,-0.9%,18,-6.0%,11,6.4%,23,2.4%
TB,21,-7.2%,16,20,-6.0%,27,-7.7%,9,2.2%,21,-7.4%,25,-8.6%,10,2.6%,27,12.9%,30,3.3%
CAR,22,-7.8%,23,21,-7.4%,17,3.3%,25,-11.8%,23,-8.3%,20,3.7%,27,-13.6%,1,2.2%,2,-3.8%
BAL,23,-7.8%,15,25,-13.9%,21,0.0%,17,-4.2%,15,-3.5%,13,9.8%,19,-6.1%,24,10.9%,28,3.1%
NYG,24,-9.7%,22,18,-5.5%,25,-7.2%,8,2.8%,19,-6.4%,23,-4.6%,5,7.0%,28,13.0%,24,2.8%
SEA,25,-10.3%,13,22,-8.1%,22,-0.1%,15,-3.6%,22,-7.6%,18,6.4%,16,-5.0%,25,11.8%,18,1.0%
STL,26,-13.4%,27,26,-15.8%,24,-6.5%,24,-9.9%,26,-15.7%,27,-11.8%,22,-8.0%,13,7.4%,7,-2.5%
NO,27,-22.7%,30,28,-23.0%,26,-7.2%,30,-29.1%,28,-23.1%,26,-11.3%,30,-23.8%,3,4.1%,11,-1.8%
PHI,28,-23.5%,17,27,-21.5%,29,-31.6%,12,-1.9%,27,-19.5%,29,-26.4%,11,0.7%,16,9.0%,20,1.4%
OAK,29,-24.8%,18,29,-23.9%,28,-21.2%,27,-13.2%,29,-23.2%,28,-20.4%,24,-10.5%,5,4.3%,15,-0.5%
SD,30,-25.7%,29,30,-26.7%,30,-33.9%,13,-2.0%,30,-25.2%,30,-35.2%,12,0.7%,26,12.2%,22,1.5%
