Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
SEA,1,28.9%,12,3,26.2%,3,45.8%,4,20.3%,1,35.0%,2,51.4%,1,27.1%,20,8.8%,30,3.8%
DEN,2,27.4%,10,1,29.0%,7,35.1%,1,27.5%,3,25.5%,7,35.8%,3,23.4%,10,5.8%,11,-1.5%
IND,3,25.1%,1,4,25.9%,1,48.6%,7,10.4%,2,30.0%,1,56.7%,6,12.0%,6,4.8%,32,5.1%
KC,4,23.9%,2,2,28.3%,4,42.5%,3,20.9%,5,22.8%,3,41.2%,4,19.8%,15,7.3%,22,0.6%
CIN,5,23.1%,11,5,23.5%,6,38.9%,5,18.3%,4,24.1%,5,39.7%,5,19.6%,19,7.9%,10,-1.5%
SD,6,22.5%,5,7,15.4%,8,31.8%,2,25.6%,6,18.0%,9,24.8%,2,23.4%,29,14.2%,4,-2.6%
NE,7,18.0%,3,6,17.1%,2,46.3%,15,-2.2%,8,15.4%,4,40.1%,15,-0.6%,3,4.2%,8,-1.6%
PIT,8,12.3%,8,11,7.9%,5,39.7%,11,2.6%,7,15.5%,6,39.7%,9,8.4%,27,12.2%,23,0.7%
NYG,9,10.4%,25,10,8.1%,10,21.0%,6,15.6%,10,9.5%,10,23.0%,7,11.4%,9,5.7%,13,-0.7%
WAS,10,8.4%,28,8,8.6%,13,18.9%,9,6.3%,11,4.6%,13,15.7%,12,1.9%,31,15.8%,9,-1.5%
JAX,11,5.9%,18,9,8.6%,9,31.1%,18,-3.5%,9,9.9%,8,35.0%,13,0.9%,4,4.6%,31,3.9%
ATL,12,3.3%,23,12,1.8%,20,2.7%,8,10.1%,13,1.5%,22,0.4%,8,8.8%,5,4.8%,6,-2.2%
DAL,13,2.8%,20,16,-3.1%,12,19.4%,16,-2.7%,15,-0.8%,12,18.1%,22,-8.5%,26,12.2%,7,-2.1%
CAR,14,0.8%,13,13,-0.1%,11,20.1%,24,-11.7%,12,4.6%,11,19.0%,18,-3.5%,12,6.5%,21,0.6%
OAK,15,-0.6%,14,18,-5.8%,16,11.6%,10,3.6%,14,0.8%,15,14.8%,10,2.5%,7,5.2%,18,-0.1%
GB,16,-4.0%,7,17,-5.3%,15,12.6%,26,-13.4%,18,-6.2%,17,8.0%,26,-12.3%,2,4.1%,1,-4.1%
TB,17,-5.0%,22,14,-1.8%,19,4.2%,17,-2.7%,16,-3.8%,19,3.8%,14,0.2%,25,11.6%,20,0.3%
MIA,18,-7.6%,31,22,-8.0%,25,-1.0%,12,0.5%,17,-4.6%,20,3.0%,11,2.4%,8,5.3%,29,3.2%
PHI,19,-7.7%,9,31,-18.5%,22,1.5%,19,-4.3%,21,-9.0%,23,0.2%,20,-5.4%,28,13.3%,19,0.0%
STL,20,-8.2%,19,23,-10.2%,17,8.2%,22,-8.6%,19,-6.2%,16,13.4%,24,-11.5%,1,2.7%,28,2.5%
TEN,21,-8.4%,17,20,-7.3%,18,7.4%,25,-13.4%,20,-8.6%,18,6.0%,25,-11.6%,14,6.9%,24,1.0%
ARI,22,-9.8%,30,19,-6.2%,14,12.9%,32,-33.3%,22,-9.6%,14,15.1%,32,-36.9%,13,6.8%,27,2.2%
BAL,23,-11.6%,15,21,-7.6%,21,2.3%,31,-17.9%,23,-13.5%,21,1.0%,31,-20.3%,23,10.9%,15,-0.6%
CLE,24,-12.0%,27,29,-16.7%,26,-1.1%,29,-14.8%,26,-15.1%,26,-7.9%,28,-13.3%,24,11.3%,5,-2.4%
NO,25,-12.2%,26,25,-11.7%,24,-1.0%,27,-13.8%,24,-13.7%,24,-4.1%,29,-13.5%,22,10.5%,12,-1.4%
MIN,26,-13.9%,6,15,-2.1%,23,-0.6%,28,-14.1%,28,-16.1%,25,-5.4%,27,-12.8%,32,17.4%,3,-2.9%
HOU,27,-15.7%,16,24,-10.7%,28,-17.8%,14,-0.6%,25,-13.9%,27,-13.7%,17,-1.4%,16,7.5%,25,1.1%
CHI,28,-17.0%,32,27,-16.5%,31,-20.9%,13,-0.3%,29,-18.1%,31,-22.3%,16,-1.3%,17,7.8%,14,-0.7%
BUF,29,-17.7%,21,28,-16.6%,29,-19.9%,20,-4.5%,27,-15.6%,28,-15.5%,19,-4.5%,18,7.9%,26,1.4%
DET,30,-17.8%,24,26,-14.3%,27,-13.2%,23,-10.1%,31,-21.4%,30,-20.8%,23,-8.6%,21,8.8%,2,-3.2%
NYJ,31,-19.9%,4,30,-17.9%,30,-20.0%,21,-6.6%,30,-20.8%,29,-20.2%,21,-8.4%,11,6.1%,17,-0.2%
SF,32,-41.2%,29,32,-39.0%,32,-52.4%,30,-15.1%,32,-39.4%,32,-45.7%,30,-17.8%,30,14.4%,16,-0.6%
