RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NYJ,4.94,4.70,84%,1,14%,2,1.46,2,0.64,23,15,31,6.7%
2,IND,4.86,4.65,46%,32,16%,5,1.38,4,0.69,20,2,14,3.6%
3,KC,4.69,4.60,70%,8,15%,3,1.38,5,0.73,15,9,32,6.2%
4,PIT,4.65,4.22,69%,9,15%,4,1.23,12,0.48,32,28,36,9.4%
5,NE,4.59,4.42,69%,9,18%,13,1.32,7,0.71,18,5,26,4.8%
6,ATL,4.57,4.36,72%,5,12%,1,1.11,22,0.70,19,31,49,11.8%
7,SEA,4.54,4.62,60%,17,18%,12,1.34,6,0.94,3,11,34,6.5%
8,DEN,4.52,4.49,56%,27,18%,9,1.30,8,0.76,11,3,17,4.0%
9,MIN,4.46,4.70,71%,6,18%,10,1.49,1,0.86,7,22,45,8.1%
10,STL,4.40,4.31,66%,12,17%,7,1.30,9,0.73,16,21,50,7.8%
11,NYG,4.36,4.51,57%,23,19%,16,1.21,13,0.97,2,29,52,9.9%
12,BAL,4.33,4.34,59%,19,16%,6,1.19,16,0.80,9,12,35,6.5%
13,GB,4.31,4.41,74%,2,17%,8,1.15,19,0.87,4,1,14,3.0%
14,TEN,4.23,4.42,51%,28,21%,23,1.28,10,0.80,10,23,44,8.4%
15,PHI,4.19,4.47,65%,13,22%,26,1.40,3,0.87,5,13,36,6.6%
16,SD,4.18,4.25,71%,7,19%,17,1.18,17,0.83,8,4,19,4.2%
17,WAS,4.18,3.88,47%,30,18%,14,1.12,21,0.54,29,14,38,6.7%
18,CIN,4.11,4.15,58%,20,20%,20,1.20,14,0.74,13,7,31,5.7%
19,HOU,4.11,3.86,67%,11,19%,18,1.06,27,0.49,31,30,50,10.6%
20,TB,4.09,4.03,56%,24,18%,11,1.07,25,0.71,17,26,44,8.7%
21,OAK,4.09,4.09,74%,3,19%,15,1.06,26,0.74,14,6,30,5.5%
22,DET,4.08,4.50,60%,18,21%,25,1.25,11,1.05,1,16,37,7.0%
23,BUF,4.00,3.86,57%,22,21%,22,1.13,20,0.64,24,20,39,7.8%
24,CAR,3.95,3.80,61%,16,20%,20,0.97,30,0.58,25,8,33,6.1%
25,JAX,3.94,4.13,51%,29,20%,19,1.16,18,0.76,12,10,32,6.4%
26,DAL,3.94,3.99,56%,25,22%,29,1.20,15,0.66,22,18,37,7.0%
27,NO,3.88,4.04,58%,21,21%,24,1.09,24,0.86,6,19,42,7.7%
28,CHI,3.80,3.72,64%,15,22%,28,1.05,28,0.51,30,32,66,12.1%
29,ARI,3.76,3.62,47%,30,23%,30,0.99,29,0.57,27,17,39,7.0%
30,CLE,3.65,3.79,64%,14,24%,31,1.10,23,0.66,21,27,42,8.7%
31,SF,3.62,3.50,56%,26,22%,27,0.93,32,0.56,28,24,52,8.4%
32,MIA,3.39,3.45,73%,4,25%,32,0.95,31,0.58,26,25,52,8.5%
,NFL,33,4.19,63%,33,19%,33,1.09,33,0.65,33,33,37,7.2%
