RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NO,4.72,4.62,69%,7,18%,14,1.27,8,0.93,10,4,21,4.2%
2,DAL,4.72,5.00,57%,26,17%,11,1.36,3,1.15,5,16,34,6.2%
3,MIA,4.72,4.44,79%,2,14%,1,1.01,28,0.63,21,18,34,6.5%
4,BAL,4.68,5.00,68%,8,16%,7,1.29,6,1.27,3,19,37,6.6%
5,NE,4.63,4.29,68%,9,15%,3,1.22,11,0.59,27,2,18,3.6%
6,NYJ,4.58,4.71,70%,6,15%,4,1.16,16,1.01,7,23,30,7.7%
7,DEN,4.53,4.27,57%,26,21%,22,1.29,5,0.61,25,12,34,5.9%
8,PHI,4.53,4.25,62%,18,16%,8,1.05,25,0.61,26,20,40,6.6%
9,GB,4.51,4.17,73%,3,15%,2,1.04,26,0.72,17,30,51,8.6%
10,ATL,4.49,4.36,63%,17,18%,12,1.12,18,0.89,11,6,27,4.6%
11,JAX,4.45,4.53,68%,10,18%,13,1.11,21,1.07,6,29,44,8.5%
12,BUF,4.41,4.29,50%,31,16%,5,1.15,17,0.63,23,32,46,9.9%
13,CLE,4.36,4.28,65%,14,17%,10,1.11,22,0.65,20,15,30,6.1%
14,NYG,4.36,4.18,60%,20,20%,18,1.23,10,0.68,19,9,32,5.3%
15,PIT,4.35,4.32,72%,5,18%,15,1.18,15,0.87,13,28,50,8.5%
16,ARI,4.33,4.28,56%,28,23%,30,1.37,2,0.81,14,7,26,5.2%
17,HOU,4.32,3.73,60%,21,22%,25,1.12,19,0.41,31,8,26,5.2%
18,CAR,4.25,4.93,67%,11,22%,27,1.40,1,1.31,2,17,33,6.5%
19,SD,4.23,3.54,46%,32,17%,9,0.95,31,0.40,32,5,26,4.5%
20,CHI,4.22,4.04,58%,25,19%,16,0.95,30,0.81,15,13,35,5.9%
21,MIN,4.22,4.18,59%,23,24%,32,1.18,14,0.94,9,14,34,6.0%
22,TEN,4.22,5.29,64%,15,21%,24,1.28,7,1.78,1,3,15,3.7%
23,OAK,4.18,4.02,72%,4,16%,6,1.03,27,0.63,22,31,49,9.5%
24,CIN,4.17,4.14,80%,1,20%,17,1.20,12,0.74,16,10,29,5.6%
25,WAS,4.14,3.73,59%,23,21%,19,1.00,29,0.54,29,27,46,8.5%
26,IND,4.14,3.80,66%,12,23%,29,1.11,20,0.52,30,1,13,3.1%
27,SEA,4.12,4.15,56%,29,21%,21,1.19,13,0.72,18,22,41,7.0%
28,STL,4.08,4.39,56%,29,22%,28,1.34,4,0.88,12,24,44,7.7%
29,DET,3.83,3.72,60%,22,22%,26,1.07,23,0.56,28,21,43,7.0%
30,KC,3.83,4.39,62%,18,21%,20,1.26,9,1.00,8,25,46,7.8%
31,TB,3.78,3.80,65%,13,21%,23,1.06,24,0.62,24,11,33,5.7%
32,SF,3.70,4.24,63%,16,23%,31,0.92,32,1.25,4,26,40,8.1%
,NFL,33,4.31,64%,33,19%,33,1.07,33,0.76,33,33,35,6.4%
