RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NE,4.92,4.69,59%,23,16%,4,1.39,2,0.80,12,9,40,6.1%
2,KC,4.60,4.58,64%,16,17%,7,1.27,8,0.91,9,20,41,7.7%
3,SD,4.52,4.20,74%,5,12%,1,1.10,17,0.50,27,8,30,5.9%
4,DAL,4.49,4.66,68%,11,16%,2,1.29,6,1.02,4,10,35,6.2%
5,GB,4.36,4.52,83%,1,16%,5,1.24,10,0.94,8,26,45,8.3%
6,HOU,4.36,4.20,56%,26,20%,17,1.31,3,0.53,26,11,42,6.6%
7,NO,4.33,4.11,67%,13,21%,23,1.22,12,0.65,18,4,37,5.3%
8,DEN,4.32,4.38,64%,17,16%,3,1.30,4,0.63,20,1,20,3.6%
9,SEA,4.30,4.03,49%,32,19%,15,1.17,13,0.59,23,32,44,9.6%
10,MIN,4.29,4.78,79%,2,20%,20,1.29,7,1.26,1,23,44,7.8%
11,CIN,4.28,3.70,62%,19,18%,9,0.96,26,0.37,30,3,29,5.2%
12,STL,4.20,3.95,58%,25,19%,13,1.05,20,0.68,16,14,36,6.8%
13,DET,4.19,4.23,76%,3,19%,12,1.26,9,0.68,17,2,23,4.5%
14,CAR,4.15,3.87,72%,8,19%,14,1.04,22,0.55,25,25,43,8.2%
15,IND,4.13,3.96,65%,15,18%,10,1.09,19,0.63,21,6,32,5.6%
16,BUF,4.09,4.38,65%,14,18%,11,1.14,14,0.96,6,29,48,8.5%
17,ARI,4.07,3.90,73%,6,19%,16,1.00,24,0.71,15,13,41,6.8%
18,CLE,4.07,3.53,70%,9,20%,18,0.95,28,0.36,31,17,49,7.5%
19,TEN,4.06,3.83,55%,29,20%,19,1.05,21,0.60,22,12,37,6.7%
20,CHI,4.04,4.37,50%,30,21%,26,1.23,11,1.03,3,5,30,5.5%
21,NYJ,4.03,4.27,68%,12,17%,8,0.96,27,0.80,11,27,47,8.4%
22,PIT,4.02,3.57,60%,21,21%,24,0.94,29,0.39,29,15,43,7.3%
23,WAS,3.98,4.51,76%,4,22%,28,1.29,5,0.96,7,19,43,7.6%
24,ATL,3.98,3.91,63%,18,21%,25,0.98,25,0.76,14,7,44,5.9%
25,PHI,3.95,5.02,72%,7,20%,21,1.57,1,1.24,2,31,46,9.4%
26,OAK,3.94,4.09,61%,20,16%,6,0.88,31,0.83,10,28,44,8.5%
27,TB,3.86,4.00,59%,22,21%,22,1.12,16,0.77,13,21,47,7.7%
28,MIA,3.85,3.83,56%,27,21%,27,1.00,23,0.64,19,30,58,8.6%
29,SF,3.79,4.06,55%,28,24%,29,1.12,15,0.98,5,22,39,7.8%
30,NYG,3.48,3.48,70%,10,25%,31,1.10,18,0.45,28,18,40,7.6%
31,JAX,3.32,3.43,58%,24,25%,30,0.93,30,0.59,24,24,50,7.9%
32,BAL,3.20,2.95,49%,31,26%,32,0.76,32,0.30,32,16,48,7.3%
,NFL,33,4.10,64%,33,19%,33,1.01,33,0.65,33,33,40,7.0%
