Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
KC,1,33.9%,1,1,37.0%,2,43.2%,1,29.8%,1,34.3%,2,46.3%,1,27.5%,25,11.3%,25,2.0%
TEN,2,18.0%,6,3,19.0%,1,54.1%,28,-12.0%,3,17.2%,1,51.5%,27,-10.6%,11,7.2%,11,-1.7%
IND,3,17.9%,19,4,19.0%,3,40.5%,19,-3.2%,4,16.7%,3,39.6%,22,-4.8%,9,6.5%,6,-2.6%
PHI,4,17.6%,10,2,28.7%,9,22.6%,3,21.2%,5,16.4%,11,21.4%,3,19.9%,29,13.9%,8,-2.6%
SEA,5,16.7%,7,5,16.5%,4,28.9%,6,11.7%,6,15.7%,7,27.3%,7,11.4%,7,5.8%,22,1.1%
MIN,6,13.7%,17,11,8.6%,7,23.5%,4,16.5%,2,17.4%,5,29.1%,4,17.9%,6,5.3%,29,3.1%
GB,7,12.1%,14,9,11.0%,8,23.0%,5,14.9%,8,14.3%,6,27.5%,5,15.1%,26,12.1%,28,2.6%
NYJ,8,12.0%,4,7,12.6%,10,22.5%,10,5.3%,10,9.0%,12,20.9%,16,0.7%,13,7.6%,1,-4.4%
DEN,9,9.6%,5,8,12.4%,5,26.2%,8,7.5%,7,15.7%,4,32.5%,6,13.9%,22,9.4%,26,2.2%
CIN,10,8.3%,22,6,15.6%,6,24.3%,14,2.4%,9,9.6%,8,26.2%,14,3.0%,28,12.6%,15,-0.4%
SF,11,7.8%,3,10,10.8%,11,22.2%,7,8.7%,11,6.7%,9,22.8%,9,5.9%,30,14.6%,16,-0.3%
SD,12,3.7%,16,12,6.2%,23,-1.8%,2,25.8%,15,-1.0%,26,-10.7%,2,25.6%,32,17.1%,18,0.4%
NO,13,2.6%,21,14,4.0%,13,15.1%,18,-1.6%,14,0.1%,15,11.5%,20,-2.9%,4,4.5%,13,-1.2%
NE,14,1.4%,9,13,6.1%,12,18.1%,24,-5.6%,13,2.1%,10,21.5%,26,-7.8%,12,7.6%,12,-1.4%
JAX,15,1.1%,8,15,1.1%,14,14.2%,15,2.2%,16,-1.0%,17,8.8%,13,3.4%,3,4.2%,3,-3.1%
TB,16,-1.0%,20,18,-6.0%,15,11.3%,25,-5.6%,12,3.6%,13,14.9%,17,0.6%,8,6.5%,20,0.6%
MIA,17,-4.6%,11,19,-6.6%,20,1.5%,20,-3.4%,22,-8.4%,24,-4.5%,23,-5.3%,27,12.2%,10,-2.5%
CAR,18,-4.8%,30,16,-3.3%,18,3.7%,21,-3.4%,18,-2.8%,18,8.5%,21,-3.8%,5,4.7%,19,0.6%
PIT,19,-6.0%,12,20,-7.9%,16,11.1%,30,-13.6%,20,-5.1%,14,12.5%,29,-13.3%,14,7.8%,24,1.9%
STL,20,-7.0%,26,17,-5.5%,22,-1.0%,17,-0.7%,17,-2.0%,19,6.0%,15,1.7%,21,9.2%,31,3.4%
WAS,21,-7.1%,25,21,-8.0%,19,1.9%,16,-0.5%,23,-8.6%,20,0.2%,19,-2.0%,19,8.6%,5,-2.7%
DAL,22,-7.1%,29,22,-8.1%,17,5.4%,26,-7.7%,19,-4.3%,16,10.3%,25,-6.6%,2,4.2%,21,1.0%
CLE,23,-8.8%,24,23,-9.8%,25,-4.2%,22,-3.5%,24,-9.5%,22,-3.9%,24,-5.5%,10,7.0%,17,0.1%
OAK,24,-9.3%,2,27,-12.7%,26,-9.7%,9,5.8%,21,-6.7%,25,-4.5%,10,5.6%,24,10.5%,27,2.4%
ATL,25,-9.9%,15,24,-10.7%,28,-15.3%,13,2.7%,25,-9.8%,30,-16.7%,11,4.5%,15,8.1%,4,-2.9%
NYG,26,-11.5%,13,29,-20.8%,21,0.1%,27,-11.7%,28,-14.3%,23,-4.4%,28,-12.3%,16,8.3%,2,-3.4%
BAL,27,-13.0%,23,26,-12.6%,31,-17.8%,12,4.6%,26,-11.6%,29,-13.6%,12,4.0%,1,3.3%,32,3.5%
HOU,28,-15.0%,32,28,-16.4%,24,-2.3%,29,-12.7%,30,-16.4%,21,-3.5%,30,-14.2%,18,8.6%,7,-2.6%
BUF,29,-16.3%,18,31,-21.9%,29,-16.4%,23,-5.1%,29,-14.9%,31,-17.5%,18,-0.7%,31,15.6%,14,-0.8%
CHI,30,-16.7%,28,25,-10.7%,32,-25.6%,11,5.0%,27,-13.1%,32,-20.0%,8,6.7%,17,8.3%,30,3.2%
ARI,31,-21.8%,27,32,-23.7%,27,-14.8%,31,-16.7%,32,-22.3%,28,-13.5%,32,-19.7%,23,9.8%,9,-2.6%
DET,32,-21.9%,31,30,-21.8%,30,-16.6%,32,-20.0%,31,-17.9%,27,-11.7%,31,-17.1%,20,8.8%,23,1.3%
