Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
STL,1,21.3%,1,3,19.8%,1,36.2%,3,19.2%,1,21.3%,2,36.8%,3,18.3%,22,9.3%,18,0.2%
SF,2,21.2%,4,1,21.3%,4,32.5%,2,20.6%,2,20.3%,4,30.8%,1,20.5%,2,4.5%,10,-0.6%
OAK,3,18.4%,6,2,20.5%,2,33.2%,6,9.5%,3,20.2%,1,40.2%,7,4.8%,6,5.5%,30,2.7%
PIT,4,14.9%,9,4,18.8%,6,24.7%,4,12.9%,4,18.1%,6,27.7%,4,16.2%,7,5.8%,22,0.5%
KC,5,10.9%,7,6,12.3%,17,5.7%,1,23.1%,5,10.8%,17,8.7%,2,19.6%,25,10.2%,20,0.4%
GB,6,8.5%,13,7,9.4%,5,29.6%,21,-5.2%,6,10.1%,3,34.4%,23,-7.5%,24,10.0%,9,-0.7%
TEN,7,7.6%,15,5,15.2%,3,32.7%,27,-10.7%,8,5.6%,5,29.9%,28,-11.8%,21,8.8%,3,-3.4%
IND,8,6.8%,2,8,8.4%,8,17.8%,9,3.0%,10,4.8%,9,14.1%,10,2.9%,3,4.5%,12,-0.3%
ARI,9,5.4%,27,9,6.0%,7,22.6%,23,-6.8%,13,2.9%,7,19.2%,25,-8.3%,9,6.1%,6,-1.3%
NYJ,10,4.2%,17,15,0.7%,21,3.9%,5,11.4%,7,8.2%,19,8.4%,5,15.0%,15,6.9%,29,2.3%
NE,11,3.6%,20,11,5.5%,10,13.9%,14,-0.2%,9,5.0%,8,17.6%,14,-1.1%,28,11.3%,24,0.8%
PHI,12,3.3%,16,18,-2.0%,12,10.7%,11,1.8%,11,4.4%,11,13.6%,13,0.2%,19,8.5%,26,1.6%
TB,13,3.2%,11,12,3.6%,14,9.9%,12,1.6%,16,2.0%,14,10.6%,16,-2.3%,1,4.5%,5,-1.4%
SEA,14,1.9%,21,10,5.8%,23,0.5%,7,7.8%,15,2.0%,22,2.8%,6,5.7%,29,11.4%,13,-0.1%
DEN,15,0.7%,3,22,-5.6%,16,6.1%,10,2.6%,12,3.6%,15,9.9%,8,4.6%,20,8.6%,27,1.9%
NYG,16,0.1%,8,16,0.5%,18,5.1%,13,0.4%,14,2.6%,16,9.4%,12,0.4%,11,6.4%,23,0.5%
SD,17,-0.1%,29,21,-4.7%,11,10.9%,19,-3.6%,17,1.5%,10,14.0%,18,-3.6%,16,7.3%,28,2.1%
CHI,18,-0.3%,23,13,3.0%,19,4.2%,16,-0.8%,18,0.8%,20,3.8%,11,2.0%,5,4.8%,19,0.3%
JAX,19,-2.0%,10,17,-2.0%,13,10.3%,17,-1.6%,19,-2.3%,13,10.6%,17,-2.8%,12,6.6%,8,-0.9%
MIA,20,-3.1%,19,19,-2.1%,9,17.4%,30,-14.6%,20,-2.8%,12,12.6%,26,-9.4%,13,6.8%,31,3.2%
BUF,21,-4.6%,14,14,1.1%,15,9.4%,22,-6.4%,21,-4.3%,18,8.6%,20,-4.6%,18,7.8%,21,0.5%
MIN,22,-5.0%,5,26,-9.3%,25,-1.9%,8,4.0%,23,-6.8%,25,-4.5%,9,3.3%,27,11.0%,1,-3.9%
NO,23,-6.8%,18,23,-7.7%,20,3.9%,26,-9.7%,22,-6.8%,23,2.2%,21,-7.2%,30,13.4%,16,0.2%
BAL,24,-7.1%,22,24,-7.7%,22,3.3%,25,-9.2%,24,-7.7%,21,2.9%,27,-10.1%,4,4.7%,11,-0.6%
ATL,25,-11.3%,31,29,-18.6%,24,-1.1%,29,-13.9%,27,-12.3%,24,-1.4%,29,-15.7%,17,7.5%,14,0.0%
CIN,26,-11.5%,28,28,-16.4%,28,-10.6%,20,-4.2%,26,-12.0%,27,-8.9%,22,-7.5%,26,10.4%,2,-3.8%
WAS,27,-11.6%,12,20,-2.9%,27,-9.5%,15,-0.6%,25,-11.0%,26,-7.3%,15,-1.3%,31,13.5%,25,0.9%
DET,28,-11.9%,25,25,-9.3%,26,-7.8%,24,-8.4%,28,-13.7%,28,-10.8%,24,-8.0%,10,6.2%,4,-2.3%
DAL,29,-15.6%,24,27,-13.7%,29,-18.7%,18,-2.6%,29,-16.7%,30,-19.7%,19,-3.8%,23,9.7%,15,0.1%
CLE,30,-19.9%,30,30,-22.8%,30,-21.3%,28,-10.9%,30,-19.2%,29,-13.8%,30,-17.4%,8,5.9%,7,-1.2%
CAR,31,-27.2%,26,31,-26.8%,31,-22.5%,31,-23.3%,31,-24.7%,31,-20.4%,31,-20.1%,14,6.8%,17,0.2%
