RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,WAS,4.84,4.60,69%,6,16%,1,1.37,2,0.73,13,12,31,6.4%
2,STL,4.51,4.81,60%,16,22%,17,1.46,1,1.11,4,10,33,6.4%
3,DAL,4.32,4.22,61%,13,19%,7,1.15,10,0.74,12,6,24,5.6%
4,MIN,4.30,4.26,56%,26,21%,11,1.21,7,0.80,10,26,42,8.7%
5,PIT,4.29,4.15,60%,15,19%,6,1.22,6,0.64,14,13,37,6.5%
6,TEN,4.23,4.03,75%,1,20%,10,1.19,8,0.60,19,2,26,4.4%
7,NYJ,4.18,4.09,60%,17,18%,3,1.13,12,0.61,17,16,38,7.1%
8,SF,4.12,5.00,65%,9,21%,12,1.34,4,1.47,1,7,34,5.7%
9,JAX,4.08,4.08,65%,8,21%,15,1.10,16,0.84,8,10,36,6.4%
10,KC,4.07,3.97,63%,11,18%,4,1.07,19,0.62,16,3,27,5.2%
11,BAL,4.03,4.11,53%,29,20%,8,1.03,22,0.82,9,25,56,8.7%
12,OAK,4.02,4.07,59%,19,21%,14,1.16,9,0.76,11,24,49,8.5%
13,CIN,3.99,4.57,58%,20,23%,23,1.36,3,1.15,3,23,52,8.5%
14,PHI,3.97,3.92,58%,23,21%,12,1.12,13,0.56,21,28,48,9.9%
15,IND,3.96,4.14,61%,14,22%,19,1.15,11,0.94,5,1,14,3.2%
16,BUF,3.94,3.59,57%,24,20%,9,0.95,23,0.43,25,5,28,5.6%
17,GB,3.94,3.87,73%,4,24%,24,1.27,5,0.57,20,8,36,6.1%
18,DEN,3.92,4.09,65%,10,19%,5,1.09,18,0.87,7,9,34,6.3%
19,NE,3.89,3.48,74%,3,17%,2,0.86,28,0.44,24,30,56,10.2%
20,CAR,3.76,4.28,47%,31,23%,22,1.12,14,1.19,2,20,49,7.7%
21,ATL,3.71,3.23,62%,12,22%,18,0.94,25,0.24,31,27,52,9.2%
22,SEA,3.70,3.74,56%,25,23%,21,1.10,17,0.60,18,18,38,7.3%
23,MIA,3.62,3.30,48%,30,25%,27,0.95,24,0.38,27,14,37,6.5%
24,CHI,3.55,3.41,72%,5,24%,26,1.04,21,0.38,26,4,37,5.4%
25,NYG,3.54,3.24,58%,22,22%,16,0.82,30,0.38,28,17,42,7.2%
26,SD,3.49,3.06,75%,1,26%,28,0.74,31,0.38,29,19,46,7.7%
27,NO,3.46,3.39,60%,18,26%,29,1.04,20,0.47,22,15,41,6.8%
28,TB,3.44,3.57,55%,28,27%,30,1.11,15,0.62,15,22,42,8.4%
29,CLE,3.39,3.22,68%,7,23%,20,0.90,26,0.33,30,29,60,10.1%
30,ARI,3.37,3.14,58%,21,24%,25,0.84,29,0.45,23,21,45,8.1%
31,DET,3.22,3.59,56%,27,27%,30,0.90,27,0.92,6,31,64,10.5%
