RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NO,4.92,4.56,67%,13,16%,4,1.27,11,0.80,15,3,25,4.7%
2,DAL,4.91,4.69,76%,2,13%,1,1.42,1,0.72,18,2,23,4.3%
3,BAL,4.73,4.97,61%,23,13%,2,1.37,2,0.95,11,8,28,6.0%
4,TEN,4.65,4.83,73%,5,19%,15,1.36,3,1.05,5,32,56,11.2%
5,GB,4.63,4.47,54%,27,17%,6,1.28,9,0.68,20,10,36,6.4%
6,OAK,4.63,4.26,58%,24,17%,7,1.14,21,0.67,22,6,29,5.9%
7,MIN,4.60,4.67,68%,11,16%,5,1.25,13,1.04,6,14,28,6.7%
8,SF,4.53,4.80,67%,13,20%,20,1.32,7,1.16,3,15,36,6.9%
9,NE,4.49,3.90,65%,17,21%,24,1.19,16,0.49,28,5,28,5.3%
10,CLE,4.46,4.85,53%,29,18%,14,1.34,5,1.17,2,18,41,7.2%
11,DEN,4.45,4.24,69%,8,15%,3,1.18,17,0.61,23,25,41,8.1%
12,IND,4.41,4.58,69%,7,20%,22,1.35,4,0.96,10,7,32,6.0%
13,LAC,4.37,4.13,68%,12,20%,21,1.16,19,0.68,21,9,34,6.2%
14,PHI,4.34,4.36,76%,3,18%,13,1.17,18,0.78,16,11,37,6.4%
15,BUF,4.32,4.26,58%,24,22%,28,1.27,10,0.78,17,23,40,7.8%
16,SEA,4.32,4.61,68%,10,18%,9,1.33,6,0.93,13,24,48,7.9%
17,CAR,4.30,4.84,43%,32,18%,10,1.20,15,1.26,1,29,58,8.6%
18,WAS,4.28,4.36,61%,22,19%,17,1.14,20,0.89,14,31,50,9.8%
19,LAR,4.27,3.80,65%,18,21%,26,1.23,14,0.44,29,1,22,3.7%
20,DET,4.21,3.94,64%,19,18%,12,1.12,22,0.54,25,19,43,7.2%
21,HOU,4.13,4.52,81%,1,18%,11,1.26,12,0.93,12,27,49,8.4%
22,ARI,4.12,4.61,74%,4,18%,8,1.30,8,0.97,9,26,50,8.4%
23,TB,4.00,3.59,52%,30,23%,30,0.94,28,0.55,24,22,47,7.6%
24,ATL,3.98,3.73,65%,16,21%,27,1.08,25,0.52,27,13,50,6.6%
25,NYG,3.96,4.25,58%,26,20%,19,1.10,24,0.99,8,17,43,7.1%
26,CIN,3.90,3.95,67%,13,22%,29,1.10,23,0.70,19,20,48,7.3%
27,JAX,3.88,4.16,63%,20,20%,23,1.02,27,1.09,4,16,41,7.0%
28,KC,3.88,4.15,63%,21,19%,18,0.92,29,1.02,7,4,25,4.9%
29,CHI,3.86,3.56,50%,31,19%,16,0.89,31,0.39,30,21,45,7.3%
30,PIT,3.84,3.74,54%,27,23%,31,1.04,26,0.52,26,12,32,6.6%
31,NYJ,3.80,3.29,69%,8,21%,25,0.91,30,0.17,32,30,52,9.2%
32,MIA,3.18,2.96,70%,6,26%,32,0.86,32,0.25,31,28,58,8.6%
,NFL,33,4.26,64%,33,19%,33,1.03,33,0.67,33,33,40,7.0%
