RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NE,5.00,4.54,68%,8,12%,2,1.30,6,0.56,22,6,25,4.9%
2,JAX,4.80,4.62,63%,13,13%,3,1.35,2,0.70,18,24,38,7.7%
3,NYJ,4.72,4.49,76%,2,12%,1,1.15,14,0.56,23,8,28,5.4%
4,HOU,4.69,5.12,66%,10,16%,9,1.42,1,1.32,2,12,32,5.9%
5,KC,4.60,4.82,57%,20,15%,5,1.35,3,1.00,8,18,32,6.8%
6,NO,4.59,4.23,68%,7,19%,17,1.21,10,0.71,17,5,26,4.7%
7,NYG,4.37,4.83,59%,18,19%,16,1.31,4,1.25,3,2,16,3.3%
8,ATL,4.35,3.97,68%,9,19%,15,1.03,28,0.71,16,3,22,4.1%
9,BAL,4.35,3.88,55%,24,15%,6,0.97,29,0.46,27,25,40,7.9%
10,PHI,4.33,4.96,76%,3,17%,10,1.25,7,1.35,1,28,49,8.4%
11,MIN,4.30,4.33,70%,6,19%,18,1.25,8,0.82,12,20,36,6.8%
12,SF,4.29,4.05,56%,23,17%,11,1.04,25,0.65,20,30,44,8.9%
13,DAL,4.29,3.87,54%,26,19%,13,1.10,20,0.49,26,11,31,5.8%
14,SD,4.27,4.18,61%,15,19%,19,1.10,17,0.78,14,19,38,6.8%
15,OAK,4.26,4.60,61%,15,16%,8,1.10,18,1.16,6,26,44,8.3%
16,MIA,4.22,3.78,83%,1,16%,7,0.86,32,0.38,32,15,38,6.3%
17,CIN,4.19,3.76,51%,28,23%,27,1.15,15,0.38,31,7,28,5.1%
18,CLE,4.19,3.95,74%,4,14%,4,0.93,30,0.55,24,23,36,7.6%
19,PIT,4.02,3.93,64%,12,22%,24,1.04,23,0.73,15,29,43,8.6%
20,BUF,4.00,4.05,65%,11,20%,21,1.10,19,0.66,19,17,34,6.5%
21,ARI,3.99,4.31,74%,5,21%,22,1.20,11,1.00,7,27,50,8.4%
22,IND,3.96,3.91,56%,21,20%,20,1.04,24,0.64,21,1,16,2.8%
23,GB,3.96,3.52,55%,25,18%,12,0.88,31,0.44,29,21,38,7.2%
24,WAS,3.95,4.19,48%,30,25%,29,1.30,5,0.90,10,22,46,7.3%
25,TB,3.92,4.43,60%,17,23%,26,1.18,13,1.21,5,13,30,6.1%
26,STL,3.91,3.64,58%,19,19%,14,1.03,27,0.51,25,10,34,5.6%
27,CAR,3.88,4.29,62%,14,21%,23,1.22,9,0.99,9,31,50,9.9%
28,SEA,3.80,3.90,48%,29,26%,32,1.06,21,0.84,11,14,35,6.2%
29,CHI,3.78,3.79,44%,32,25%,30,1.06,22,0.80,13,32,56,10.4%
30,DEN,3.72,3.62,52%,27,23%,25,1.12,16,0.45,28,16,40,6.4%
31,TEN,3.60,4.36,46%,31,26%,31,1.20,12,1.25,4,9,27,5.6%
32,DET,3.47,3.46,56%,21,23%,28,1.04,26,0.43,30,4,27,4.3%
,NFL,33,4.18,61%,33,19%,33,1.03,33,0.70,33,33,35,6.5%
