Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,31.1%,3,1,29.6%,1,54.1%,2,11.7%,1,29.8%,1,51.8%,2,11.5%,5,4.3%,9,-2.0%
DEN,2,22.7%,23,3,24.1%,2,49.3%,13,-1.9%,2,23.1%,2,51.5%,14,-3.8%,2,2.3%,30,4.0%
GB,3,19.6%,1,4,19.0%,3,42.3%,17,-6.8%,4,15.2%,4,36.0%,18,-8.4%,19,6.5%,7,-4.3%
SEA,4,18.6%,22,2,29.5%,4,40.3%,1,11.9%,6,13.8%,5,33.9%,4,8.3%,14,5.9%,2,-6.3%
SF,5,17.4%,18,6,14.4%,5,35.5%,5,9.5%,5,14.6%,6,30.1%,3,9.5%,25,9.6%,5,-5.6%
WAS,6,16.0%,19,5,17.8%,6,34.7%,3,11.6%,3,20.5%,3,42.7%,1,13.1%,6,4.3%,24,2.4%
NYG,7,12.9%,7,8,12.4%,11,22.4%,4,9.7%,7,13.8%,10,25.7%,5,7.6%,31,12.6%,20,1.8%
DET,8,12.1%,10,10,10.5%,9,24.7%,12,-1.1%,11,5.6%,14,17.0%,17,-5.8%,10,5.5%,3,-6.1%
NO,9,12.0%,2,9,11.9%,10,24.4%,10,2.2%,8,12.8%,8,26.6%,8,0.6%,17,6.5%,17,0.9%
CAR,10,7.6%,4,7,12.5%,12,20.4%,9,2.8%,9,9.7%,9,26.1%,7,1.3%,28,10.6%,18,1.2%
ATL,11,6.6%,11,12,4.5%,8,25.3%,29,-21.1%,10,9.6%,7,28.2%,27,-17.9%,13,5.8%,28,3.5%
DAL,12,6.2%,12,11,7.9%,7,26.1%,22,-11.0%,14,3.5%,11,22.3%,23,-11.8%,20,7.3%,15,0.4%
BAL,13,3.0%,13,15,-0.5%,14,11.5%,7,5.3%,13,4.2%,16,12.9%,6,6.1%,30,11.0%,21,2.0%
MIN,14,1.1%,24,13,2.3%,22,4.3%,6,5.4%,19,-3.2%,24,0.3%,9,0.5%,1,1.8%,6,-5.5%
TB,15,0.7%,26,14,-0.3%,16,8.6%,11,0.0%,15,3.4%,15,13.3%,10,0.0%,26,10.0%,22,2.3%
HOU,16,0.3%,9,19,-6.0%,15,10.4%,14,-2.7%,12,4.7%,12,17.9%,12,-1.7%,11,5.6%,25,2.7%
CIN,17,-2.1%,17,17,-4.7%,20,6.4%,15,-4.1%,17,1.2%,18,10.9%,13,-2.1%,18,6.5%,32,4.4%
IND,18,-2.5%,27,18,-5.4%,19,6.4%,19,-10.3%,16,1.2%,17,11.9%,19,-9.0%,4,4.1%,16,0.7%
STL,19,-4.1%,32,16,-1.3%,17,8.4%,16,-6.1%,21,-7.1%,21,6.6%,22,-11.3%,12,5.6%,1,-6.4%
PIT,20,-4.3%,6,21,-8.7%,13,14.1%,31,-22.4%,18,-2.0%,13,17.5%,30,-21.5%,27,10.6%,29,3.9%
BUF,21,-4.6%,16,20,-7.0%,25,-0.8%,8,3.2%,22,-7.2%,26,-2.0%,11,-1.3%,8,4.8%,10,-1.0%
MIA,22,-8.6%,20,23,-9.5%,24,-0.6%,20,-10.4%,20,-7.0%,23,1.5%,20,-9.3%,32,13.8%,12,-0.3%
OAK,23,-10.1%,14,26,-12.6%,21,4.8%,28,-20.0%,23,-7.6%,19,8.0%,28,-18.6%,7,4.6%,23,2.4%
SD,24,-10.4%,5,25,-11.7%,18,6.8%,26,-17.1%,24,-8.9%,20,7.8%,26,-15.0%,9,5.4%,27,3.3%
CHI,25,-10.7%,30,22,-8.8%,23,0.6%,21,-10.5%,25,-10.0%,22,2.0%,21,-10.5%,23,7.9%,8,-2.6%
PHI,26,-11.2%,8,24,-9.9%,26,-1.2%,27,-18.3%,27,-12.2%,25,-1.6%,29,-20.3%,29,10.8%,19,1.3%
CLE,27,-15.2%,25,27,-13.7%,27,-7.8%,24,-12.6%,26,-10.8%,27,-5.8%,15,-4.5%,24,9.4%,31,4.1%
JAX,28,-18.6%,31,28,-18.4%,29,-14.1%,25,-16.1%,28,-17.4%,29,-14.1%,24,-12.8%,3,3.8%,14,0.3%
NYJ,29,-20.5%,21,29,-23.3%,30,-23.9%,18,-8.6%,29,-20.2%,30,-26.2%,16,-5.7%,22,7.6%,11,-0.6%
TEN,30,-21.1%,15,30,-23.7%,28,-12.8%,30,-22.1%,30,-20.6%,28,-10.6%,31,-24.4%,21,7.5%,13,0.2%
KC,31,-26.0%,29,31,-26.2%,32,-30.6%,23,-11.8%,31,-27.0%,31,-31.0%,25,-13.4%,16,6.5%,26,3.0%
ARI,32,-31.1%,28,32,-36.7%,31,-29.8%,32,-23.0%,32,-37.7%,32,-37.0%,32,-29.0%,15,6.0%,4,-5.8%
