RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,IND,4.64,3.94,54%,29,16%,5,1.17,11,0.36,31,1,20,3.7%
2,DEN,4.61,4.71,68%,9,14%,1,1.14,14,1.08,3,4,23,4.9%
3,KC,4.61,4.78,68%,10,16%,6,1.30,4,1.02,5,15,32,6.6%
4,CIN,4.54,4.30,70%,8,18%,13,1.33,2,0.60,18,2,21,3.9%
5,WAS,4.50,4.38,62%,17,15%,2,1.26,5,0.68,16,17,31,6.9%
6,SEA,4.48,4.92,81%,1,21%,25,1.46,1,1.23,2,13,27,5.9%
7,ATL,4.46,4.49,65%,14,16%,3,1.22,7,0.88,9,24,39,8.1%
8,HOU,4.43,4.06,50%,30,17%,7,1.10,16,0.48,24,32,68,13.0%
9,SD,4.43,4.52,78%,2,16%,4,1.20,8,0.89,8,12,30,5.9%
10,NYG,4.30,4.84,56%,27,18%,16,1.23,6,1.31,1,8,28,5.3%
11,MIA,4.28,4.35,71%,6,17%,8,1.17,12,0.81,12,5,26,4.9%
12,PIT,4.26,4.18,68%,12,18%,14,1.16,13,0.75,15,22,32,7.8%
13,CAR,4.15,3.62,60%,22,18%,18,0.95,29,0.44,27,9,27,5.6%
14,DET,4.14,3.71,61%,20,18%,10,0.93,31,0.51,21,10,30,5.7%
15,CHI,4.13,4.41,55%,28,19%,20,1.10,15,1.03,4,21,31,7.7%
16,BUF,4.08,3.80,62%,17,18%,17,1.08,19,0.46,25,27,42,8.8%
17,OAK,4.04,3.74,64%,15,18%,11,1.06,22,0.43,28,23,44,7.8%
18,TB,3.99,4.21,75%,5,18%,15,1.07,21,0.93,7,26,41,8.4%
19,NO,3.98,3.78,57%,25,17%,9,1.05,26,0.53,20,18,41,7.4%
20,TEN,3.92,3.78,62%,19,19%,19,1.01,27,0.51,22,3,31,4.7%
21,CLE,3.88,3.88,48%,31,18%,12,1.05,25,0.65,17,25,46,8.2%
22,NYJ,3.87,3.47,71%,7,21%,22,0.88,32,0.39,29,31,53,10.3%
23,STL,3.85,4.13,57%,25,27%,30,1.31,3,0.87,10,20,46,7.5%
24,DAL,3.85,3.76,60%,23,22%,27,1.09,18,0.54,19,28,50,9.7%
25,PHI,3.79,4.12,68%,11,21%,23,1.18,10,0.82,11,16,42,6.7%
26,NE,3.78,3.53,77%,3,23%,29,1.07,20,0.36,30,6,28,5.0%
27,JAX,3.77,3.94,61%,20,23%,28,1.10,17,0.76,14,11,32,5.8%
28,BAL,3.65,3.54,76%,4,20%,21,1.05,24,0.45,26,19,42,7.4%
29,SF,3.62,4.11,58%,24,21%,24,1.06,23,0.98,6,30,48,10.2%
30,GB,3.58,3.41,67%,13,22%,26,0.94,30,0.48,23,7,27,5.0%
31,MIN,3.48,3.74,63%,16,27%,31,1.20,9,0.77,13,29,55,10.1%
32,ARI,3.24,3.01,41%,32,31%,32,0.99,28,0.34,32,14,45,6.4%
,NFL,33,4.07,64%,33,19%,33,1.03,33,0.66,33,33,37,7.0%
