RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,SD,4.78,5.39,74%,4,13%,1,1.31,6,1.57,1,15,28,6.3%
2,JAX,4.61,5.13,64%,14,16%,5,1.40,2,1.20,3,19,30,7.0%
3,PHI,4.60,4.70,62%,21,16%,3,1.35,3,0.76,11,12,28,6.0%
4,NYG,4.52,4.99,71%,6,20%,25,1.61,1,0.96,6,7,25,5.4%
5,IND,4.51,4.13,60%,22,18%,13,1.29,7,0.42,28,1,15,3.4%
6,SF,4.47,5.00,55%,28,17%,6,1.31,5,1.32,2,18,35,6.8%
7,CHI,4.45,4.07,71%,7,15%,2,1.16,17,0.49,26,6,25,4.8%
8,STL,4.45,4.36,62%,18,18%,19,1.23,10,0.71,13,24,49,7.9%
9,CIN,4.41,3.98,72%,5,19%,23,1.25,8,0.36,29,13,36,6.1%
10,DAL,4.39,4.21,63%,17,19%,22,1.24,9,0.63,18,23,37,7.9%
11,NE,4.33,4.22,82%,1,17%,10,1.19,15,0.70,14,8,29,5.7%
12,NO,4.32,3.99,54%,30,18%,14,1.09,21,0.52,24,4,23,4.3%
13,MIN,4.28,4.20,68%,12,18%,18,1.19,13,0.69,15,22,43,7.7%
14,WAS,4.25,4.41,55%,29,19%,21,1.32,4,0.72,12,5,19,4.4%
15,KC,4.20,4.34,74%,2,18%,17,1.19,14,0.89,9,21,41,7.6%
16,GB,4.19,4.11,62%,18,18%,12,1.18,16,0.62,19,3,24,3.8%
17,ATL,4.18,4.64,60%,23,18%,11,1.22,11,1.09,4,31,47,10.5%
18,DEN,4.18,4.44,63%,16,17%,9,1.21,12,0.95,7,9,31,5.8%
19,HOU,4.16,4.00,71%,7,16%,4,1.09,22,0.57,20,28,43,9.3%
20,BAL,4.16,3.78,59%,24,17%,7,0.94,31,0.51,25,2,17,3.7%
21,MIA,4.14,4.18,70%,9,18%,20,1.12,18,0.78,10,20,41,7.1%
22,PIT,4.06,4.37,62%,18,18%,15,1.12,19,1.07,5,25,49,7.9%
23,CAR,3.98,3.98,50%,31,18%,16,1.05,24,0.65,17,16,32,6.5%
24,ARI,3.98,3.34,56%,26,21%,28,1.00,28,0.13,32,14,36,6.2%
25,NYJ,3.93,3.41,56%,27,21%,27,0.94,30,0.26,30,17,34,6.7%
26,BUF,3.91,3.74,69%,11,19%,24,1.00,27,0.48,27,29,47,9.5%
27,TB,3.86,3.67,64%,15,22%,30,0.96,29,0.53,22,10,33,5.9%
28,TEN,3.86,4.30,67%,13,17%,8,1.12,20,0.92,8,11,29,6.0%
29,OAK,3.84,3.74,58%,25,22%,29,1.03,26,0.57,21,32,72,12.3%
30,SEA,3.78,3.70,70%,9,20%,26,1.05,23,0.53,23,26,49,8.8%
31,CLE,3.72,3.29,74%,3,22%,31,0.93,32,0.24,31,27,54,9.2%
32,DET,3.62,3.62,37%,32,25%,32,1.04,25,0.66,16,30,63,9.9%
,NFL,33,4.19,64%,33,18%,33,1.07,33,0.65,33,33,36,6.9%
