RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,MIN,4.65,4.67,83%,1,19%,12,1.32,8,0.82,10,30,42,8.5%
2,KC,4.55,4.34,67%,14,19%,12,1.41,3,0.62,19,4,21,4.3%
3,GB,4.55,5.29,76%,3,20%,23,1.45,1,1.44,2,5,19,4.5%
4,PHI,4.52,4.76,73%,4,14%,2,1.41,2,0.96,8,29,43,8.4%
5,BAL,4.51,5.12,60%,24,20%,19,1.32,9,1.40,3,32,43,9.5%
6,IND,4.49,3.90,51%,30,17%,5,1.18,17,0.41,29,2,19,3.6%
7,JAX,4.49,4.39,69%,10,19%,18,1.22,12,0.78,11,6,28,5.1%
8,SF,4.45,4.56,58%,26,20%,20,1.34,5,0.85,9,9,28,5.5%
9,DEN,4.43,4.76,65%,17,18%,8,1.19,14,1.18,4,11,25,5.7%
10,OAK,4.41,4.27,71%,7,18%,7,1.09,25,0.71,14,28,43,8.1%
11,SEA,4.39,4.55,69%,9,19%,15,1.36,4,0.97,7,25,43,7.9%
12,CAR,4.37,4.31,64%,19,17%,4,1.22,11,0.72,13,8,26,5.5%
13,TB,4.35,4.06,59%,25,20%,21,1.14,23,0.57,23,3,23,3.9%
14,WAS,4.34,3.96,64%,20,18%,10,1.17,18,0.42,28,21,43,7.2%
15,NYJ,4.30,4.06,64%,18,14%,1,1.17,19,0.57,21,12,31,5.9%
16,SD,4.27,5.05,67%,13,19%,14,1.33,6,1.45,1,10,29,5.6%
17,BUF,4.20,3.95,67%,15,22%,28,1.15,21,0.53,24,31,51,9.0%
18,NO,4.19,4.64,71%,6,17%,3,1.15,22,1.17,5,17,36,6.7%
19,CLE,4.17,4.07,45%,32,21%,26,1.22,10,0.64,16,23,40,7.5%
20,CIN,4.15,4.07,57%,27,22%,27,1.08,26,0.75,12,18,37,6.7%
21,ATL,4.14,4.50,81%,2,19%,11,1.19,13,1.05,6,22,34,7.2%
22,NE,4.09,3.63,60%,23,19%,16,0.96,31,0.41,30,13,32,6.0%
23,CHI,4.08,3.99,68%,11,21%,25,1.17,20,0.68,15,27,43,8.1%
24,NYG,4.04,4.08,57%,28,23%,29,1.32,7,0.59,20,16,44,6.6%
25,DAL,3.94,3.82,62%,21,20%,22,1.19,16,0.57,22,14,37,6.4%
26,STL,3.84,3.74,68%,12,25%,30,1.19,15,0.62,17,19,43,6.9%
27,PIT,3.84,3.30,62%,22,18%,6,0.99,30,0.20,32,20,42,7.0%
28,MIA,3.79,3.60,71%,7,18%,9,1.00,29,0.51,26,15,31,6.6%
29,HOU,3.70,3.75,66%,16,19%,17,1.10,24,0.62,18,26,36,8.1%
30,TEN,3.69,3.38,46%,31,26%,32,1.00,28,0.38,31,7,25,5.2%
31,ARI,3.47,3.42,53%,29,25%,31,1.07,27,0.47,27,24,43,7.7%
32,DET,3.45,3.44,72%,5,21%,24,0.93,32,0.52,25,1,11,2.4%
,NFL,33,4.18,64%,33,20%,33,1.08,33,0.68,33,33,34,6.4%
