Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,44.1%,4,1,39.9%,1,73.7%,2,17.4%,1,45.4%,1,76.2%,1,17.2%,15,7.7%,23,0.4%
IND,2,23.0%,1,3,19.4%,3,40.7%,3,13.7%,2,22.2%,5,37.6%,3,15.5%,24,9.5%,8,-1.1%
JAX,3,21.9%,9,2,28.9%,2,48.3%,6,9.9%,4,19.4%,3,43.8%,6,9.1%,2,3.7%,2,-2.6%
DAL,4,17.4%,6,9,8.9%,4,39.4%,8,7.2%,3,21.2%,2,46.0%,8,7.3%,32,23.1%,17,-0.2%
GB,5,16.0%,20,4,15.4%,7,32.0%,13,2.9%,5,17.1%,6,36.1%,14,-0.9%,30,12.0%,14,-0.5%
PHI,6,12.7%,3,6,10.3%,16,13.1%,1,19.3%,8,10.9%,16,11.6%,2,17.1%,26,10.8%,12,-0.6%
CIN,7,12.2%,5,10,8.6%,6,32.9%,12,2.9%,7,12.9%,7,35.2%,12,1.4%,8,5.5%,10,-0.7%
DEN,8,9.1%,19,7,9.8%,8,27.2%,16,-2.8%,11,7.9%,10,24.2%,16,-2.0%,31,13.0%,3,-2.3%
CLE,9,8.2%,29,11,8.1%,11,20.8%,7,8.6%,9,10.2%,9,24.9%,7,8.4%,12,6.8%,31,1.9%
PIT,10,8.1%,10,13,4.8%,5,34.4%,25,-10.2%,6,13.2%,4,42.5%,21,-7.8%,20,8.8%,32,3.6%
NO,11,6.7%,8,5,11.9%,12,18.8%,17,-3.1%,12,6.1%,12,18.1%,18,-3.7%,16,7.8%,5,-1.7%
SEA,12,6.6%,27,8,9.4%,9,24.8%,23,-9.7%,10,8.3%,8,29.3%,25,-12.1%,3,4.3%,30,1.7%
TB,13,5.9%,30,17,0.1%,13,17.0%,10,4.5%,13,6.0%,11,18.6%,11,2.7%,9,5.5%,29,1.6%
SD,14,5.2%,2,12,7.2%,14,16.1%,9,5.2%,14,2.7%,15,12.2%,9,3.9%,25,9.6%,11,-0.7%
HOU,15,1.6%,21,14,4.0%,15,14.3%,15,-1.8%,17,-2.1%,17,5.5%,13,0.7%,1,3.3%,4,-1.9%
MIN,16,-0.8%,31,15,3.1%,20,-0.8%,5,10.0%,16,-2.1%,22,-2.8%,5,9.3%,14,7.0%,20,0.3%
WAS,17,-0.9%,13,16,3.0%,10,21.1%,26,-10.4%,20,-5.1%,13,16.9%,29,-14.8%,5,5.0%,9,-1.0%
NYG,18,-1.1%,7,20,-5.7%,23,-3.0%,4,10.8%,18,-2.5%,23,-5.3%,4,10.4%,10,5.6%,18,-0.1%
TEN,19,-3.5%,24,19,-4.4%,18,2.2%,14,-1.4%,19,-3.2%,19,2.9%,15,-1.8%,11,6.5%,25,1.0%
ARI,20,-3.8%,25,18,-3.7%,17,12.4%,22,-9.7%,15,-1.1%,14,14.8%,19,-6.2%,7,5.1%,27,1.3%
MIA,21,-6.7%,26,25,-12.6%,25,-7.1%,11,4.2%,23,-9.6%,29,-11.2%,10,2.8%,21,9.0%,21,0.3%
NYJ,22,-9.6%,12,24,-11.6%,19,-0.2%,27,-11.0%,22,-9.2%,20,-1.1%,23,-9.2%,4,4.9%,7,-1.2%
BUF,23,-10.1%,22,21,-6.0%,21,-1.2%,24,-9.9%,21,-7.5%,18,3.1%,22,-8.7%,13,6.9%,26,1.1%
DET,24,-10.3%,28,23,-11.3%,22,-1.7%,20,-6.9%,24,-11.4%,21,-1.4%,24,-10.6%,17,7.9%,1,-2.8%
BAL,25,-13.5%,15,22,-9.7%,24,-5.4%,28,-11.5%,27,-15.6%,25,-8.4%,26,-12.5%,29,11.9%,28,1.3%
CAR,26,-14.8%,17,28,-18.1%,29,-13.2%,19,-6.2%,25,-14.2%,28,-11.0%,20,-7.6%,19,8.7%,13,-0.6%
ATL,27,-16.8%,16,27,-17.8%,26,-10.1%,29,-12.5%,28,-17.0%,26,-8.5%,30,-15.1%,28,11.7%,6,-1.3%
OAK,28,-18.0%,32,26,-15.8%,30,-13.8%,18,-5.3%,26,-15.5%,27,-10.9%,17,-3.0%,22,9.3%,15,-0.4%
KC,29,-19.6%,11,30,-19.6%,28,-11.4%,30,-16.8%,29,-18.9%,31,-12.5%,28,-13.5%,18,8.5%,24,0.8%
CHI,30,-22.2%,18,29,-18.6%,27,-10.4%,32,-19.6%,30,-21.0%,24,-5.5%,32,-23.0%,6,5.0%,16,-0.3%
STL,31,-23.2%,14,31,-21.3%,31,-16.9%,31,-17.6%,31,-21.4%,30,-11.9%,31,-20.1%,23,9.3%,22,0.4%
SF,32,-32.8%,23,32,-29.7%,32,-39.1%,21,-7.5%,32,-32.0%,32,-34.7%,27,-12.5%,27,11.5%,19,0.1%
