RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,CLE,4.85,5.29,74%,7,15%,4,1.6,1,1.17,3,30,49,8.7%
2,DAL,4.8,4.68,69%,14,13%,2,1.25,8,0.74,10,9,33,5.6%
3,GB,4.79,4.39,74%,6,13%,3,1.22,13,0.53,20,6,33,5.1%
4,PHI,4.78,4.8,67%,17,12%,1,1.34,4,0.76,9,16,31,6.6%
5,TB,4.68,4.44,81%,2,15%,8,1.2,14,0.7,12,1,23,3.5%
6,LAR,4.62,4.2,54%,29,18%,21,1.25,9,0.47,24,7,31,5.2%
7,IND,4.6,5.17,71%,12,19%,29,1.43,2,1.33,1,13,32,6.2%
8,KC,4.55,4.25,76%,5,15%,5,1.22,12,0.37,29,4,28,4.8%
9,NE,4.52,4.5,77%,4,18%,23,1.32,5,0.82,7,8,28,5.4%
10,LAC,4.45,4.25,60%,25,16%,10,1.23,10,0.61,17,5,31,5.0%
11,SF,4.4,4.34,65%,20,17%,14,1.29,6,0.64,15,17,33,6.6%
12,BUF,4.4,4.29,67%,17,16%,12,1.16,22,0.68,14,2,27,4.5%
13,JAX,4.39,4.2,69%,15,16%,9,1.14,24,0.54,19,10,32,5.6%
14,SEA,4.39,4.98,62%,23,17%,18,1.23,11,1.29,2,25,46,8.0%
15,CIN,4.36,4.17,51%,31,15%,7,1.2,16,0.57,18,31,55,9.1%
16,TEN,4.31,4.36,83%,1,17%,16,1.16,21,0.84,5,26,47,8.4%
17,LV,4.29,4.01,63%,22,16%,11,1.14,25,0.48,23,18,40,6.7%
18,DEN,4.29,4.51,71%,11,18%,19,1.37,3,0.83,6,21,40,7.5%
19,WAS,4.28,4.09,77%,3,15%,6,1.19,17,0.39,28,24,43,8.0%
20,ATL,4.16,3.87,50%,32,18%,25,1.17,20,0.42,25,20,40,7.0%
21,DET,4.09,4.27,59%,26,19%,27,1.2,15,0.78,8,12,36,5.8%
22,NYJ,4.06,4.19,64%,21,18%,20,1.17,19,0.74,11,28,53,8.6%
23,CHI,4.06,3.93,62%,24,21%,30,1.11,26,0.5,22,32,58,9.5%
24,MIN,4.02,4.33,72%,9,23%,32,1.27,7,0.95,4,3,30,4.7%
25,CAR,3.97,3.8,72%,10,21%,31,1.19,18,0.41,27,27,52,8.5%
26,ARI,3.93,4.14,70%,13,17%,15,1.16,23,0.62,16,15,39,6.5%
27,NO,3.92,3.57,55%,28,19%,28,1.04,28,0.32,31,23,37,7.7%
28,PIT,3.84,3.75,58%,27,17%,17,1.02,30,0.42,26,11,38,5.6%
29,BAL,3.82,4.22,68%,16,16%,13,1.1,27,0.68,13,29,57,8.6%
30,MIA,3.81,3.62,52%,30,18%,22,0.84,31,0.35,30,19,40,6.9%
31,NYG,3.74,3.88,66%,19,19%,26,1.03,29,0.51,21,14,38,6.4%
32,HOU,3.33,3.16,72%,8,18%,24,0.72,32,0.28,32,22,44,7.6%
,NFL,33,4.25,67%,33,17%,33,1.01,33,0.56,33,33,39,6.6%

