RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,SF,4.77,4.74,66%,12,17%,7,1.49,1,0.79,14,29,41,8.5%
2,NYG,4.74,4.74,67%,8,20%,18,1.38,7,0.96,7,3,20,4.4%
3,NE,4.72,4.32,66%,13,18%,10,1.33,9,0.63,22,5,27,4.5%
4,SEA,4.70,4.83,70%,4,15%,1,1.42,2,0.94,8,20,33,7.2%
5,NYJ,4.66,4.00,67%,9,16%,2,1.06,24,0.45,29,30,47,8.6%
6,BAL,4.60,4.53,64%,14,16%,4,1.22,14,0.87,11,13,38,6.1%
7,BUF,4.51,5.15,56%,26,17%,8,1.42,3,1.14,4,10,30,5.5%
8,WAS,4.50,4.72,58%,24,16%,3,1.40,5,0.85,13,22,33,7.8%
9,HOU,4.43,4.34,61%,18,20%,23,1.27,10,0.85,12,9,28,5.3%
10,MIN,4.42,5.67,53%,29,24%,29,1.41,4,2.08,1,16,32,6.5%
11,CIN,4.41,4.17,69%,5,17%,9,0.91,31,0.90,9,28,46,8.3%
12,DEN,4.39,4.07,67%,9,20%,20,1.19,16,0.53,25,2,21,4.2%
13,STL,4.33,4.30,63%,16,20%,21,1.26,11,0.76,16,14,35,6.2%
14,TB,4.32,4.50,60%,21,20%,22,1.19,15,1.09,5,6,26,4.8%
15,DET,4.30,4.01,56%,27,17%,5,1.10,20,0.49,27,1,29,3.7%
16,CHI,4.30,4.08,57%,25,21%,25,1.12,19,0.73,18,24,44,8.0%
17,JAX,4.30,3.89,61%,20,19%,15,1.01,28,0.58,23,22,50,7.8%
18,NO,4.29,4.40,71%,3,19%,14,1.25,12,0.90,9,7,26,4.9%
19,KC,4.29,4.84,59%,23,20%,19,1.33,8,1.25,2,27,40,8.2%
20,CLE,4.28,3.79,53%,29,19%,16,1.08,23,0.40,31,12,36,6.0%
21,MIA,4.18,4.15,63%,17,18%,11,1.14,17,0.76,17,18,37,6.8%
22,DAL,4.16,3.78,63%,15,19%,12,1.04,25,0.52,26,11,36,5.8%
23,SD,4.15,3.71,60%,21,17%,6,1.01,27,0.41,30,32,49,8.9%
24,ATL,4.11,3.69,39%,32,23%,27,1.03,26,0.66,21,8,28,5.1%
25,GB,4.10,3.58,68%,7,19%,13,0.97,29,0.28,32,31,51,8.6%
26,IND,4.00,3.78,72%,2,25%,30,1.23,13,0.48,28,17,41,6.8%
27,PIT,3.95,3.71,61%,18,20%,17,0.95,30,0.54,24,15,37,6.3%
28,PHI,3.79,4.47,69%,6,26%,31,1.39,6,1.06,6,25,48,8.1%
29,OAK,3.74,3.90,55%,28,21%,24,1.10,21,0.78,15,4,27,4.4%
30,CAR,3.71,3.88,75%,1,23%,26,1.08,22,0.72,19,21,36,7.6%
31,TEN,3.56,4.21,67%,9,24%,28,1.13,18,1.19,3,19,39,7.1%
32,ARI,3.11,3.26,48%,31,27%,32,0.85,32,0.66,20,26,58,8.1%
,NFL,33,4.25,62%,33,20%,33,1.07,33,0.72,33,33,37,6.5%
