RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,NE,4.72,4.25,70%,8,16%,6,1.28,6,0.47,24,4,21,4.1%
2,CLE,4.69,4.46,64%,15,14%,1,1.23,11,0.78,13,5,19,4.2%
3,NYG,4.57,4.79,70%,7,17%,9,1.34,3,0.97,7,11,28,5.0%
4,IND,4.56,4.04,78%,1,15%,5,1.25,7,0.36,30,5,23,4.2%
5,PHI,4.55,4.73,74%,4,19%,19,1.40,2,0.92,8,21,49,7.6%
6,TB,4.53,4.12,59%,23,16%,7,1.14,21,0.55,21,23,36,7.9%
7,NO,4.45,3.86,66%,13,18%,10,1.19,16,0.36,29,3,16,3.6%
8,HOU,4.38,3.91,69%,10,15%,3,0.97,27,0.51,22,10,22,4.8%
9,ARI,4.37,3.70,65%,14,15%,2,0.96,28,0.30,32,9,24,4.7%
10,CIN,4.33,3.90,73%,5,19%,20,1.21,14,0.41,26,2,17,3.2%
11,TEN,4.31,3.90,71%,6,16%,8,0.96,29,0.48,23,16,30,6.6%
12,SF,4.28,4.31,57%,24,15%,4,1.22,12,0.64,18,32,55,10.3%
13,MIN,4.27,5.44,76%,2,22%,28,1.52,1,1.75,1,28,38,8.6%
14,DAL,4.25,4.31,68%,12,18%,14,1.16,19,0.85,10,7,25,4.5%
15,DEN,4.24,4.60,49%,32,20%,23,1.28,5,1.06,5,14,32,5.9%
16,WAS,4.19,3.75,60%,21,18%,15,1.11,23,0.37,28,12,29,5.1%
17,OAK,4.18,4.20,55%,25,19%,21,1.22,13,0.65,17,27,41,8.5%
18,JAX,4.17,4.81,61%,18,23%,30,1.25,8,1.37,2,17,31,6.9%
19,CAR,4.16,4.08,62%,16,19%,17,1.25,9,0.59,20,15,33,6.4%
20,PIT,4.12,4.16,60%,21,18%,13,1.13,22,0.77,14,31,47,10.1%
21,MIA,4.09,4.22,70%,8,19%,22,1.32,4,0.70,16,20,42,7.4%
22,DET,4.08,4.14,50%,29,21%,25,1.20,15,0.83,11,26,54,8.3%
23,NYJ,4.03,3.88,50%,29,18%,12,1.17,17,0.45,25,30,53,9.3%
24,BUF,4.01,3.96,51%,28,19%,18,1.06,26,0.64,19,13,26,5.4%
25,SD,4.01,4.52,61%,19,21%,26,1.23,10,1.18,4,8,24,4.6%
26,GB,3.93,4.47,50%,29,21%,24,1.11,25,1.22,3,1,19,3.1%
27,BAL,3.86,4.02,68%,11,18%,16,1.16,18,0.74,15,22,39,7.6%
28,STL,3.79,3.98,54%,26,21%,27,0.93,30,0.88,9,25,48,8.1%
29,CHI,3.76,3.36,75%,3,18%,11,0.88,32,0.32,31,19,43,7.0%
30,SEA,3.76,3.92,52%,27,26%,32,1.14,20,0.78,12,18,36,6.9%
31,KC,3.62,3.37,60%,20,23%,29,0.88,31,0.41,27,29,55,9.1%
32,ATL,3.52,4.07,62%,17,25%,31,1.11,24,0.98,6,24,47,7.9%
,NFL,33,4.17,63%,33,19%,33,1.08,33,0.68,33,33,34,6.4%
