RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,CIN,4.59,4.00,68%,13,17%,3,1.20,14,0.42,31,15,32,5.9%
2,NE,4.56,3.88,64%,19,16%,1,1.17,16,0.42,30,18,38,6.5%
3,ARI,4.56,4.59,51%,29,21%,16,1.22,6,1.15,4,5,27,5.0%
4,SEA,4.56,4.44,71%,8,18%,5,1.20,15,0.81,12,30,46,9.0%
5,KC,4.53,4.43,70%,11,18%,6,1.22,8,0.84,11,28,46,8.7%
6,DAL,4.48,4.53,66%,15,17%,4,1.21,12,1.01,8,19,33,6.6%
7,CHI,4.46,3.89,74%,4,16%,2,1.05,23,0.30,32,12,34,5.6%
8,PIT,4.45,4.53,60%,24,19%,10,1.22,9,1.01,6,8,33,5.4%
9,TB,4.36,4.86,71%,8,20%,13,1.20,13,1.40,1,14,27,5.8%
10,MIN,4.32,4.55,76%,2,20%,12,1.24,4,1.12,5,29,45,8.8%
11,NYG,4.31,4.02,47%,30,19%,11,1.10,21,0.59,23,6,27,5.1%
12,CAR,4.24,4.10,76%,2,18%,8,1.23,5,0.61,22,21,33,6.9%
13,NO,4.23,4.00,74%,5,20%,14,1.17,17,0.68,18,7,32,5.1%
14,BAL,4.22,3.97,54%,28,23%,25,1.21,11,0.62,21,2,24,3.8%
15,ATL,4.17,4.07,61%,21,22%,22,1.33,1,0.68,19,9,32,5.4%
16,JAX,4.11,3.80,39%,31,22%,21,1.01,28,0.62,20,25,51,7.9%
17,DEN,4.07,4.33,61%,23,23%,23,1.24,3,0.93,9,13,39,5.8%
18,HOU,4.06,3.79,65%,16,19%,9,1.02,25,0.48,29,17,36,6.3%
19,OAK,4.03,3.98,72%,7,18%,6,1.02,26,0.74,15,4,33,4.6%
20,TEN,3.98,3.66,37%,32,22%,20,0.95,31,0.58,25,32,54,9.6%
21,WAS,3.96,3.82,64%,18,22%,19,1.02,27,0.68,17,10,27,5.4%
22,DET,3.93,3.76,69%,12,24%,29,1.11,20,0.59,24,22,44,6.9%
23,BUF,3.92,4.68,71%,10,21%,17,1.28,2,1.18,2,27,42,8.4%
24,STL,3.88,4.24,64%,20,23%,28,1.03,24,1.17,3,1,18,3.5%
25,GB,3.88,4.00,61%,21,23%,27,1.11,19,0.72,16,23,47,7.4%
26,NYJ,3.87,4.06,60%,26,23%,26,1.14,18,0.90,10,3,22,4.1%
27,IND,3.78,3.52,60%,24,23%,24,0.99,29,0.48,28,16,37,6.1%
28,MIA,3.76,4.28,58%,27,24%,30,1.22,7,1.01,7,24,45,7.6%
29,CLE,3.62,3.75,65%,17,26%,31,0.98,30,0.78,14,26,53,8.1%
30,PHI,3.54,4.09,84%,1,21%,18,1.21,10,0.81,13,20,37,6.6%
31,SD,3.47,3.53,73%,6,20%,15,0.85,32,0.53,27,11,40,5.4%
32,SF,3.44,3.51,67%,14,26%,31,1.05,22,0.57,26,31,53,9.1%
,NFL,33,4.10,65%,33,21%,33,1.01,33,0.69,33,33,37,6.4%
