RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,LV,4.93,4.77,63%,23,15%,6,1.42,4,0.81,15,8,35,5.9%
2,GB,4.85,4.69,66%,18,14%,2,1.44,3,0.64,21,6,32,5.9%
3,KC,4.82,4.49,55%,31,16%,9,1.24,14,0.64,20,5,26,4.8%
4,SF,4.70,4.85,61%,26,18%,22,1.34,8,1.10,4,10,31,6.3%
5,ATL,4.68,4.86,66%,17,15%,5,1.38,6,0.87,13,27,37,8.7%
6,PHI,4.66,4.74,75%,7,16%,7,1.45,2,0.68,19,21,44,7.7%
7,DET,4.66,4.52,65%,20,18%,18,1.22,15,0.91,8,2,24,4.2%
8,MIA,4.61,4.48,56%,30,17%,14,1.31,10,0.77,16,11,35,6.3%
9,CAR,4.56,4.56,69%,14,16%,11,1.19,20,0.87,12,20,36,7.7%
10,PIT,4.54,4.05,79%,1,15%,4,1.14,24,0.43,29,12,38,6.3%
11,CHI,4.52,4.50,77%,3,14%,3,1.28,12,0.69,18,32,58,13.0%
12,NO,4.50,3.88,74%,9,16%,8,1.07,28,0.29,32,19,38,7.7%
13,BUF,4.42,4.87,77%,4,17%,16,1.36,7,1.13,3,7,33,5.9%
14,CLE,4.41,4.61,71%,13,21%,28,1.45,1,0.89,11,18,44,7.7%
15,LAR,4.39,4.09,73%,11,18%,20,1.15,22,0.53,26,31,59,10.6%
16,CIN,4.38,3.98,65%,20,16%,13,1.06,29,0.45,28,16,44,7.0%
17,DAL,4.37,4.42,77%,5,17%,17,1.22,16,0.93,7,4,27,4.7%
18,TEN,4.37,4.40,75%,7,17%,15,1.20,18,0.83,14,29,49,9.5%
19,NE,4.36,4.67,59%,27,19%,25,1.32,9,0.99,6,25,41,8.4%
20,DEN,4.35,4.13,69%,14,18%,19,1.15,23,0.58,25,30,63,10.0%
21,BAL,4.35,4.92,65%,19,18%,23,1.39,5,1.08,5,22,38,8.1%
22,IND,4.32,4.20,58%,29,16%,12,1.20,17,0.60,24,28,60,9.2%
23,WAS,4.29,3.87,73%,10,14%,1,0.98,31,0.38,30,23,48,8.2%
24,NYG,4.24,4.40,78%,2,18%,21,1.16,21,0.90,10,24,49,8.4%
25,MIN,4.24,4.19,54%,32,24%,31,1.25,13,0.75,17,14,47,6.6%
26,LAC,4.23,4.00,72%,12,20%,27,1.08,27,0.60,23,9,39,6.0%
27,ARI,4.22,4.13,76%,6,16%,10,1.10,26,0.48,27,15,46,7.0%
28,TB,4.07,3.56,61%,25,19%,24,0.96,32,0.33,31,1,22,3.4%
29,JAX,4.06,4.74,58%,28,24%,32,1.28,11,1.27,2,3,28,4.7%
30,SEA,4.04,4.78,63%,22,21%,29,1.19,19,1.38,1,26,46,8.6%
31,HOU,3.90,3.80,67%,16,19%,26,1.01,30,0.62,22,13,38,6.4%
32,NYJ,3.81,4.17,62%,24,22%,30,1.14,25,0.91,9,17,42,7.0%
,NFL,33,4.40,68%,33,17%,33,1.02,33,0.64,33,33,41,7.1%

