Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
IND,1,29.4%,3,1,30.0%,1,56.6%,6,9.2%,2,28.2%,1,56.0%,6,7.2%,14,6.9%,27,1.1%
SD,2,25.8%,6,2,25.8%,4,33.8%,1,27.5%,1,28.8%,3,35.9%,1,31.4%,16,7.0%,20,0.5%
PHI,3,21.2%,19,3,19.7%,3,36.4%,4,16.5%,3,20.7%,2,37.8%,4,13.3%,1,3.1%,31,2.8%
NE,4,14.7%,7,5,14.4%,5,30.3%,8,7.5%,5,13.4%,6,28.0%,7,7.1%,12,6.7%,14,-0.1%
CIN,5,14.4%,5,4,15.7%,2,38.0%,12,2.1%,6,12.2%,5,32.6%,10,3.7%,20,7.6%,1,-3.7%
DAL,6,12.1%,13,7,12.8%,7,25.8%,5,10.1%,4,15.3%,4,32.9%,5,9.5%,11,6.5%,29,2.2%
NYG,7,11.8%,9,10,10.5%,13,18.1%,2,16.8%,7,11.8%,11,19.4%,3,15.5%,9,6.2%,22,0.7%
NO,8,10.1%,25,8,12.0%,9,22.3%,9,6.2%,9,10.4%,8,25.6%,11,2.7%,22,8.3%,12,-0.5%
JAX,9,7.6%,11,6,13.3%,15,9.1%,3,16.6%,8,11.1%,15,12.6%,2,20.3%,29,11.1%,32,3.2%
PIT,10,7.4%,8,11,9.6%,6,26.2%,21,-5.3%,14,2.7%,12,18.9%,21,-7.2%,31,12.0%,4,-3.1%
KC,11,6.1%,4,9,11.6%,10,21.9%,15,0.4%,10,5.1%,13,18.5%,14,1.6%,17,7.1%,9,-1.4%
NYJ,12,5.4%,31,14,4.2%,11,21.5%,17,-2.1%,13,2.9%,14,16.9%,18,-2.4%,26,9.1%,3,-3.2%
WAS,13,3.6%,10,15,3.2%,14,17.2%,11,3.8%,11,4.1%,10,19.6%,12,2.6%,13,6.8%,11,-0.7%
STL,14,2.4%,20,12,5.3%,12,18.1%,14,1.4%,12,3.6%,9,20.4%,15,1.2%,27,10.1%,25,1.0%
BAL,15,1.0%,23,13,4.8%,8,25.8%,28,-11.2%,15,2.1%,7,26.6%,27,-9.5%,3,3.6%,23,0.8%
ATL,16,-1.0%,12,16,1.9%,26,-5.3%,7,8.2%,16,1.6%,19,3.2%,9,5.3%,25,8.9%,17,-0.1%
CAR,17,-2.1%,14,19,-2.9%,16,5.8%,18,-2.3%,17,-1.4%,17,8.4%,19,-4.1%,8,5.9%,19,0.1%
CHI,18,-4.6%,28,24,-7.8%,27,-5.4%,10,5.4%,19,-4.2%,26,-5.2%,8,6.1%,32,17.0%,24,0.9%
DEN,19,-4.8%,2,23,-7.3%,21,1.9%,19,-3.2%,18,-1.7%,18,4.6%,16,0.2%,30,11.7%,21,0.6%
GB,20,-5.0%,16,22,-7.2%,19,3.2%,20,-4.6%,23,-8.4%,21,0.6%,26,-9.1%,18,7.4%,7,-1.9%
HOU,21,-6.3%,27,20,-4.7%,24,-3.2%,16,-0.8%,20,-6.0%,27,-5.4%,13,2.5%,23,8.3%,16,-0.1%
BUF,22,-7.0%,29,21,-5.5%,17,5.7%,26,-8.7%,27,-9.8%,22,0.2%,24,-8.8%,10,6.5%,2,-3.2%
SF,23,-8.5%,32,26,-9.2%,28,-7.2%,13,1.7%,26,-9.7%,28,-6.5%,17,-1.5%,15,7.0%,15,-0.1%
TEN,24,-9.5%,21,18,-0.4%,23,-2.8%,25,-8.7%,22,-7.0%,23,-0.5%,20,-5.8%,21,7.9%,13,-0.2%
ARI,25,-9.7%,22,17,0.4%,18,5.0%,29,-14.6%,21,-6.6%,16,8.7%,28,-12.0%,28,10.8%,26,1.0%
MIA,26,-10.0%,18,25,-8.0%,25,-4.9%,23,-7.7%,24,-9.1%,25,-3.1%,22,-7.9%,2,3.4%,10,-0.7%
SEA,27,-11.7%,1,27,-13.3%,22,-1.9%,27,-10.2%,25,-9.4%,20,1.5%,25,-9.0%,5,4.0%,28,1.3%
DET,28,-13.7%,30,30,-16.5%,20,3.1%,32,-26.5%,29,-19.2%,24,-2.8%,32,-31.6%,19,7.5%,5,-2.8%
CLE,29,-16.3%,24,29,-16.2%,29,-11.2%,31,-17.2%,31,-20.8%,29,-14.9%,31,-23.1%,24,8.7%,8,-1.5%
TB,30,-16.4%,17,28,-14.9%,30,-13.8%,24,-8.5%,30,-19.9%,31,-17.0%,29,-12.5%,6,4.0%,6,-2.5%
MIN,31,-17.8%,26,31,-20.1%,31,-19.7%,22,-6.3%,28,-16.9%,30,-16.1%,23,-8.7%,7,4.8%,18,0.0%
OAK,32,-37.2%,15,32,-33.6%,32,-42.8%,30,-15.3%,32,-39.9%,32,-46.7%,30,-16.5%,4,3.9%,30,2.6%
