Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,26.7%,3,1,24.2%,1,43.9%,5,6.9%,1,23.9%,1,40.6%,8,4.9%,9,5.5%,2,-2.6%
GB,2,20.2%,1,2,22.5%,2,36.4%,8,3.5%,2,21.8%,2,39.2%,9,3.4%,17,7.7%,16,0.3%
KC,3,18.1%,2,3,17.4%,3,34.7%,10,0.8%,4,16.6%,6,32.9%,11,-0.2%,21,8.0%,19,0.4%
LAC,4,16.0%,15,6,16.0%,4,33.7%,14,-4.2%,5,15.8%,5,33.3%,13,-4.0%,13,7.0%,26,0.9%
SF,5,14.9%,20,4,16.8%,5,32.7%,4,7.0%,3,16.9%,3,35.5%,2,8.3%,8,5.5%,25,0.9%
DAL,6,13.6%,24,7,11.3%,6,32.0%,13,-4.0%,6,15.0%,4,33.7%,12,-3.0%,23,9.1%,23,0.7%
SEA,7,12.7%,6,9,10.4%,8,25.9%,6,6.2%,8,12.0%,12,25.5%,7,5.1%,15,7.3%,5,-2.1%
LAR,8,10.6%,10,14,2.9%,7,26.6%,12,-3.9%,9,11.5%,7,29.4%,15,-5.5%,11,6.2%,18,0.4%
NE,9,10.5%,23,5,16.5%,10,24.7%,7,4.9%,10,10.8%,13,24.2%,4,6.1%,27,10.7%,9,-1.5%
BUF,10,9.7%,5,8,11.3%,13,20.7%,9,2.8%,7,14.7%,10,27.2%,6,5.5%,31,12.7%,20,0.5%
PHI,11,8.1%,28,10,7.3%,14,18.0%,3,7.0%,11,8.9%,15,20.8%,5,5.7%,1,3.1%,22,0.6%
DEN,12,5.5%,30,11,5.4%,11,23.4%,16,-6.1%,12,8.0%,9,27.4%,14,-5.2%,10,5.9%,32,3.8%
IND,13,4.4%,12,13,3.3%,20,6.2%,2,10.4%,17,3.8%,18,8.7%,3,6.3%,20,8.0%,14,-0.4%
CLE,14,4.2%,9,15,-1.0%,19,6.8%,1,11.5%,16,5.0%,21,6.2%,1,14.0%,19,7.7%,30,1.9%
ARI,15,3.2%,19,17,-3.3%,9,24.8%,22,-11.8%,13,6.6%,11,26.0%,16,-5.5%,18,7.7%,11,-1.2%
MIN,16,2.6%,8,16,-1.6%,12,23.4%,27,-17.4%,15,5.3%,8,27.9%,28,-16.9%,2,4.0%,17,0.3%
BAL,17,1.7%,11,18,-3.7%,16,12.5%,11,-1.5%,18,2.7%,17,11.6%,10,2.0%,7,5.5%,21,0.6%
CIN,18,1.3%,29,12,4.5%,15,16.5%,20,-10.7%,14,5.7%,14,23.1%,20,-9.0%,24,10.0%,31,3.4%
LV,19,-3.4%,14,20,-4.3%,17,12.2%,25,-15.8%,19,-1.3%,16,12.4%,21,-10.7%,12,6.8%,28,1.4%
TEN,20,-4.2%,4,21,-5.4%,21,5.8%,17,-6.5%,20,-4.4%,20,6.6%,19,-7.6%,22,8.5%,6,-1.8%
WAS,21,-5.3%,32,23,-9.6%,22,5.4%,19,-10.2%,21,-4.8%,23,2.6%,17,-5.8%,3,4.4%,10,-1.2%
NYJ,22,-8.3%,31,19,-4.1%,27,-5.8%,15,-4.6%,24,-10.8%,29,-8.5%,18,-6.8%,16,7.4%,1,-3.3%
NO,23,-10.6%,7,28,-17.9%,18,7.0%,28,-18.4%,22,-8.9%,19,8.7%,26,-16.7%,30,12.1%,15,-0.1%
MIA,24,-10.8%,18,22,-8.4%,23,4.8%,29,-23.1%,25,-11.8%,22,6.0%,31,-27.5%,4,4.6%,12,-1.1%
PIT,25,-11.0%,22,26,-15.5%,24,-0.3%,24,-14.2%,23,-10.1%,24,0.6%,24,-13.3%,5,5.4%,29,1.7%
CHI,26,-13.6%,25,24,-12.3%,26,-5.3%,23,-13.5%,26,-12.6%,25,-3.9%,23,-12.9%,14,7.0%,27,1.1%
JAX,27,-15.1%,27,27,-17.6%,30,-10.3%,18,-8.9%,27,-16.8%,30,-10.8%,22,-12.6%,25,10.0%,7,-1.8%
ATL,28,-17.1%,21,25,-14.2%,25,-3.5%,31,-25.5%,29,-18.9%,26,-6.8%,30,-25.2%,26,10.5%,3,-2.5%
DET,29,-17.7%,16,29,-19.7%,28,-7.2%,26,-17.3%,28,-17.7%,27,-7.5%,27,-16.9%,6,5.5%,24,0.8%
HOU,30,-22.0%,13,30,-20.2%,29,-8.6%,32,-33.2%,30,-21.6%,28,-8.0%,32,-33.2%,32,15.8%,8,-1.7%
CAR,31,-22.8%,17,31,-30.2%,32,-24.2%,21,-11.5%,31,-25.2%,32,-26.0%,25,-14.7%,28,11.1%,4,-2.3%
NYG,32,-28.1%,26,32,-41.7%,31,-22.7%,30,-24.6%,32,-28.0%,31,-23.1%,29,-23.6%,29,11.9%,13,-0.9%

