RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,DEN,5.10,5.16,65%,16,11%,1,1.46,2,0.95,6,25,45,8.0%
2,MIN,4.69,5.08,74%,8,14%,2,1.32,7,1.28,1,27,49,8.4%
3,OAK,4.65,4.76,72%,10,18%,8,1.41,3,0.95,5,15,36,6.2%
4,WAS,4.52,4.29,64%,19,19%,14,1.32,9,0.62,24,18,38,6.7%
5,KC,4.48,4.77,76%,5,19%,13,1.54,1,0.86,11,10,26,5.7%
6,MIA,4.46,4.77,69%,14,17%,7,1.39,4,1.02,2,14,27,6.2%
7,JAX,4.45,4.54,70%,12,20%,21,1.31,10,0.90,9,30,42,9.1%
8,SF,4.44,4.49,84%,2,19%,15,1.32,8,0.77,14,4,23,4.4%
9,BUF,4.43,4.35,70%,12,19%,16,1.38,6,0.62,22,29,54,8.7%
10,CIN,4.36,4.13,86%,1,17%,4,1.16,16,0.62,23,9,36,5.5%
11,GB,4.32,4.29,67%,15,18%,10,1.22,14,0.74,16,8,27,5.2%
12,PHI,4.31,4.18,76%,7,20%,19,1.25,13,0.61,25,21,37,6.9%
13,NE,4.28,4.03,76%,6,16%,3,1.11,18,0.50,27,7,31,5.1%
14,BAL,4.28,4.24,79%,4,17%,6,1.12,17,0.77,15,23,41,7.4%
15,ATL,4.20,3.92,65%,18,18%,12,1.06,25,0.65,21,26,38,8.0%
16,TEN,4.18,3.55,73%,9,20%,18,0.94,30,0.33,30,3,21,4.4%
17,NYG,4.08,4.22,48%,31,22%,27,1.09,21,1.00,4,5,25,4.4%
18,SD,4.07,4.51,56%,28,20%,17,1.29,11,1.01,3,6,24,4.9%
19,ARI,4.06,4.17,60%,23,17%,5,1.08,24,0.86,10,20,40,6.9%
20,SEA,4.02,4.02,65%,17,20%,20,1.05,28,0.77,13,12,33,6.0%
21,NYJ,4.02,4.08,52%,30,20%,22,1.18,15,0.68,19,16,32,6.5%
22,PIT,4.00,3.81,64%,20,18%,11,1.06,26,0.60,26,13,35,6.2%
23,CLE,3.97,3.91,62%,22,21%,25,1.08,22,0.68,17,11,34,5.9%
24,TB,3.95,3.81,58%,25,20%,23,1.08,23,0.66,20,17,41,6.6%
25,CHI,3.93,3.42,71%,11,18%,9,0.86,32,0.31,32,22,43,7.0%
26,NO,3.93,4.18,82%,3,21%,26,1.11,20,0.94,8,19,40,6.8%
27,STL,3.90,4.15,60%,24,25%,31,1.26,12,0.82,12,24,45,7.5%
28,IND,3.86,3.50,57%,26,24%,29,1.01,29,0.43,29,2,22,3.6%
29,CAR,3.82,3.58,62%,21,21%,24,1.06,27,0.48,28,28,44,8.6%
30,DAL,3.79,4.05,56%,27,24%,30,1.39,5,0.68,18,31,55,10.1%
31,DET,3.78,4.05,44%,32,24%,28,1.11,19,0.94,7,1,20,3.5%
32,HOU,3.08,2.98,54%,29,30%,32,0.90,31,0.32,31,32,77,15.1%
,NFL,33,4.16,66%,33,20%,33,1.05,33,0.65,33,33,37,6.7%
