year,policy,trials,unique_rosters,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,bench_forecast_spend,top3_spend_share,current_construction_delta,accepted_swaps,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,predicted_expected_top2_surplus,next_validation_bench_matches,next_projection_proxy_bench_count,actual_best_keeper_surplus,actual_top2_keeper_surplus,actual_any_keeper_hit,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg,actual_future_ppg_ge12_count,actual_future_ppg_ge15_count,observed_cost_coverage,observed_best_keeper_surplus
2022,best1_lex0,250,250,1603.1968046875,1439.436490234375,1767.3039272460937,1450.2542333984375,361.36431970214846,26.33937238693237,0.6011389825344086,6.48218408203125,1.656,55.321992070336094,0.873768,0.808512,0.7460800000000001,83.00651528960591,4.48,0.52,59.31762184194369,84.26031147849707,0.944,0.932,0.892,13.470159481048585,1.424,0.32,0.8623999999999999,36.5093326454605
2022,best1_lex2,250,250,1603.2633979492186,1439.3848442382812,1767.3985361328125,1449.0434331054687,360.99432043457034,26.426401603698732,0.6009754099845886,5.126947265625,1.716,55.96791548697544,0.87682,0.813264,0.75178,84.13278317968832,4.46,0.54,59.37967791274425,84.32925425067708,0.944,0.932,0.892,13.485777490615845,1.452,0.324,0.8623999999999999,35.95714209557897
2022,control,250,250,1598.4718881835938,1435.2793383789062,1762.9896015625,1441.7966357421874,358.09272033691406,27.23201658630371,0.5994074213504791,0.0,0.0,46.27771906056406,0.820896,0.738348,0.663264,66.67239541217505,4.3,0.7,41.36884842696455,53.667505204115145,0.88,0.804,0.728,12.375407958984376,0.84,0.124,0.8104,26.589028668643532
2023,best1_lex0,250,250,1526.227994140625,1381.73494140625,1670.9017358398437,1734.5679165039062,494.68159912109377,29.323773441314696,0.6164199800491333,7.216078125,1.856,47.82064092182287,0.84688,0.7796040000000001,0.725072,70.18768917375445,4.476,0.524,62.37205119099941,79.68205927196549,0.892,0.848,0.832,14.062028913497924,0.896,0.604,0.7784,64.71735762607899
2023,best1_lex2,250,250,1526.701619140625,1382.436130859375,1671.150353515625,1734.5339189453125,493.6671994628906,29.394648998260497,0.6162640410661697,6.113431640625,1.908,48.330932703012024,0.8493919999999999,0.78326,0.730036,71.0890164205561,4.54,0.46,64.79888250180176,82.99852130898175,0.904,0.856,0.84,14.296021278381348,0.952,0.648,0.7808,67.72736469842594
2023,control,250,250,1525.322041015625,1382.4457690429688,1668.3372827148437,1729.653521484375,491.7791993408203,31.20080249404907,0.6126114785671234,0.0,0.0,38.11894704566394,0.7979400000000001,0.702688,0.636408,53.48728597420006,4.528,0.472,49.91363826298109,64.17940819017662,0.892,0.844,0.796,13.142234239578247,0.672,0.416,0.8224,50.91157632376275
2024,best1_lex0,250,250,1653.3502172851563,1499.3851318359375,1808.6701728515625,1567.6274506835937,428.3624006347656,34.74007853317261,0.5664711295366287,5.479302734375,1.84,45.87086094954933,0.82286,0.758488,0.691236,67.82743837826615,4.82,0.18,47.23537731103946,59.90153637675441,0.948,0.76,0.748,13.520040435791016,0.948,0.144,0.9296,45.6727561427677
2024,best1_lex2,250,250,1653.5745693359374,1499.8899565429688,1809.4809096679687,1565.8110483398436,428.34,34.3657890586853,0.5671710158586503,4.04715673828125,1.88,46.372504617791115,0.825992,0.7628039999999999,0.695612,68.6901135562887,4.808,0.192,47.62447806363408,60.249259872642206,0.96,0.764,0.752,13.521196765899658,0.944,0.144,0.9312,45.92440032082788
2024,control,250,250,1656.0732255859375,1502.3669638671875,1810.31960546875,1587.1290458984374,428.5776015625,39.856645809173585,0.5566672067642212,0.0,0.0,35.27872950472492,0.762064,0.6827920000000001,0.60248,49.94100587027463,4.78,0.22,40.83785762745782,50.977417683294746,0.796,0.76,0.712,13.543235872268676,0.988,0.184,0.9424,39.047277089001945
2025,best1_lex0,250,250,1664.4637568359376,1513.1398911132812,1815.981759765625,1584.2081606445313,364.34903625488283,40.52067993927002,0.5780884555578232,8.3827080078125,1.824,34.69991036179933,0.810852,0.708584,0.635448,49.45924088979339,2.968,2.032,,,,,,,,,,
2025,best1_lex2,250,250,1664.1495209960938,1512.9458271484375,1815.16275,1584.5469584960938,364.50063610839845,40.02185410308838,0.5787424360513687,7.07145654296875,1.86,34.93657321474323,0.8124560000000001,0.7109800000000001,0.6376000000000001,49.83413892197181,2.964,2.036,,,,,,,,,,
2025,control,250,250,1662.9717568359374,1511.3797690429687,1815.8123442382812,1587.9461596679687,369.84743688964846,45.468028656005856,0.5677281775474549,0.0,0.0,27.531686310118953,0.758528,0.632636,0.556432,38.30101210546011,3.052,1.948,,,,,,,,,,
