year,policy,player,bench_rosters_candidate,predicted_best_rosters_candidate,realized_hit_rosters_candidate,bench_rosters_control,predicted_best_rosters_control,realized_hit_rosters_control,bench_rosters_effect,predicted_best_rosters_effect,realized_hit_rosters_effect
2022,best1_lex0,Rachaad White,80.0,2.0,80.0,31.0,5.0,31.0,49,-3,49
2022,best1_lex0,Dameon Pierce,62.0,62.0,0.0,14.0,14.0,0.0,48,48,0
2022,best1_lex0,Michael Carter,115.0,43.0,0.0,69.0,51.0,0.0,46,-8,0
2022,best1_lex0,Kenneth Walker,152.0,34.0,152.0,108.0,63.0,108.0,44,-29,44
2022,best1_lex0,Elijah Moore,51.0,42.0,0.0,22.0,19.0,0.0,29,23,0
2022,best1_lex0,Brian Robinson,28.0,0.0,28.0,1.0,0.0,1.0,27,0,27
2022,best1_lex0,Rhamondre Stevenson,55.0,11.0,49.0,32.0,10.0,27.0,23,1,22
2022,best1_lex0,Brandon Aiyuk,41.0,17.0,41.0,22.0,12.0,22.0,19,5,19
2022,best1_lex0,George Pickens,18.0,2.0,18.0,,,,18,2,18
2022,best1_lex0,Devonta Smith,34.0,14.0,34.0,23.0,13.0,23.0,11,1,11
2022,best1_lex0,Kenneth Gainwell,54.0,1.0,0.0,46.0,0.0,0.0,8,1,0
2022,best1_lex0,Aj Dillon,27.0,0.0,0.0,21.0,6.0,0.0,6,-6,0
2022,best1_lex0,Skyy Moore,5.0,0.0,0.0,,,,5,0,0
2022,best1_lex0,Treylon Burks,39.0,9.0,0.0,34.0,16.0,0.0,5,-7,0
2022,best1_lex0,Allen Lazard,9.0,0.0,0.0,6.0,0.0,0.0,3,0,0
2022,best1_lex0,Tyler Allgeier,3.0,0.0,0.0,,,,3,0,0
2022,best1_lex0,Cordarrelle Patterson,5.0,4.0,0.0,3.0,3.0,0.0,2,1,0
2022,best1_lex0,Jalen Tolbert,2.0,0.0,0.0,,,,2,0,0
2022,best1_lex0,Chris Olave,5.0,0.0,5.0,4.0,1.0,4.0,1,-1,1
2022,best1_lex0,Clyde Edwards Helaire,1.0,1.0,0.0,,,,1,1,0
2022,best1_lex0,Mecole Hardman,7.0,0.0,0.0,6.0,2.0,0.0,1,-2,0
2022,best1_lex0,Albert Okwuegbunam,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Benny Snell,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Chris Evans,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0
2022,best1_lex0,Dontrell Hilliard,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Drake London,12.0,4.0,0.0,12.0,5.0,0.0,0,-1,0
2022,best1_lex0,Gabriel Davis,1.0,0.0,0.0,1.0,1.0,0.0,0,-1,0
2022,best1_lex0,Garrett Wilson,18.0,0.0,18.0,18.0,2.0,18.0,0,-2,0
2022,best1_lex0,George Kittle,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0
2022,best1_lex0,Gerald Everett,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Jamaal Williams,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Jamison Crowder,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Kadarius Toney,9.0,0.0,0.0,9.0,2.0,0.0,0,-2,0
2022,best1_lex0,Kenyan Drake,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0
2022,best1_lex0,Kj Osborn,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0
2022,best1_lex0,Rashaad Penny,34.0,0.0,0.0,34.0,3.0,0.0,0,-3,0
2022,best1_lex0,Tyler Higbee,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex0,Christian Kirk,12.0,0.0,11.0,13.0,1.0,12.0,-1,-1,-1
2022,best1_lex0,Chuba Hubbard,2.0,0.0,0.0,3.0,0.0,0.0,-1,0,0
2022,best1_lex0,Darren Waller,2.0,0.0,0.0,3.0,0.0,0.0,-1,0,0
2022,best1_lex0,Evan Engram,3.0,0.0,3.0,4.0,0.0,4.0,-1,0,-1
2022,best1_lex0,Joshua Palmer,1.0,0.0,0.0,2.0,0.0,0.0,-1,0,0
2022,best1_lex0,Myles Gaskin,5.0,0.0,0.0,6.0,0.0,0.0,-1,0,0
2022,best1_lex0,Nyheim Hines,5.0,0.0,0.0,6.0,0.0,0.0,-1,0,0
2022,best1_lex0,Rashod Bateman,7.0,4.0,0.0,8.0,4.0,0.0,-1,0,0
2022,best1_lex0,Ronald Jones,3.0,0.0,0.0,4.0,0.0,0.0,-1,0,0
2022,best1_lex0,Amari Cooper,1.0,0.0,1.0,3.0,0.0,3.0,-2,0,-2
2022,best1_lex0,Damien Harris,10.0,0.0,0.0,12.0,0.0,0.0,-2,0,0
2022,best1_lex0,Marquez Valdes Scantling,2.0,0.0,0.0,4.0,0.0,0.0,-2,0,0
2022,best1_lex0,Tim Patrick,4.0,0.0,0.0,6.0,0.0,0.0,-2,0,0
2022,best1_lex0,Tyler Boyd,2.0,0.0,0.0,4.0,0.0,0.0,-2,0,0
2022,best1_lex0,Tyler Lockett,1.0,0.0,0.0,3.0,0.0,0.0,-2,0,0
2022,best1_lex0,Calvin Ridley,6.0,0.0,6.0,9.0,1.0,9.0,-3,-1,-3
2022,best1_lex0,Chase Claypool,12.0,0.0,0.0,15.0,4.0,0.0,-3,-4,0
2022,best1_lex0,Devin Singletary,3.0,0.0,0.0,6.0,0.0,0.0,-3,0,0
2022,best1_lex0,Hunter Henry,3.0,0.0,0.0,6.0,0.0,0.0,-3,0,0
2022,best1_lex0,Jakobi Meyers,2.0,0.0,2.0,5.0,0.0,5.0,-3,0,-3
2022,best1_lex0,James Cook,15.0,0.0,15.0,18.0,1.0,18.0,-3,-1,-3
2022,best1_lex0,James Robinson,42.0,0.0,0.0,45.0,2.0,0.0,-3,-2,0
2022,best1_lex0,Jarvis Landry,1.0,0.0,0.0,4.0,0.0,0.0,-3,0,0
2022,best1_lex0,Tj Hockenson,1.0,0.0,1.0,4.0,0.0,4.0,-3,0,-3
2022,best1_lex0,Adam Thielen,2.0,0.0,2.0,6.0,1.0,6.0,-4,-1,-4
2022,best1_lex0,Dernest Johnson,1.0,0.0,0.0,5.0,0.0,0.0,-4,0,0
2022,best1_lex0,Hunter Renfrow,7.0,0.0,0.0,11.0,2.0,0.0,-4,-2,0
2022,best1_lex0,Kareem Hunt,1.0,0.0,0.0,5.0,0.0,0.0,-4,0,0
2022,best1_lex0,Trey Sermon,5.0,0.0,0.0,9.0,0.0,0.0,-4,0,0
2022,best1_lex0,Dawson Knox,3.0,0.0,0.0,8.0,0.0,0.0,-5,0,0
2022,best1_lex0,Mark Ingram,5.0,0.0,0.0,10.0,0.0,0.0,-5,0,0
2022,best1_lex0,Michael Gallup,7.0,0.0,0.0,12.0,0.0,0.0,-5,0,0
2022,best1_lex0,Robert Woods,10.0,0.0,0.0,15.0,1.0,0.0,-5,-1,0
2022,best1_lex0,Darrell Henderson,25.0,0.0,14.0,31.0,0.0,20.0,-6,0,-6
2022,best1_lex0,Marvin Jones,2.0,0.0,0.0,8.0,0.0,0.0,-6,0,0
2022,best1_lex0,Rondale Moore,2.0,0.0,0.0,9.0,0.0,0.0,-7,0,0
2022,best1_lex0,Corey Davis,2.0,0.0,0.0,10.0,0.0,0.0,-8,0,0
2022,best1_lex0,Dallas Goedert,2.0,0.0,0.0,10.0,0.0,0.0,-8,0,0
2022,best1_lex0,Dj Chark,1.0,0.0,0.0,9.0,0.0,0.0,-8,0,0
2022,best1_lex0,Melvin Gordon,16.0,0.0,0.0,24.0,2.0,0.0,-8,-2,0
