year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2022,best1_lex2,George Pickens,15,1,15
2022,best1_lex2,Gerald Everett,1,0,0
2022,best1_lex2,Hunter Henry,2,0,0
2022,best1_lex2,Hunter Renfrow,6,0,0
2022,best1_lex2,Jakobi Meyers,3,0,3
2022,best1_lex2,James Cook,17,0,17
2022,best1_lex2,James Robinson,41,0,0
2022,best1_lex2,Jameson Williams,1,0,0
2022,best1_lex2,Jamison Crowder,1,0,0
2022,best1_lex2,Jarvis Landry,1,0,0
2022,best1_lex2,Joshua Palmer,1,0,0
2022,best1_lex2,Kadarius Toney,7,0,0
2022,best1_lex2,Kenneth Gainwell,48,1,0
2022,best1_lex2,Kenneth Walker,153,31,153
2022,best1_lex2,Kenny Golladay,5,0,0
2022,best1_lex2,Kenyan Drake,3,0,0
2022,best1_lex2,Khalil Herbert,11,0,0
2022,best1_lex2,Kj Osborn,2,0,0
2022,best1_lex2,Mark Ingram,4,0,0
2022,best1_lex2,Marquez Valdes Scantling,3,0,0
2022,best1_lex2,Marvin Jones,2,0,0
2022,best1_lex2,Mecole Hardman,7,0,0
2022,best1_lex2,Melvin Gordon,20,0,0
2022,best1_lex2,Michael Carter,119,44,0
2022,best1_lex2,Michael Gallup,6,0,0
2022,best1_lex2,Mike Gesicki,6,0,0
2022,best1_lex2,Myles Gaskin,5,0,0
2022,best1_lex2,Noah Fant,7,0,0
2022,best1_lex2,Nyheim Hines,4,0,0
2022,best1_lex2,Pat Freiermuth,9,0,0
2022,best1_lex2,Rachaad White,81,2,81
2022,best1_lex2,Rashaad Penny,37,0,0
2022,best1_lex2,Rashod Bateman,7,3,0
2022,best1_lex2,Rhamondre Stevenson,55,11,49
2022,best1_lex2,Robert Woods,10,0,0
2022,best1_lex2,Ronald Jones,3,0,0
2022,best1_lex2,Rondale Moore,2,0,0
2022,best1_lex2,Russell Gage,6,0,0
2022,best1_lex2,Skyy Moore,6,0,0
2022,best1_lex2,Tim Patrick,4,0,0
2022,best1_lex2,Tj Hockenson,1,0,1
2022,best1_lex2,Tony Pollard,14,0,14
2022,best1_lex2,Trey Sermon,4,0,0
2022,best1_lex2,Treylon Burks,34,8,0
2022,best1_lex2,Tyler Allgeier,2,0,0
2022,best1_lex2,Tyler Boyd,2,0,0
2022,best1_lex2,Tyler Higbee,1,0,0
2022,best1_lex2,Tyler Lockett,1,0,0
2022,best1_lex2,Zach Ertz,10,0,0
2022,best1_lex2,Zamir White,1,0,0
2022,control,Abram Smith,27,0,0
2022,control,Adam Thielen,6,1,6
2022,control,Aj Dillon,21,6,0
2022,control,Albert Okwuegbunam,1,0,0
2022,control,Alexander Mattison,28,0,0
2022,control,Allen Lazard,6,0,0
2022,control,Amari Cooper,3,0,3
2022,control,Austin Hooper,1,0,0
2022,control,Benny Snell,1,0,0
2022,control,Brandon Aiyuk,22,12,22
2022,control,Brian Robinson,1,0,1
2022,control,Calvin Ridley,9,1,9
2022,control,Chase Claypool,15,4,0
2022,control,Chase Edmonds,23,0,0
2022,control,Chris Evans,3,0,0
2022,control,Chris Olave,4,1,4
2022,control,Christian Kirk,13,1,12
2022,control,Chuba Hubbard,3,0,0
2022,control,Cole Kmet,22,0,22
2022,control,Cordarrelle Patterson,3,3,0
2022,control,Corey Davis,10,0,0
2022,control,Dallas Goedert,10,0,0
2022,control,Dalton Schultz,1,0,0
