factor,default_value,candidate_value,year,trial,roster_jaccard,roster_slots_changed,roster_changed,top_n_binding,both_actual_cap_feasible,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,absolute_forecast_error_effect,hindsight_heuristic_gap_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect
salary_draws_1_minus_5,5,1,2022,0,0.5294117647058824,4,True,False,False,142.8199462890625,49.3199462890625,0,78.0,78.0,-69.902099609375,,-10,
salary_draws_1_minus_5,5,1,2022,0,0.4444444444444444,5,True,False,False,77.9200439453125,-23.56005859375,-1,96.0,109.0,-45.6002197265625,,-2,
salary_draws_1_minus_5,5,1,2022,0,0.3,7,True,False,False,125.39990234375,138.66015625,-1,101.0,154.0,-48.5157470703125,,-13,
salary_draws_1_minus_5,5,1,2022,0,0.3684210526315789,6,True,False,False,71.9000244140625,83.16015625,-1,101.0,104.0,-40.737060546875,,-10,
salary_draws_1_minus_5,5,1,2022,0,0.5294117647058824,4,True,False,False,142.8199462890625,49.3199462890625,0,78.0,78.0,-69.902099609375,,-10,
salary_draws_1_minus_5,5,1,2022,0,0.5294117647058824,4,True,False,False,142.8199462890625,49.3199462890625,0,78.0,78.0,-69.902099609375,,-10,
salary_draws_1_minus_5,5,1,2022,0,0.3,7,True,False,False,125.39990234375,138.66015625,-1,101.0,154.0,-48.5157470703125,,-13,
salary_draws_1_minus_5,5,1,2022,0,0.3684210526315789,6,True,False,False,74.10009765625,80.360107421875,-1,101.0,134.0,-9.5921630859375,,-5,
salary_draws_1_minus_5,5,1,2022,1,0.4444444444444444,5,True,False,False,-119.4998779296875,-106.0001220703125,0,9.0,9.0,125.959716796875,,6,
salary_draws_1_minus_5,5,1,2022,1,0.5294117647058824,4,True,False,False,42.2999267578125,-21.900146484375,0,44.0,44.0,-39.2547607421875,,0,
salary_draws_1_minus_5,5,1,2022,1,0.4444444444444444,5,True,False,False,21.7999267578125,-34.5999755859375,0,53.0,53.0,11.155029296875,,-5,
salary_draws_1_minus_5,5,1,2022,1,0.5294117647058824,4,True,False,False,-7.0001220703125,-64.89990234375,0,-4.0,-4.0,5.1063232421875,,-9,
salary_draws_1_minus_5,5,1,2022,1,0.4444444444444444,5,True,False,False,-119.4998779296875,-106.0001220703125,0,9.0,9.0,125.959716796875,,6,
salary_draws_1_minus_5,5,1,2022,1,0.5294117647058824,4,True,False,False,42.2999267578125,-21.900146484375,0,44.0,44.0,-39.2547607421875,,0,
salary_draws_1_minus_5,5,1,2022,1,0.4444444444444444,5,True,False,False,21.7999267578125,-34.5999755859375,0,53.0,53.0,11.155029296875,,-5,
salary_draws_1_minus_5,5,1,2022,1,0.5294117647058824,4,True,False,False,-7.0001220703125,-64.89990234375,0,-4.0,-4.0,5.1063232421875,,-9,
salary_draws_1_minus_5,5,1,2022,2,0.3684210526315789,6,True,False,False,304.9000244140625,100.97998046875,0,33.0,33.0,-289.1044921875,,-14,
salary_draws_1_minus_5,5,1,2022,2,0.3684210526315789,6,True,False,False,308.800048828125,259.5999755859375,0,-8.0,-8.0,-285.1904296875,,-2,
salary_draws_1_minus_5,5,1,2022,2,0.4444444444444444,5,True,False,False,152.7999267578125,172.0999755859375,0,73.0,73.0,-98.525390625,,-18,
salary_draws_1_minus_5,5,1,2022,2,0.4444444444444444,5,True,False,False,122.300048828125,97.699951171875,0,52.0,52.0,-85.2362060546875,,-9,
salary_draws_1_minus_5,5,1,2022,2,0.3684210526315789,6,True,False,False,304.9000244140625,100.97998046875,0,33.0,33.0,-289.1044921875,,-14,
salary_draws_1_minus_5,5,1,2022,2,0.3684210526315789,6,True,False,False,308.800048828125,259.5999755859375,0,-8.0,-8.0,-285.1904296875,,-2,
salary_draws_1_minus_5,5,1,2022,2,0.4444444444444444,5,True,False,False,152.7999267578125,172.0999755859375,0,73.0,73.0,-98.525390625,,-18,
