factor,default_value,candidate_value,year,trial,roster_jaccard,roster_slots_changed,roster_changed,top_n_binding,both_actual_cap_feasible,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,absolute_forecast_error_effect,hindsight_heuristic_gap_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect
salary_draws_1_minus_5,5,1,2022,0,0.5294117647058824,4,True,False,False,142.8199462890625,49.3199462890625,0,78.0,78.0,-69.902099609375,,-10,
salary_draws_1_minus_5,5,1,2022,1,0.5294117647058824,4,True,False,False,42.2999267578125,-21.900146484375,0,44.0,44.0,-39.2547607421875,,0,
salary_draws_1_minus_5,5,1,2022,2,0.3684210526315789,6,True,False,False,308.800048828125,259.5999755859375,0,-8.0,-8.0,-285.1904296875,,-2,
salary_draws_1_minus_5,5,1,2022,3,0.625,3,True,False,False,56.39990234375,93.5999755859375,0,20.0,20.0,-39.4229736328125,,5,
salary_draws_1_minus_5,5,1,2022,4,0.3684210526315789,6,True,False,False,280.280029296875,382.2598876953125,-1,126.0,129.0,127.6307373046875,,-10,
salary_draws_1_minus_5,5,1,2022,5,0.625,3,True,False,False,-1.360107421875,60.0999755859375,0,48.0,48.0,65.301513671875,,-11,
salary_draws_1_minus_5,5,1,2022,6,0.7333333333333333,2,True,False,False,147.2999267578125,85.0,0,27.0,27.0,-111.110107421875,,-3,
salary_draws_1_minus_5,5,1,2022,7,0.3684210526315789,6,True,False,False,252.139892578125,184.179931640625,0,14.0,14.0,-171.507568359375,,-21,
salary_draws_1_minus_5,5,1,2022,8,0.5294117647058824,4,True,False,False,226.89990234375,210.739990234375,0,69.0,69.0,-136.6102294921875,,-22,
salary_draws_1_minus_5,5,1,2022,9,0.3684210526315789,6,True,False,False,267.60009765625,267.699951171875,0,78.0,78.0,-213.1724853515625,,-20,
salary_draws_1_minus_5,5,1,2022,10,0.3684210526315789,6,True,False,False,340.10009765625,354.60009765625,0,47.0,47.0,-269.1876220703125,,-11,
salary_draws_1_minus_5,5,1,2022,11,0.5294117647058824,4,True,False,False,240.5,200.699951171875,0,86.0,86.0,-178.8494873046875,,-18,
salary_draws_1_minus_5,5,1,2022,12,0.625,3,True,False,False,176.0400390625,80.739990234375,0,46.0,46.0,-94.319091796875,,-21,
salary_draws_1_minus_5,5,1,2022,13,0.5294117647058824,4,True,False,False,91.89990234375,85.300048828125,0,101.0,101.0,-24.6011962890625,,-8,
salary_draws_1_minus_5,5,1,2022,14,0.4444444444444444,5,True,False,False,117.6400146484375,33.3599853515625,0,41.0,41.0,-93.7362060546875,,-28,
salary_draws_1_minus_5,5,1,2022,15,0.4444444444444444,5,True,False,False,284.320068359375,228.56005859375,0,56.0,56.0,-243.783935546875,,-18,
salary_draws_1_minus_5,5,1,2022,16,0.3,7,True,False,False,-12.5400390625,-29.659912109375,-1,43.0,70.0,64.3990478515625,,11,
salary_draws_1_minus_5,5,1,2022,17,0.4444444444444444,5,True,False,False,-98.60009765625,-115.60009765625,0,64.0,64.0,134.74169921875,,1,
salary_draws_1_minus_5,5,1,2022,18,0.3684210526315789,6,True,False,False,-43.47998046875,-159.4599609375,0,38.0,38.0,57.18408203125,,-3,
salary_draws_1_minus_5,5,1,2022,19,0.4444444444444444,5,True,False,False,320.400146484375,347.900146484375,0,35.0,35.0,17.17236328125,,-23,
salary_draws_1_minus_5,5,1,2022,20,0.625,3,True,False,False,32.300048828125,39.4998779296875,0,26.0,26.0,0.526123046875,,3,
salary_draws_1_minus_5,5,1,2022,21,0.625,3,True,False,False,-20.0,-4.699951171875,0,40.0,40.0,47.477783203125,,7,
salary_draws_1_minus_5,5,1,2022,22,0.625,3,True,False,False,4.0,14.800048828125,0,47.0,47.0,4.8033447265625,,-7,
salary_draws_1_minus_5,5,1,2022,23,0.625,3,True,False,False,244.800048828125,233.699951171875,0,81.0,81.0,-183.3814697265625,,-22,
salary_draws_1_minus_5,5,1,2022,24,0.625,3,True,False,False,206.10009765625,238.699951171875,0,53.0,53.0,-148.74658203125,,-10,
salary_draws_1_minus_5,5,1,2022,25,0.625,3,True,False,False,5.0001220703125,-91.4000244140625,0,40.0,40.0,32.505615234375,,-2,
salary_draws_1_minus_5,5,1,2022,26,0.3684210526315789,6,True,False,False,195.9200439453125,153.739990234375,-1,59.0,94.0,2.3614501953125,,-28,
salary_draws_1_minus_5,5,1,2022,27,0.5294117647058824,4,True,False,False,27.099853515625,18.10009765625,0,90.0,90.0,35.9573974609375,,-6,
salary_draws_1_minus_5,5,1,2022,28,0.5294117647058824,4,True,False,False,-148.199951171875,-175.7000732421875,0,97.0,97.0,135.637939453125,,-4,
salary_draws_1_minus_5,5,1,2022,29,0.3,7,True,False,False,283.199951171875,410.9599609375,0,81.0,81.0,-129.5308837890625,,-28,
salary_draws_1_minus_5,5,1,2022,30,0.4444444444444444,5,True,False,False,-107.9200439453125,-124.840087890625,0,58.0,58.0,123.9173583984375,,3,
salary_draws_1_minus_5,5,1,2022,31,0.4444444444444444,5,True,False,False,51.1201171875,8.4400634765625,0,46.0,46.0,-16.5548095703125,,1,
salary_draws_1_minus_5,5,1,2022,32,0.4444444444444444,5,True,False,False,345.02001953125,471.8199462890625,0,125.0,125.0,-88.2347412109375,,-40,
salary_draws_1_minus_5,5,1,2022,33,0.5294117647058824,4,True,False,False,90.199951171875,123.7000732421875,0,86.0,86.0,-68.347412109375,,6,
salary_draws_1_minus_5,5,1,2022,34,0.625,3,True,False,False,67.199951171875,66.4000244140625,0,26.0,26.0,-20.0689697265625,,-3,
salary_draws_1_minus_5,5,1,2022,35,0.5294117647058824,4,True,False,False,127.099853515625,83.199951171875,0,89.0,89.0,61.065185546875,,-8,
salary_draws_1_minus_5,5,1,2022,36,0.7333333333333333,2,True,False,False,82.2000732421875,126.39990234375,0,54.0,54.0,-36.564208984375,,-6,
salary_draws_1_minus_5,5,1,2022,37,0.4444444444444444,5,True,False,False,20.659912109375,48.659912109375,0,46.0,46.0,16.259033203125,,1,
salary_draws_1_minus_5,5,1,2022,38,0.5294117647058824,4,True,False,False,75.39990234375,-16.1998291015625,0,48.0,48.0,-42.42529296875,,-1,
salary_draws_1_minus_5,5,1,2022,39,0.7333333333333333,2,True,False,False,7.9000244140625,6.0,0,61.0,61.0,49.7054443359375,,1,
salary_draws_1_minus_5,5,1,2022,40,0.5294117647058824,4,True,False,False,76.800048828125,93.2000732421875,0,54.0,54.0,-18.75537109375,,1,
salary_draws_1_minus_5,5,1,2022,41,0.4444444444444444,5,True,False,False,-123.4000244140625,-92.739990234375,0,-2.0,-2.0,136.1383056640625,,17,
