year,variant,salary_draw_count,enforce_top_n,waiver_source,bench_upside_weight,trials,unique_rosters,actual_points,actual_points_feasible,drafted_only_points,cap_feasible_rate,feasible_trials,cap_overage,actual_salary_spend,forecast_ev,absolute_forecast_error,hindsight_heuristic_gap,actual_waiver_starts,qb_count,rb_count,wr_count,te_count
2022,d1_top0_waivercurrent_projected_bench00,1,False,current_projected,0.0,250,250,1535.1988764648438,1489.260009765625,1541.4152788085937,0.004,1,100.976,398.932,1626.3652998046875,119.84579541015626,575.739990234375,33.232,1.0,5.996,4.336,1.668
2022,d1_top0_waivercurrent_projected_bench25,1,False,current_projected,0.25,250,250,1542.7928051757813,,1545.4458393554687,0.0,0,99.372,397.372,1622.4113930664062,112.2232412109375,,32.412,1.0,5.852,4.524,1.624
2022,d1_top0_waiverprior_empirical_bench00,1,False,prior_empirical,0.0,250,250,1513.2489545898438,,1452.7551162109376,0.0,0,108.892,406.892,1736.2926342773437,225.07021875,,37.908,1.0,6.512,3.688,1.8
2022,d1_top0_waiverprior_empirical_bench25,1,False,prior_empirical,0.25,250,250,1518.1535893554687,,1455.5505610351563,0.0,0,112.26,410.26,1737.7743618164063,220.781798828125,,36.56,1.0,6.384,3.848,1.768
2022,d1_top1_waivercurrent_projected_bench00,1,True,current_projected,0.0,250,250,1535.0117568359376,1489.260009765625,1541.533677734375,0.004,1,101.644,399.6,1626.4052163085937,117.11553759765626,575.739990234375,33.336,1.0,6.012,4.308,1.68
2022,d1_top1_waivercurrent_projected_bench25,1,True,current_projected,0.25,250,250,1543.5261640625,,1546.8836752929687,0.0,0,100.184,398.184,1622.9832739257813,112.81316552734376,,32.528,1.0,5.84,4.556,1.604
2022,d1_top1_waiverprior_empirical_bench00,1,True,prior_empirical,0.0,250,250,1509.3217548828125,,1448.0891948242188,0.0,0,108.872,406.872,1735.825869140625,228.0287080078125,,38.328,1.0,6.504,3.688,1.808
2022,d1_top1_waiverprior_empirical_bench25,1,True,prior_empirical,0.25,250,250,1518.292791015625,,1457.1340791015625,0.0,0,113.14,411.14,1738.139892578125,220.60658984375,,36.92,1.0,6.42,3.82,1.76
2022,d5_top0_waivercurrent_projected_bench00,5,False,current_projected,0.0,250,250,1452.5638374023438,1418.5127175071023,1467.925125,0.044,11,49.412,346.76,1586.6788159179687,147.733009765625,646.4872824928977,38.356,1.0,5.756,4.556,1.688
2022,d5_top0_waivercurrent_projected_bench25,5,False,current_projected,0.25,250,250,1467.1483217773437,1439.7957240513392,1479.1474370117187,0.056,14,47.804,345.2,1584.9334541015626,135.45729248046874,625.2042759486607,37.204,1.0,5.56,4.784,1.656
2022,d5_top0_waiverprior_empirical_bench00,5,False,prior_empirical,0.0,250,250,1427.0141572265625,1347.0292405348557,1359.1338427734374,0.052,13,52.264,349.456,1696.9170234375,269.9028662109375,717.9707594651443,44.624,1.0,6.472,3.676,1.852
2022,d5_top0_waiverprior_empirical_bench25,5,False,prior_empirical,0.25,250,250,1442.8333549804688,1411.1099853515625,1377.7511999511719,0.024,6,58.48,356.22,1700.4840102539063,257.749888671875,653.8900146484375,41.132,1.0,6.316,3.904,1.78
2022,d5_top1_waivercurrent_projected_bench00,5,True,current_projected,0.0,250,250,1444.7059990234375,1415.1733296712239,1462.2334389648438,0.048,12,48.324,345.78,1584.9900180664063,152.65880322265625,649.826670328776,39.496,1.0,5.716,4.584,1.7
2022,d5_top1_waivercurrent_projected_bench25,5,True,current_projected,0.25,250,250,1467.3700009765626,1436.6723163311299,1479.5890361328125,0.052,13,47.716,344.94,1582.9513295898437,133.79115966796874,628.3276836688702,37.876,1.0,5.54,4.836,1.624
2022,d5_top1_waiverprior_empirical_bench00,5,True,prior_empirical,0.0,250,250,1425.8803154296875,1368.0866617838542,1363.6507216796874,0.06,15,51.312,348.24,1696.1743198242189,270.29400439453127,696.9133382161458,45.396,1.0,6.488,3.66,1.852
2022,d5_top1_waiverprior_empirical_bench25,5,True,prior_empirical,0.25,250,250,1438.2766362304687,1404.051953125,1374.725916748047,0.04,10,58.148,355.472,1699.4615444335936,261.2841416015625,660.948046875,42.132,1.0,6.272,3.932,1.796
2023,d1_top0_waivercurrent_projected_bench00,1,False,current_projected,0.0,250,250,1725.8326372070312,1735.9234619140625,1435.5619116210937,0.092,23,41.212,338.312,1541.8947880859375,184.35461669921875,418.1966552734375,59.928,1.0,4.568,5.512,1.92
2023,d1_top0_waivercurrent_projected_bench25,1,False,current_projected,0.25,250,250,1719.2605541992189,1705.8282255284926,1433.106875,0.068,17,39.428,336.332,1540.3391083984375,178.94702783203124,448.2918916590074,58.988,1.0,4.404,5.716,1.88
2023,d1_top0_waiverprior_empirical_bench00,1,False,prior_empirical,0.0,250,250,1702.1123212890625,1720.9207537615741,1428.24599609375,0.108,27,36.44,332.976,1614.0004672851562,95.89964306640626,433.1993634259259,63.98,1.0,5.748,4.42,1.832
2023,d1_top0_waiverprior_empirical_bench25,1,False,prior_empirical,0.25,250,250,1692.924875,1685.9514218284971,1436.7483217773438,0.084,21,39.976,336.676,1610.8026938476562,88.99641650390625,468.168695359003,61.936,1.0,5.6,4.604,1.796
2023,d1_top1_waivercurrent_projected_bench00,1,True,current_projected,0.0,250,250,1725.7665556640625,1735.9234619140625,1434.9437514648437,0.092,23,41.08,338.18,1541.9314682617187,184.25185498046875,418.1966552734375,59.912,1.0,4.56,5.52,1.92
2023,d1_top1_waivercurrent_projected_bench25,1,True,current_projected,0.25,250,250,1718.3204741210936,1705.8282255284926,1431.0487958984374,0.068,17,39.404,336.308,1540.2699541015625,178.07610205078126,448.2918916590074,59.072,1.0,4.396,5.724,1.88
2023,d1_top1_waiverprior_empirical_bench00,1,True,prior_empirical,0.0,250,250,1702.3807211914063,1720.9207537615741,1428.2575952148438,0.108,27,36.32,332.856,1614.1991552734376,96.17586865234375,433.1993634259259,64.012,1.0,5.744,4.42,1.836
2023,d1_top1_waiverprior_empirical_bench25,1,True,prior_empirical,0.25,250,250,1693.1228745117187,1685.9514218284971,1436.6461606445312,0.084,21,39.808,336.508,1611.0331381835938,89.1827041015625,468.168695359003,61.932,1.0,5.592,4.608,1.8
2023,d5_top0_waivercurrent_projected_bench00,5,False,current_projected,0.0,250,250,1705.0760830078125,1720.30710265457,1403.6427990722657,0.372,93,13.272,305.908,1525.738751953125,179.3373310546875,433.8130145329301,61.384,1.0,4.356,5.704,1.94
2023,d5_top0_waivercurrent_projected_bench25,5,False,current_projected,0.25,250,250,1707.4543168945313,1720.7847678444602,1394.471359375,0.352,88,12.668,306.216,1522.5444892578125,184.90982763671875,433.33534934303975,61.148,1.0,4.268,5.816,1.916
2023,d5_top0_waiverprior_empirical_bench00,5,False,prior_empirical,0.0,250,250,1691.0068740234376,1709.2211938476562,1458.311119140625,0.4,100,10.748,302.7,1597.528474609375,99.1355439453125,444.89892333984375,65.976,1.0,5.64,4.484,1.876
2023,d5_top0_waiverprior_empirical_bench25,5,False,prior_empirical,0.25,250,250,1684.5807163085938,1689.6713456373948,1444.46471875,0.416,104,11.24,303.672,1593.9972998046876,94.41588720703125,464.44877155010516,63.436,1.0,5.44,4.708,1.852
2023,d5_top1_waivercurrent_projected_bench00,5,True,current_projected,0.0,250,250,1703.6876030273438,1721.8606437520777,1400.807037841797,0.376,94,13.36,305.92,1525.9177724609376,177.76983056640626,432.2594734354222,61.636,1.0,4.38,5.684,1.936
2023,d5_top1_waivercurrent_projected_bench25,5,True,current_projected,0.25,250,250,1706.23327734375,1721.7331081814236,1389.310478515625,0.36,90,12.856,306.124,1523.0552592773438,183.17801806640625,432.38700900607637,61.596,1.0,4.276,5.808,1.916
2023,d5_top1_waiverprior_empirical_bench00,5,True,prior_empirical,0.0,250,250,1690.7532749023437,1707.9555932617188,1458.1301586914062,0.4,100,10.648,302.6,1597.5725849609375,98.97657666015625,446.1645239257812,66.008,1.0,5.636,4.488,1.876
2023,d5_top1_waiverprior_empirical_bench25,5,True,prior_empirical,0.25,250,250,1684.734556640625,1690.80380859375,1443.0932802734376,0.42,105,10.984,303.42,1594.7305073242187,93.72267919921875,463.31630859375,63.596,1.0,5.432,4.716,1.852
2024,d1_top0_waivercurrent_projected_bench00,1,False,current_projected,0.0,250,250,1627.9003271484376,1625.4058176676433,1597.0048803710938,0.096,24,36.684,333.488,1639.6045517578125,89.87337109375,565.0741628011068,29.256,1.0,3.504,6.744,1.752
2024,d1_top0_waivercurrent_projected_bench25,1,False,current_projected,0.25,250,250,1625.2090390625,1616.6616719563801,1592.9530432128906,0.096,24,35.296,332.316,1637.8391235351562,90.82828271484375,573.8183085123698,29.164,1.0,3.484,6.812,1.704
2024,d1_top0_waiverprior_empirical_bench00,1,False,prior_empirical,0.0,250,250,1589.6731259765625,1582.196737484056,1531.29016015625,0.196,49,27.732,322.776,1656.8825561523438,101.68056005859376,608.2832429846939,34.904,1.0,3.248,6.88,1.872
2024,d1_top0_waiverprior_empirical_bench25,1,False,prior_empirical,0.25,250,250,1601.3660854492186,1576.6150068803267,1559.0758349609375,0.176,44,29.644,324.588,1652.7392416992188,92.3021572265625,613.8649735884233,31.64,1.0,3.232,6.872,1.896
2024,d1_top1_waivercurrent_projected_bench00,1,True,current_projected,0.0,250,250,1620.8003999023438,1619.67922269381,1583.7485629882813,0.104,26,33.512,330.304,1641.3985341796874,89.74628466796875,570.8007577749399,30.548,1.0,3.496,6.72,1.784
2024,d1_top1_waivercurrent_projected_bench25,1,True,current_projected,0.25,250,250,1622.8829594726562,1621.3907658503606,1587.5520036621094,0.104,26,32.82,329.752,1639.5009169921875,90.64718505859375,569.0892146183894,30.284,1.0,3.484,6.784,1.732
2024,d1_top1_waiverprior_empirical_bench00,1,True,prior_empirical,0.0,250,250,1586.8460024414062,1583.5064038085939,1525.5532006835938,0.2,50,26.948,322.104,1660.3773520507812,101.966982421875,606.9735766601563,35.888,1.0,3.284,6.852,1.864
2024,d1_top1_waiverprior_empirical_bench25,1,True,prior_empirical,0.25,250,250,1594.45287890625,1572.66278785883,1547.3568798828126,0.172,43,25.9,321.164,1658.6817885742187,102.52415673828125,617.8171926099201,33.18,1.0,3.22,6.872,1.908
2024,d5_top0_waivercurrent_projected_bench00,5,False,current_projected,0.0,250,250,1612.6571254882813,1604.1297997007978,1578.33400390625,0.188,47,25.372,320.432,1627.5149794921874,89.39561572265625,586.3501807679521,30.592,1.0,3.412,6.772,1.816
2024,d5_top0_waivercurrent_projected_bench25,5,False,current_projected,0.25,250,250,1612.83992578125,1596.7403940054087,1582.4633657226564,0.208,52,24.032,320.096,1628.6982006835938,89.98748681640625,593.7395864633413,29.88,1.0,3.456,6.828,1.716
2024,d5_top0_waiverprior_empirical_bench00,5,False,prior_empirical,0.0,250,250,1570.5673579101563,1568.2397547104779,1515.3007299804688,0.34,85,17.064,309.372,1647.5887739257812,108.1808134765625,622.240225758272,36.224,1.0,3.192,6.912,1.896
2024,d5_top0_waiverprior_empirical_bench25,5,False,prior_empirical,0.25,250,250,1588.92487890625,1581.0854949951172,1548.8161669921874,0.32,80,19.424,312.6,1643.9308276367187,96.06560400390624,609.3944854736328,32.688,1.0,3.224,6.868,1.908
2024,d5_top1_waivercurrent_projected_bench00,5,True,current_projected,0.0,250,250,1610.5688852539063,1609.8262819776348,1572.2663286132813,0.204,51,22.744,317.78,1630.7691596679688,94.1454833984375,580.6536984911152,31.66,1.0,3.408,6.784,1.808
2024,d5_top1_waivercurrent_projected_bench25,5,True,current_projected,0.25,250,250,1605.7120009765624,1589.832072707842,1569.955361328125,0.212,53,21.568,317.376,1629.552048828125,94.0937421875,600.647907760908,31.48,1.0,3.48,6.808,1.712
2024,d5_top1_waiverprior_empirical_bench00,5,True,prior_empirical,0.0,250,250,1566.0275185546875,1565.3320378129201,1509.2012866210937,0.372,93,15.724,307.716,1650.6383129882813,113.30422412109375,625.14794265583,37.036,1.0,3.22,6.88,1.9
2024,d5_top1_waiverprior_empirical_bench25,5,True,prior_empirical,0.25,250,250,1572.6437607421874,1561.536001747533,1526.7370483398438,0.38,95,15.192,307.336,1649.7489184570313,109.23543505859375,628.9439787212171,34.52,1.0,3.192,6.904,1.904
2025,d1_top0_waivercurrent_projected_bench00,1,False,current_projected,0.0,250,250,1586.6548754882813,1531.4473619962994,1481.963365234375,0.076,19,36.428,333.608,1652.8207607421875,94.32405419921875,637.8126477693256,34.836,1.0,4.04,6.08,1.88
2025,d1_top0_waivercurrent_projected_bench25,1,False,current_projected,0.25,250,250,1575.75327734375,1541.1056289672852,1464.9519921875,0.128,32,33.676,330.82,1646.352314453125,97.4915341796875,628.1543807983398,35.184,1.0,3.864,6.324,1.812
2025,d1_top0_waiverprior_empirical_bench00,1,False,prior_empirical,0.0,250,250,1587.909677734375,1544.5236997251156,1434.15391796875,0.108,27,34.592,331.24,1685.3995668945313,110.82709228515625,624.7363100405092,40.02,1.0,3.592,6.464,1.944
2025,d1_top0_waiverprior_empirical_bench25,1,False,prior_empirical,0.25,250,250,1567.403830078125,1523.4448757595487,1392.4164013671875,0.18,45,28.824,324.56,1670.0004921875,117.7717900390625,645.8151340060764,37.468,1.0,3.404,6.644,1.952
2025,d1_top1_waivercurrent_projected_bench00,1,True,current_projected,0.0,250,250,1615.5079916992188,1539.9777425130208,1509.1302456054686,0.036,9,44.5,342.124,1656.1314921875,92.26589990234375,629.2822672526041,35.48,1.0,4.084,6.012,1.904
2025,d1_top1_waivercurrent_projected_bench25,1,True,current_projected,0.25,250,250,1609.32255859375,1549.9066569010417,1494.8959990234375,0.06,15,40.448,338.0,1648.3779501953125,96.013908203125,619.3533528645834,35.844,1.0,3.816,6.352,1.832
